n	n_unique	sd	iqr	most_common_frac	max_boundary_frac	sat_flag	sat_reason	scope	group	index	module
214	214	105.123135630378	128.351662758532	0.00467289719626168	0	FALSE	not_saturated	sample	all	OAP	
214	34	3.18999115661026	0	0.845794392523365	0.845794392523365	TRUE	single_value_dominant	sample	all	MGI	
214	51	2.7877551192774	0	0.766355140186916	0.766355140186916	FALSE	not_saturated	sample	all	MFI	
214	212	2.14844419494937	0.588496902250994	0.014018691588785	0.014018691588785	FALSE	not_saturated	sample	all	DCI	
214	214	0.43984989594545	0.427927797458723	0.00467289719626168	0	FALSE	not_saturated	sample	all	MII	
214	214	0.199880323205829	0.282008584196478	0.00467289719626168	0	FALSE	not_saturated	sample	all	SRPI	
214	214	150.209290158499	198.267124723223	0.00467289719626168	0	FALSE	not_saturated	sample_module	grey	OAP	grey
172	150	131.10563660478	71.3296502900687	0.133720930232558	0	FALSE	not_saturated	sample_module	green	OAP	green
214	214	77.0519166812068	103.054016153923	0.00467289719626168	0	FALSE	not_saturated	sample_module	turquoise	OAP	turquoise
210	209	67.7332162575145	59.5534657930809	0.00952380952380953	0	FALSE	not_saturated	sample_module	yellow	OAP	yellow
155	114	232.339136819277	188.754498427748	0.206451612903226	0	FALSE	not_saturated	sample_module	blue	OAP	blue
138	110	288.089837165298	384.552040887834	0.0797101449275362	0	FALSE	not_saturated	sample_module	brown	OAP	brown
214	12	2.17793586552948	0	0.948598130841122	0.948598130841122	TRUE	single_value_dominant	sample_module	grey	MGI	grey
179	1	0	0	1	1	TRUE	few_unique_values	sample_module	green	MGI	green
214	1	0	0	1	1	TRUE	few_unique_values	sample_module	turquoise	MGI	turquoise
210	1	0	0	1	1	TRUE	few_unique_values	sample_module	yellow	MGI	yellow
157	1	0	0	1	1	TRUE	few_unique_values	sample_module	blue	MGI	blue
138	33	5.90616172984748	11.6022558786236	0.717391304347826	0.717391304347826	FALSE	not_saturated	sample_module	brown	MGI	brown
214	36	2.90106245454965	0	0.836448598130841	0.836448598130841	TRUE	single_value_dominant	sample_module	grey	MFI	grey
179	1	0	0	1	1	TRUE	few_unique_values	sample_module	green	MFI	green
214	1	0	0	1	1	TRUE	few_unique_values	sample_module	turquoise	MFI	turquoise
210	1	0	0	1	1	TRUE	few_unique_values	sample_module	yellow	MFI	yellow
157	1	0	0	1	1	TRUE	few_unique_values	sample_module	blue	MFI	blue
138	39	5.58031340216154	2.40111565251035	0.673913043478261	0.673913043478261	FALSE	not_saturated	sample_module	brown	MFI	brown
214	207	2.26484841359482	0.929320595638422	0.0373831775700935	0.0373831775700935	FALSE	not_saturated	sample_module	grey	DCI	grey
179	74	4.65093335529932	9.33518287402725	0.592178770949721	0.592178770949721	FALSE	not_saturated	sample_module	green	DCI	green
214	206	2.76389470704091	0.815277572072263	0.0420560747663551	0.0420560747663551	FALSE	not_saturated	sample_module	turquoise	DCI	turquoise
210	174	3.81832149148966	1.36624200823816	0.176190476190476	0.176190476190476	FALSE	not_saturated	sample_module	yellow	DCI	yellow
157	84	5.69959393122793	1.58272776210653	0.471337579617834	0.471337579617834	FALSE	not_saturated	sample_module	blue	DCI	blue
138	80	6.61919228539618	13.6716779998915	0.376811594202899	0.376811594202899	FALSE	not_saturated	sample_module	brown	DCI	brown
214	214	0.479601914164727	0.522532077802707	0.00467289719626168	0	FALSE	not_saturated	sample_module	grey	MII	grey
179	170	0.192364865238642	0.133028056311257	0.0391061452513967	0	FALSE	not_saturated	sample_module	green	MII	green
214	214	2.08466713338551	0.557320453203927	0.00467289719626168	0.00467289719626168	FALSE	not_saturated	sample_module	turquoise	MII	turquoise
210	209	3.62650882887086	0.416567953450133	0.00952380952380953	0.00476190476190476	FALSE	not_saturated	sample_module	yellow	MII	yellow
157	132	6.11432877839202	11.7600908622493	0.089171974522293	0.0254777070063694	FALSE	not_saturated	sample_module	blue	MII	blue
138	105	8.61543407006545	13.5333274222168	0.144927536231884	0.144927536231884	FALSE	not_saturated	sample_module	brown	MII	brown
214	214	0.301212575467096	0.329240426345414	0.00467289719626168	0	FALSE	not_saturated	sample_module	grey	SRPI	grey
179	148	3.00217263667524	0.816183659102725	0.17877094972067	0	FALSE	not_saturated	sample_module	green	SRPI	green
214	213	0.162831671546871	0.219484519693918	0.00934579439252336	0	FALSE	not_saturated	sample_module	turquoise	SRPI	turquoise
210	209	0.844222346573278	0.270475186063387	0.00952380952380953	0	FALSE	not_saturated	sample_module	yellow	SRPI	yellow
157	106	3.63331559286612	8.03824420943168	0.299363057324841	0	FALSE	not_saturated	sample_module	blue	SRPI	blue
138	97	3.10856156337431	0.98928263430143	0.130434782608696	0	FALSE	not_saturated	sample_module	brown	SRPI	brown
214	214	116.88743062343	170.406864443719	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	grey	OAP	grey
172	172	119.097139199794	110.60889363912	0.00581395348837209	0	FALSE	not_saturated	centered_include_grey	green	OAP	green
214	214	96.5555191860303	118.675676449931	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	turquoise	OAP	turquoise
210	210	101.96089840025	106.920555057198	0.00476190476190476	0	FALSE	not_saturated	centered_include_grey	yellow	OAP	yellow
155	155	204.306561333079	150.581486319641	0.00645161290322581	0	FALSE	not_saturated	centered_include_grey	blue	OAP	blue
138	138	237.100710792686	318.828063123729	0.0072463768115942	0	FALSE	not_saturated	centered_include_grey	brown	OAP	brown
214	43	1.94694398729222	0	0.789719626168224	0.789719626168224	FALSE	not_saturated	centered_include_grey	grey	MGI	grey
179	33	0.957500467494543	0	0.804469273743017	0.804469273743017	TRUE	single_value_dominant	centered_include_grey	green	MGI	green
214	43	1.07063235948965	0	0.789719626168224	0.789719626168224	FALSE	not_saturated	centered_include_grey	turquoise	MGI	turquoise
210	42	1.03749570180412	0	0.79047619047619	0.79047619047619	FALSE	not_saturated	centered_include_grey	yellow	MGI	yellow
157	38	1.05690843905185	0	0.751592356687898	0.751592356687898	FALSE	not_saturated	centered_include_grey	blue	MGI	blue
138	43	4.79040377384389	8.72662027020429	0.673913043478261	0.673913043478261	FALSE	not_saturated	centered_include_grey	brown	MGI	brown
214	60	2.58519635028935	0	0.710280373831776	0.710280373831776	FALSE	not_saturated	centered_include_grey	grey	MFI	grey
179	48	0.836385798998272	0	0.720670391061453	0.720670391061453	FALSE	not_saturated	centered_include_grey	green	MFI	green
214	60	1.00375074126275	0	0.710280373831776	0.710280373831776	FALSE	not_saturated	centered_include_grey	turquoise	MFI	turquoise
210	59	0.966111502918996	0	0.70952380952381	0.70952380952381	FALSE	not_saturated	centered_include_grey	yellow	MFI	yellow
157	54	0.98860170892397	0	0.64968152866242	0.64968152866242	FALSE	not_saturated	centered_include_grey	blue	MFI	blue
138	58	4.6043216472423	2.06013571152933	0.565217391304348	0.565217391304348	FALSE	not_saturated	centered_include_grey	brown	MFI	brown
214	212	2.41758518896842	3.00801356776409	0.014018691588785	0.014018691588785	FALSE	not_saturated	centered_include_grey	grey	DCI	grey
179	179	4.35845533937866	8.58122116277355	0.00558659217877095	0	FALSE	not_saturated	centered_include_grey	green	DCI	green
214	212	2.92682776704113	2.981939208221	0.014018691588785	0.014018691588785	FALSE	not_saturated	centered_include_grey	turquoise	DCI	turquoise
210	210	3.57669776219648	2.88626804723421	0.00476190476190476	0.00476190476190476	FALSE	not_saturated	centered_include_grey	yellow	DCI	yellow
157	157	4.84237987777992	2.58086855372948	0.00636942675159236	0	FALSE	not_saturated	centered_include_grey	blue	DCI	blue
138	138	5.5966254419017	10.9276113685904	0.0072463768115942	0.0072463768115942	FALSE	not_saturated	centered_include_grey	brown	DCI	brown
214	214	2.03766561610272	2.84879942477777	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	grey	MII	grey
179	179	1.86904939461022	2.96247789169483	0.00558659217877095	0	FALSE	not_saturated	centered_include_grey	green	MII	green
214	214	2.52520717926344	2.68554432985253	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	turquoise	MII	turquoise
210	210	3.50030201714988	2.69737469973068	0.00476190476190476	0	FALSE	not_saturated	centered_include_grey	yellow	MII	yellow
157	157	4.99141607598705	8.94686876669869	0.00636942675159236	0	FALSE	not_saturated	centered_include_grey	blue	MII	blue
138	138	7.05718698474744	9.89443050945686	0.0072463768115942	0	FALSE	not_saturated	centered_include_grey	brown	MII	brown
214	214	1.06393873788482	1.57417530169737	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	grey	SRPI	grey
179	179	2.50075644846349	1.07121123055323	0.00558659217877095	0	FALSE	not_saturated	centered_include_grey	green	SRPI	green
214	214	0.99549911893081	1.49922690525812	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	turquoise	SRPI	turquoise
210	210	1.20044372785965	1.47030808365677	0.00476190476190476	0	FALSE	not_saturated	centered_include_grey	yellow	SRPI	yellow
157	157	2.92156538822727	5.37388937300774	0.00636942675159236	0	FALSE	not_saturated	centered_include_grey	blue	SRPI	blue
138	138	2.61107699583983	1.5915378624419	0.0072463768115942	0	FALSE	not_saturated	centered_include_grey	brown	SRPI	brown
