state	module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
3	grey	OAP	include_grey	32	30.9893199436897	6.19449360614882	0.290744362068781	ok	0.312280981481284	no_call
3	green	OAP	include_grey	29	206.162234053741	157.403488600737	0.000634396353547879	ok	0.00114984339080553	enriched
3	turquoise	OAP	include_grey	32	-48.4410963566679	-47.8985050571904	0.000367832868577958	ok	0.000711143545917386	depleted
3	yellow	OAP	include_grey	32	108.125138137216	141.447048763427	8.34288912027683e-07	ok	2.0161982040669e-06	enriched
3	blue	OAP	include_grey	31	188.448578791018	212.272758778008	1.23371316587186e-06	ok	2.75212937002184e-06	enriched
3	brown	OAP	include_grey	32	-467.513917274962	-448.029183922998	8.34288912027683e-07	ok	2.0161982040669e-06	depleted
5	green	OAP	include_grey	13	104.991058221858	109.218538744599	0.00166169445798351	ok	0.00240945696407609	enriched
5	turquoise	OAP	include_grey	13	-125.46316343423	-137.33744572697	0.00166169445798351	ok	0.00240945696407609	depleted
5	grey	OAP	include_grey	13	-51.6108667715706	-67.2335234062173	0.0360316862182336	ok	0.041796756013151	depleted
5	yellow	OAP	include_grey	13	-56.0688177231505	-44.7463051057642	0.0210979717247784	ok	0.0254933825007739	depleted
5	blue	OAP	include_grey	13	140.7974792341	141.465043576569	0.00166169445798351	ok	0.00240945696407609	enriched
5	brown	OAP	include_grey	4	-4.32874906590038	-4.44050126720455		insufficient_n		no_call
2	turquoise	OAP	include_grey	51	-30.0839559734346	-12.6513587183274	0.520819630555242	ok	0.539420331646501	no_call
2	grey	OAP	include_grey	51	-162.070865969205	-164.955537970719	4.05704818310673e-09	ok	2.3530879462019e-08	depleted
2	green	OAP	include_grey	22	249.044705036422	226.818260367545	0.000825910570044769	ok	0.00140890626654696	enriched
1	grey	OAP	include_grey	75	-21.8661433167368	-43.570671210908	0.00185266159612959	ok	0.0025584374422742	depleted
1	turquoise	OAP	include_grey	75	-83.6891511525166	-81.1837617700554	2.6465098705092e-10	ok	1.91871965611917e-09	depleted
1	yellow	OAP	include_grey	75	86.2098819844459	86.537588065659	1.31449600585822e-11	ok	1.90601920849442e-10	enriched
1	green	OAP	include_grey	65	220.052438764531	223.234245955613	2.96630214100323e-12	ok	8.60227620890936e-11	enriched
1	blue	OAP	include_grey	66	136.715520518519	93.8290943009118	1.28256046562323e-05	ok	2.65673239307669e-05	enriched
1	brown	OAP	include_grey	60	-294.350422857218	-297.27804737212	8.21475186768738e-11	ok	7.94092680543113e-10	depleted
2	yellow	OAP	include_grey	47	163.356723013947	166.575006371729	1.86135142557615e-08	ok	7.3847110145483e-08	enriched
2	blue	OAP	include_grey	14	248.72235750429	112.237135363544	0.258486052233535	ok	0.288311365952789	no_call
2	brown	OAP	include_grey	18	-369.616426805391	-296.244177305861	0.00265603082309645	ok	0.00350113153953623	depleted
4	green	OAP	include_grey	43	160.36293620933	169.904597458158	1.16059948351433e-08	ok	5.60956417031925e-08	enriched
4	turquoise	OAP	include_grey	43	-141.891211195717	-135.69989412771	2.03716165918574e-08	ok	7.3847110145483e-08	depleted
4	grey	OAP	include_grey	43	-147.672174660164	-138.45461384201	6.53379347487874e-08	ok	1.89480010771483e-07	depleted
4	yellow	OAP	include_grey	43	74.0306095218423	79.7131796259536	3.79488021259151e-08	ok	1.22279473516838e-07	enriched
4	blue	OAP	include_grey	31	109.257974821514	85.2156800995182	0.00704890504765826	ok	0.00888774984269954	enriched
4	brown	OAP	include_grey	24	8.53149761517534	-66.108610625163	0.720984861901671	ok	0.720984861901671	no_call
3	grey	MGI	include_grey	32	-1.90396608028573	0.258513609899403	0.829568282736637	ok	0.90498358116724	no_call
