state	state_label	index	n_samples	mean	median	sd	q25	q75
1	G-A	OAP	75	432.163878810744	444.052918782162	63.6983095860065	399.146513807786	476.593138714269
2	IG-D	OAP	51	280.976985648183	310.611708523415	129.478808772153	209.995558348493	364.598639126893
3	IG-A	OAP	32	409.416134309049	421.632027882878	80.1799700673343	350.250481649315	469.32280291896
4	IG-B	OAP	43	385.098032186386	384.838540741302	52.1374859710107	346.557299282838	416.662974738344
5	IG-C	OAP	13	455.750832894109	454.440604555781	90.855508028685	389.099400024553	521.795945413989
1	G-A	MGI	75	-13.1255887740972	-13.8155105579643	2.36043102882002	-13.8155105579643	-13.8155105579643
2	IG-D	MGI	51	-13.6402366088094	-13.8155105579643	1.2517063632776	-13.8155105579643	-13.8155105579643
3	IG-A	MGI	32	-6.92998964667967	-5.27043588876512	3.77451787230699	-6.23936174926819	-4.72375258393044
4	IG-B	MGI	43	-13.6174418986578	-13.8155105579643	1.29882305699336	-13.8155105579643	-13.8155105579643
5	IG-C	MGI	13	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
1	G-A	MFI	75	-0.173843241999962	0	2.85784091913292	0	0
2	IG-D	MFI	51	-0.0021729656404658	0	1.77674536294083	0	0
3	IG-A	MFI	32	-2.14520426796561	-2.74576021176476	4.06702165356015	-3.51074812530268	-1.51869973510574
4	IG-B	MFI	43	0.423926009677497	0	2.23075219690315	0	0
5	IG-C	MFI	13	0.420505965673432	0	1.51615582087406	0	0
1	G-A	DCI	75	-1.83645381100378	-1.80741536630061	0.330241504377242	-2.03598810336553	-1.60589450435063
2	IG-D	DCI	51	-3.46566629448224	-1.74760647564405	4.10532868911741	-3.0648984888018	-1.093292669772
3	IG-A	DCI	32	-1.90612261450248	-1.67291244291459	0.580561900330717	-2.28469977119022	-1.46921273667438
4	IG-B	DCI	43	-1.58224560170654	-1.50894504204895	0.293571763156476	-1.77346063907132	-1.39521692125092
5	IG-C	DCI	13	-2.21096126480127	-1.86146486316911	0.794158368192889	-2.6817095209115	-1.68823372237422
1	G-A	MII	75	-2.52673849363374	-2.53596939210915	0.265570787142572	-2.69122827992925	-2.35978991580359
2	IG-D	MII	51	-2.42200151524262	-2.46633641548604	0.518871903948048	-2.70775988669957	-2.16333320830825
3	IG-A	MII	32	-2.29782702663076	-2.47135989152957	0.520893509064385	-2.62878976173374	-2.14741734708139
4	IG-B	MII	43	-2.6183659968729	-2.66657099235614	0.331928459525338	-2.87024973645677	-2.40064592562848
5	IG-C	MII	13	-3.02453526224213	-3.0889314517774	0.554874163189661	-3.49361605035596	-2.59546736674347
1	G-A	SRPI	75	-0.788770266486346	-0.788814536889874	0.121135504380499	-0.863533695903968	-0.718424438727056
2	IG-D	SRPI	51	-0.552688432833322	-0.519826704493726	0.195295100728223	-0.67042128488006	-0.428341347832795
3	IG-A	SRPI	32	-0.724296330433133	-0.758516108555186	0.219031327297188	-0.894442733544289	-0.586674680240436
4	IG-B	SRPI	43	-0.651693270774293	-0.637459380824394	0.158488632168615	-0.786865924081216	-0.547101265506615
5	IG-C	SRPI	13	-0.789494082022624	-0.834723862103118	0.296960978504392	-1.02880791407971	-0.44096878504049
