module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	centered_abs_mean	mean_module_abundance	median_module_abundance
blue	OAP	155	155	616.43061117416	660.722222222222	232.339136819277	188.754498427748	0.376910446378909	121.453079294506	153.435729857397	198.622367160712	0.00478019563844087	0.00218993866661431
brown	OAP	138	138	193.891883072952	189.898346835828	288.089837165298	384.552040887834	1.48582721772269	-283.408554923488	-305.904176338522	323.531012541214	0.0120664901980834	0.00166911782915935
green	OAP	172	172	688.6578112662	698.478096732761	131.10563660478	71.3296502900684	0.190378493440339	190.643416156993	200.524842702073	206.549375079846	0.0229347271153657	0.0104663377312915
grey	OAP	214	214	382.122349673183	404.121779079425	150.209290158499	198.267124723222	0.393092134723258	-85.5602485112862	-64.9670582260191	112.267720119727	0.331445075148059	0.284602555616987
turquoise	OAP	214	214	393.443178412689	390.874362013013	77.0519166812068	103.054016153923	0.195840011744684	-74.2394197717807	-81.6069100557837	102.436430309009	0.582791512525637	0.620605166195879
yellow	OAP	210	210	577.037854914919	588.734067348397	67.7332162575145	59.5534657930812	0.117380888759025	103.29340343984	92.3390073209457	116.249835997359	0.0570574366452759	0.053011334190938
blue	MGI	157	157	-13.8155105579643	-13.8155105579643	0	0	0	-0.579564828998336	-1.77635683940025e-15	0.579564828998336	0.00472527780075177	0.00216616016402496
brown	MGI	138	138	-10.1468925098059	-13.8155105579643	5.90616172984749	11.6022558786236	0.582066058563232	2.85785342011768	0	3.00830515425171	0.0120664901980834	0.00166911782915935
green	MGI	179	179	-13.8155105579643	-13.8155105579643	0	0	0	-0.450527307427389	0	0.450527307427389	0.0221467278227238	0.00969887105926693
grey	MGI	214	214	-13.3103485069259	-13.8155105579643	2.17793586552948	0	0.163627260728463	-0.0176674754551974	0	0.760155892525746	0.331445075148059	0.284602555616987
turquoise	MGI	214	214	-13.8155105579643	-13.8155105579643	0	0	0	-0.52282952649356	0	0.52282952649356	0.582791512525637	0.620605166195879
yellow	MGI	210	210	-13.8155105579643	-13.8155105579643	0	0	0	-0.509911177985546	0	0.509911177985546	0.0570574366452759	0.053011334190938
blue	MFI	157	157	0	0	0	0		0.144352286722376	0	0.532511497197251	0.00472527780075177	0.00216616016402496
brown	MFI	138	138	-2.07738680940707	0	5.58031340216154	2.40111565251035	2.68621778904733	-1.78895378993453	0	2.66438551877874	0.0120664901980834	0.00166911782915935
green	MFI	179	179	0	0	0	0		0.0798343775225486	0	0.399776196391243	0.0221467278227238	0.00969887105926693
grey	MFI	214	214	0.484673619559939	0	2.90106245454965	0	5.98560007698311	0.657220237056251	0	1.24242556081762	0.331445075148059	0.284602555616987
turquoise	MFI	214	214	0	0	0	0		0.172546617496312	0	0.484073389462008	0.582791512525637	0.620605166195879
yellow	MFI	210	210	0	0	0	0		0.154056445451276	0	0.471517060692509	0.0570574366452759	0.053011334190938
