index	nondmg_mean	nondmg_median	module	module_mean	module_median	diff_mean	abs_diff_mean
OAP	36.8356474365324	22.6881718875394	grey	382.122349673183	404.121779079425	345.286702236651	345.286702236651
OAP	36.8356474365324	22.6881718875394	green	688.6578112662	698.478096732761	651.822163829668	651.822163829668
OAP	36.8356474365324	22.6881718875394	turquoise	393.443178412689	390.874362013013	356.607530976156	356.607530976156
OAP	36.8356474365324	22.6881718875394	yellow	577.037854914919	588.734067348397	540.202207478387	540.202207478387
OAP	36.8356474365324	22.6881718875394	blue	616.43061117416	660.722222222222	579.594963737627	579.594963737627
OAP	36.8356474365324	22.6881718875394	brown	193.891883072952	189.898346835828	157.05623563642	157.05623563642
MGI	-13.2606802326125	-13.8155105579643	grey	-13.3103485069259	-13.8155105579643	-0.0496682743134969	0.0496682743134969
MGI	-13.2606802326125	-13.8155105579643	green	-13.8155105579643	-13.8155105579643	-0.554830325351842	0.554830325351842
MGI	-13.2606802326125	-13.8155105579643	turquoise	-13.8155105579643	-13.8155105579643	-0.554830325351865	0.554830325351865
MGI	-13.2606802326125	-13.8155105579643	yellow	-13.8155105579643	-13.8155105579643	-0.554830325351864	0.554830325351864
MGI	-13.2606802326125	-13.8155105579643	blue	-13.8155105579643	-13.8155105579643	-0.554830325351821	0.554830325351821
MGI	-13.2606802326125	-13.8155105579643	brown	-10.1468925098059	-13.8155105579643	3.11378772280658	3.11378772280658
MFI	3.63436003594867	5.73382578186105	grey	0.484673619559939	0	-3.14968641638873	3.14968641638873
MFI	3.63436003594867	5.73382578186105	green	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	turquoise	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	yellow	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	blue	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	brown	-2.07738680940707	0	-5.71174684535574	5.71174684535574
DCI	-2.91358815945063	-2.12310099828207	grey	-2.14464918145446	-1.77631114738951	0.768938977996165	0.768938977996165
DCI	-2.91358815945063	-2.12310099828207	green	-3.84606917653929	0	-0.932481017088664	0.932481017088664
DCI	-2.91358815945063	-2.12310099828207	turquoise	-2.35176263278725	-1.74565742547725	0.561825526663374	0.561825526663374
DCI	-2.91358815945063	-2.12310099828207	yellow	-1.50537329297807	-0.606483668913456	1.40821486647256	1.40821486647256
DCI	-2.91358815945063	-2.12310099828207	blue	-1.71670360378125	0	1.19688455566938	1.19688455566938
DCI	-2.91358815945063	-2.12310099828207	brown	-6.25066063871968	-2.10679410723176	-3.33707247926905	3.33707247926905
MII	-1.22867872188267	-1.21847692669227	grey	-2.0052001104289	-2.02354467907252	-0.776521388546225	0.776521388546225
MII	-1.22867872188267	-1.21847692669227	green	-14.7426405920536	-14.7912119746194	-13.5139618701709	13.5139618701709
MII	-1.22867872188267	-1.21847692669227	turquoise	-3.36183311174858	-2.99572911503937	-2.13315438986591	2.13315438986591
MII	-1.22867872188267	-1.21847692669227	yellow	-4.40283238139908	-3.16969337072225	-3.17415365951641	3.17415365951641
MII	-1.22867872188267	-1.21847692669227	blue	-8.48641145247483	-4.30452307351902	-7.25773273059216	7.25773273059216
MII	-1.22867872188267	-1.21847692669227	brown	-2.88434187387635	-1.18417506644798	-1.65566315199368	1.65566315199368
SRPI	-0.61365582365066	-0.576471927392136	grey	-0.478887075176296	-0.440493372373456	0.134768748474364	0.134768748474364
SRPI	-0.61365582365066	-0.576471927392136	green	-2.87036149872855	-1.56874767046278	-2.25670567507789	2.25670567507789
SRPI	-0.61365582365066	-0.576471927392136	turquoise	-0.833166003020048	-0.830889158254472	-0.219510179369388	0.219510179369388
SRPI	-0.61365582365066	-0.576471927392136	yellow	-1.1232721031223	-1.06727613684494	-0.509616279471641	0.509616279471641
SRPI	-0.61365582365066	-0.576471927392136	blue	-3.74682652035105	-1.75312711848999	-3.13317069670039	3.13317069670039
SRPI	-0.61365582365066	-0.576471927392136	brown	-1.93275288931797	-0.714564248023138	-1.31909706566731	1.31909706566731
