state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance
1	G-A	blue	OAP	66	66	587.837068703279	631.018185629327	257.125929307048	194.765633038047	0.437410199180272	93.8290943009118	136.715520518519	186.915836663196	0.00292340260748472
1	G-A	brown	OAP	60	60	195.952545641896	217.000826719576	209.77683783887	197.039316317472	1.07054918399599	-297.27804737212	-294.350422857218	311.073758756901	0.00167454912824539
1	G-A	green	OAP	65	65	728.229624595888	732.887826961771	86.4657037475857	129.746188421431	0.118734120155531	223.234245955613	220.05243876453	224.772486255997	0.00747263609359557
1	G-A	grey	OAP	75	75	450.86109773985	477.599060750976	93.3100210983881	87.8412424024335	0.206959574836125	-43.5706712109079	-21.8661433167372	77.284639683919	0.264992591477075
1	G-A	turquoise	OAP	75	75	413.248007180702	424.34548550417	65.6593082676938	71.3983537357456	0.158885964667176	-81.1837617700554	-83.6891511525172	94.6372448013493	0.643992105144893
1	G-A	yellow	OAP	75	75	580.969357016417	582.427771906871	34.8017367533779	35.0003039534865	0.0599028784101509	86.537588065659	86.2098819844458	95.2200291877245	0.0805826514594304
2	IG-D	blue	OAP	14	14	575.740832502987	820	388.181312851831	380.48323551685	0.674229255486785	112.237135363544	248.72235750429	325.429587182496	0.00188229200204814
2	IG-D	brown	OAP	18	18	92.8923290234103	12.7176599723827	372.520018015027	594.361276794891	4.01023445026495	-296.244177305862	-369.616426805391	354.864655024616	0.00564892514845446
2	IG-D	green	OAP	22	22	688.745757346134	751.086307582297	223.137278639657	101.364008307755	0.323976265929313	226.818260367545	249.044705036422	268.56770036221	0.0178842894881681
2	IG-D	grey	OAP	51	51	212.667523988539	249.267391397043	143.655617316972	202.684195751186	0.67549391003731	-164.955537970719	-162.070865969205	173.672843657139	0.470146461803202
2	IG-D	turquoise	OAP	51	51	364.971703240931	366.420144711857	107.956468450856	157.554962574492	0.295794077985247	-12.6513587183274	-30.0839559734347	98.195108425785	0.483202554193621
2	IG-D	yellow	OAP	47	47	563.618303354967	571.888028775739	120.468440033652	99.5658325986559	0.213741177879706	166.575006371729	163.356723013948	178.867586165946	0.0391857390627829
3	IG-A	blue	OAP	31	31	671.983158681226	660.452927224619	79.5209501521312	59.9020861435279	0.118337712969164	212.272758778007	188.448578791018	212.272758778007	0.0126907272325412
3	IG-A	brown	OAP	32	32	7.63772438954371	-18.2929680640938	120.347600708864	164.250747539226	15.756997054466	-448.029183922998	-467.513917274962	448.029183922998	0.044409691195722
3	IG-A	green	OAP	29	29	623.258498924551	693.331757226582	201.294033197295	55.8496317018979	0.322970378333603	157.403488600737	206.162234053742	216.622510508433	0.00705637392654004
3	IG-A	grey	OAP	32	32	461.86140191869	495.14549423869	110.357244405416	169.733791349181	0.238940175444329	6.1944936061488	30.9893199436897	59.6247578679947	0.287632889784009
3	IG-A	turquoise	OAP	32	32	407.768403255351	417.226489696156	56.1550233446012	68.644385713947	0.137713032437768	-47.8985050571904	-48.441096356668	65.0237605393148	0.582619269396638
3	IG-A	yellow	OAP	32	32	597.113957075968	589.547889030974	28.0466320582237	37.2412703647944	0.0469703173504206	141.447048763427	108.125138137216	141.447048763427	0.0666429859452034
4	IG-B	blue	OAP	31	31	605.687834911078	634.160565004324	226.900636411188	188.864639671494	0.374616466326255	85.2156800995182	109.257974821513	176.596980031317	0.00274936691967962
4	IG-B	brown	OAP	24	24	453.507130968092	567.452447589662	313.120842530487	276.685926459056	0.690443040800869	-66.1086106251632	8.53149761517517	181.331209292142	0.00169710702698156
4	IG-B	green	OAP	43	43	679.655665820167	674.755021221249	30.2731735660392	37.2000460215446	0.0445419277561784	169.904597458158	160.36293620933	169.904597458158	0.0362565516658289
4	IG-B	grey	OAP	43	43	371.296454519999	383.665040649362	96.3085235403638	120.217018031029	0.2593844416448	-138.45461384201	-147.672174660164	145.31488914581	0.341571290156376
4	IG-B	turquoise	OAP	43	43	374.0511742343	364.142799234655	48.9380867200898	58.5643080968725	0.130832597492224	-135.69989412771	-141.891211195717	138.360582897744	0.580391945781092
4	IG-B	yellow	OAP	43	43	589.464247987963	602.902510749386	42.0773315347564	40.478442477865	0.0713823301046336	79.7131796259536	74.0306095218424	82.3625106128196	0.038829067421882
5	IG-C	blue	OAP	13	13	698.563518551934	707.452042574136	69.8485033655703	104.133822525597	0.0999887648160623	141.465043576569	140.7974792341	141.465043576569	0.00330698039360187
5	IG-C	brown	OAP	4	4	549.821719858156	558.6	312.304166830783	531.578280141844	0.56800987584003	-4.44050126720462	-4.32874906590047	226.601876570754	0.000295340014485379
5	IG-C	green	OAP	13	13	666.317013719965	660.531327201383	23.0233567261335	24.384280641117	0.0345531575092116	109.218538744599	104.991058221858	109.218538744599	0.100148521809168
5	IG-C	grey	OAP	13	13	489.864951569148	493.069392315325	123.954898766331	256.174878885077	0.253038920970516	-67.2335234062173	-51.6108667715706	93.4689705975349	0.245039555317557
5	IG-C	turquoise	OAP	13	13	419.761029248396	417.490809104447	71.8698154434051	89.189178314273	0.1712160263474	-137.33744572697	-125.463163434229	137.33744572697	0.628767326266568
5	IG-C	yellow	OAP	13	13	512.352169869601	522.089781442349	40.1438844721446	46.6497010089569	0.0783521312740055	-44.7463051057642	-56.0688177231504	61.2533310604374	0.0226467423624946
1	G-A	blue	MGI	66	66	-13.8155105579643	-13.8155105579643	0	0	0	-0.349713544269449	0	0.349713544269449	0.00292340260748472
1	G-A	brown	MGI	60	60	-12.160209134498	-13.8155105579643	4.59752692969769	0	0.378079593767405	1.27061652476991	0	1.4561084428308	0.00167454912824539
1	G-A	green	MGI	67	67	-13.8155105579643	-13.8155105579643	0	0	0	-0.225930931233445	0	0.225930931233445	0.00729897573293151
1	G-A	grey	MGI	75	75	-13.3991804700499	-13.8155105579643	2.05515142307104	0	0.153378889676481	0.108582168957296	0	0.57568447242281	0.264992591477075
1	G-A	turquoise	MGI	75	75	-13.8155105579643	-13.8155105579643	0	0	0	-0.307747918957115	0	0.307747918957115	0.643992105144893
1	G-A	yellow	MGI	75	75	-13.8155105579643	-13.8155105579643	0	0	0	-0.307747918957115	0	0.307747918957115	0.0805826514594304
2	IG-D	blue	MGI	14	14	-13.8155105579643	-13.8155105579643	0	0	0	-0.580769806207573	-1.77635683940025e-15	0.580769806207573	0.00188229200204814
2	IG-D	brown	MGI	18	18	-8.19044239881445	-13.8155105579643	7.27092464426355	14.4125138779713	0.887732834225902	4.33464101695906	0	4.33464101695906	0.00564892514845446
2	IG-D	green	MGI	26	26	-13.8155105579643	-13.8155105579643	0	0	0	-0.192841024335058	0	0.192841024335058	0.015747604135016
2	IG-D	grey	MGI	51	51	-13.8155105579643	-13.8155105579643	0	0	0	-0.455444873714397	0	0.455444873714397	0.470146461803202
2	IG-D	turquoise	MGI	51	51	-13.8155105579643	-13.8155105579643	0	0	0	-0.455444873714397	0	0.455444873714397	0.483202554193621
2	IG-D	yellow	MGI	47	47	-13.8155105579643	-13.8155105579643	0	0	0	-0.391989729080365	0	0.391989729080365	0.0391857390627829
3	IG-A	blue	MGI	31	31	-13.8155105579643	-13.8155105579643	0	0	0	-1.79596300772415	-1.97174367898984	1.79596300772415	0.0126907272325412
3	IG-A	brown	MGI	32	32	-5.16938714011272	-2.04067475885272	5.51561217746943	12.1993288051509	1.06697603177563	6.81520842697005	9.28591447831716	7.01187786006262	0.044409691195722
3	IG-A	green	MGI	30	30	-13.8155105579643	-13.8155105579643	0	0	0	-1.78352308413185	-1.96738397745884	1.78352308413185	0.0068277564500307
3	IG-A	grey	MGI	32	32	-11.7260819571834	-13.8155105579643	4.01343953374865	0	0.3422660312629	0.258513609899404	-1.90396608028573	2.58134611854409	0.287632889784009
3	IG-A	turquoise	MGI	32	32	-13.8155105579643	-13.8155105579643	0	0	0	-1.83091499088154	-1.99125427873689	1.83091499088154	0.582619269396638
3	IG-A	yellow	MGI	32	32	-13.8155105579643	-13.8155105579643	0	0	0	-1.83091499088154	-1.99125427873689	1.83091499088154	0.0666429859452034
4	IG-B	blue	MGI	33	33	-13.8155105579643	-13.8155105579643	0	0	0	-0.124392536503044	0	0.124392536503044	0.00261117167484127
4	IG-B	brown	MGI	24	24	-12.606176016217	-13.8155105579643	4.09727995503182	0	0.325021636201251	0.918190521739192	0	1.05733228706751	0.00169710702698156
4	IG-B	green	MGI	43	43	-13.8155105579643	-13.8155105579643	0	0	0	-0.162498987911505	0	0.162498987911505	0.0362565516658289
4	IG-B	grey	MGI	43	43	-13.5825289974146	-13.8155105579643	1.52776226060083	0	0.112479955749893	0.0704825726382299	0	0.317820028277995	0.341571290156376
4	IG-B	turquoise	MGI	43	43	-13.8155105579643	-13.8155105579643	0	0	0	-0.162498987911505	0	0.162498987911505	0.580391945781092
4	IG-B	yellow	MGI	43	43	-13.8155105579643	-13.8155105579643	0	0	0	-0.162498987911505	0	0.162498987911505	0.038829067421882
5	IG-C	blue	MGI	13	13	-13.8155105579643	-13.8155105579643	0	0	0	-1.22978550420017e-15	-1.77635683940025e-15	1.22978550420017e-15	0.00330698039360187
5	IG-C	brown	MGI	4	4	-13.8155105579643	-13.8155105579643	0	0	0	0	0	0	0.000295340014485379
5	IG-C	green	MGI	13	13	-13.8155105579643	-13.8155105579643	0	0	0	-1.22978550420017e-15	-1.77635683940025e-15	1.22978550420017e-15	0.100148521809168
5	IG-C	grey	MGI	13	13	-13.8155105579643	-13.8155105579643	0	0	0	-1.22978550420017e-15	-1.77635683940025e-15	1.22978550420017e-15	0.245039555317557
5	IG-C	turquoise	MGI	13	13	-13.8155105579643	-13.8155105579643	0	0	0	-1.22978550420017e-15	-1.77635683940025e-15	1.22978550420017e-15	0.628767326266568
5	IG-C	yellow	MGI	13	13	-13.8155105579643	-13.8155105579643	0	0	0	-1.22978550420017e-15	-1.77635683940025e-15	1.22978550420017e-15	0.0226467423624946
1	G-A	blue	MFI	66	66	0	0	0	0		0.231155168653211	0	0.416548158580579	0.00292340260748472
1	G-A	brown	MFI	60	60	-1.41515520222514	0	4.78346865960807	0	3.38017247301689	-1.1901976364993	0	1.69891711730972	0.00167454912824539
1	G-A	green	MFI	67	67	0	0	0	0		0.108559750551919	0	0.296488533783401	0.00729897573293151
1	G-A	grey	MFI	75	75	0.111863359216228	0	2.94394090907034	0	26.3172939709402	0.291829411796897	0	1.02781246321693	0.264992591477075
1	G-A	turquoise	MFI	75	75	0	0	0	0		0.179966052580669	0	0.390012875385066	0.643992105144893
1	G-A	yellow	MFI	75	75	0	0	0	0		0.179966052580669	0	0.390012875385066	0.0805826514594304
2	IG-D	blue	MFI	14	14	0	0	0	0		0.417154846835637	0	0.704776390290071	0.00188229200204814
2	IG-D	brown	MFI	18	18	-5.39401937252641	0	6.96546923218386	13.7193677983282	1.29133189021556	-4.27064003903292	0	4.27064003903292	0.00564892514845446
2	IG-D	green	MFI	26	26	0	0	0	0		0.187509131414725	0	0.187509131414725	0.015747604135016
2	IG-D	grey	MFI	51	51	0.197387333743239	0	1.40962751662824	0	7.14142842854285	0.593874157329176	0	0.593874157329176	0.470146461803202
2	IG-D	turquoise	MFI	51	51	0	0	0	0		0.396486823585937	0	0.475441757083232	0.483202554193621
2	IG-D	yellow	MFI	47	47	0	0	0	0		0.332929902200852	0	0.418604404506428	0.0391857390627829
3	IG-A	blue	MFI	31	31	0	0	0	0		0.15791233737003	0.415146136129083	1.12703277580498	0.0126907272325412
3	IG-A	brown	MFI	32	32	-2.40749944422515	-2.48553878776255	6.89927906204821	3.60885764710301	2.86574482025217	-2.28902434835075	-2.80998942265912	5.00611832847562	0.044409691195722
3	IG-A	green	MFI	30	30	0	0	0	0		0.0908707247659293	0.207573068064542	1.09229517781538	0.0068277564500307
3	IG-A	grey	MFI	32	32	1.69543017943227	0	4.4909962325775	6.76361167727364	2.6488830310201	1.81390527530667	1.23370238828776	3.48072398121398	0.287632889784009
3	IG-A	turquoise	MFI	32	32	0	0	0	0		0.118475095874402	0.207573068064542	1.12631548251389	0.582619269396638
3	IG-A	yellow	MFI	32	32	0	0	0	0		0.118475095874402	0.207573068064542	1.12631548251389	0.0666429859452034
4	IG-B	blue	MFI	33	33	0	0	0	0		-0.0660845040137554	0	0.307868099461208	0.00261117167484127
4	IG-B	brown	MFI	24	24	-1.15157236016614	0	3.90158936673836	0	3.38805402222008	-1.00816129890734	0	1.14730306423565	0.00169710702698156
4	IG-B	green	MFI	43	43	0	0	0	0		0.0130949983072491	0	0.300081880043849	0.0362565516658289
4	IG-B	grey	MFI	43	43	0.561030699939143	0	2.76510340252908	0	4.92861335899983	0.574125698246392	0	0.962428299162617	0.341571290156376
4	IG-B	turquoise	MFI	43	43	0	0	0	0		0.0130949983072491	0	0.300081880043849	0.580391945781092
4	IG-B	yellow	MFI	43	43	0	0	0	0		0.0130949983072491	0	0.300081880043849	0.038829067421882
5	IG-C	blue	MFI	13	13	0	0	0	0		-0.0882764459549851	0	0.0882764459549851	0.00330698039360187
5	IG-C	brown	MFI	4	4	0	0	0	0		-0.286898449353702	0	0.286898449353702	0.000295340014485379
5	IG-C	green	MFI	13	13	0	0	0	0		-0.0882764459549851	0	0.0882764459549851	0.100148521809168
5	IG-C	grey	MFI	13	13	0.529658675729911	0	1.90971151383855	0	3.60555127546399	0.441382229774926	0	0.441382229774926	0.245039555317557
5	IG-C	turquoise	MFI	13	13	0	0	0	0		-0.0882764459549851	0	0.0882764459549851	0.628767326266568
5	IG-C	yellow	MFI	13	13	0	0	0	0		-0.0882764459549851	0	0.0882764459549851	0.0226467423624946
1	G-A	blue	DCI	66	66	-3.2906400739468	0	6.31049375458921	10.7008430956756	1.91771011498696	-0.512144300730498	0.806738607779112	3.90548041510112	0.00292340260748472
1	G-A	brown	DCI	60	60	-8.63647007458031	-13.1022442865355	6.81254194871509	14.2796047121711	0.788810925052172	-5.55048452275875	-8.59762396819625	6.62046814375508	0.00167454912824539
1	G-A	green	DCI	67	67	-1.02841767906032	0	3.03482336714642	0	2.95096382426969	1.6447373414423	2.59059846638613	2.78211504059669	0.00729897573293151
1	G-A	grey	DCI	75	75	-1.89369852364552	-1.80997830624775	0.585848731581103	0.66124560813518	0.309367475480362	0.842974197163199	0.855138992051952	1.78301593588513	0.264992591477075
1	G-A	turquoise	DCI	75	75	-1.92500311321517	-1.85486867939507	0.430642157077611	0.540512656157475	0.223709849673098	0.811669607593549	0.977094624632065	1.85353611423803	0.643992105144893
1	G-A	yellow	DCI	75	75	-0.969540614404082	-0.500503585696445	2.92959669898275	0.900887328884821	3.02163380827878	1.76713210640463	2.31082126123061	2.85887979685457	0.0805826514594304
2	IG-D	blue	DCI	14	14	0.0289615570421308	0	0.108364223839164	0	3.74165738677394	2.027929231178	2.42996698888649	2.44719321258793	0.00188229200204814
2	IG-D	brown	DCI	18	18	-4.09909199568509	0	6.62215644727499	10.6608349678462	1.61551788889974	-1.53907743857646	0.588912584948374	3.84555366994781	0.00564892514845446
2	IG-D	green	DCI	26	26	0	0	0	0		1.77240713384554	1.71871485077967	2.13896933327288	0.015747604135016
2	IG-D	grey	DCI	51	51	-2.35579343477066	-1.54001691293033	4.17279407382333	2.19014972987058	1.7712903059472	-0.00540566835327543	0.270305614852797	2.5729530075332	0.470146461803202
2	IG-D	turquoise	DCI	51	51	-4.31399247055617	-2.04647919306117	5.12434661698081	9.54332546798677	1.18784319906802	-1.96360470413879	-1.26516474254472	3.44010445280297	0.483202554193621
2	IG-D	yellow	DCI	47	47	-1.18585959651402	0	4.88987045959	0	4.1234817966346	1.1414750675531	2.31499000284731	3.55464978553709	0.0391857390627829
3	IG-A	blue	DCI	31	31	-1.28378265127351	-1.17900618159547	4.14330889054004	1.82570233888633	3.2274224039637	1.42766498124689	1.43134637411858	2.67729789418186	0.0126907272325412
3	IG-A	brown	DCI	32	32	-4.44620881078379	-2.24417438572726	4.71954674982016	1.16185400857517	1.06147663114099	-1.66796030385127	-0.01572248184466	2.85224467282407	0.044409691195722
3	IG-A	green	DCI	30	30	-4.7534872664347	-4.51887581382414	4.83706308954945	9.5272799427993	1.01758200210294	-2.09231148357836	-2.64533375162472	4.16895435815834	0.0068277564500307
3	IG-A	grey	DCI	32	32	-2.07113508567637	-1.92768995547543	0.747769471293204	1.07188434606405	0.361043312174399	0.707113421256148	0.921588807071437	1.39738299434685	0.287632889784009
3	IG-A	turquoise	DCI	32	32	-1.78470226997165	-1.52914327771673	0.700108241834935	1.23655435363747	0.392282933469938	0.993546236960869	1.49333489983876	1.64321268560011	0.582619269396638
3	IG-A	yellow	DCI	32	32	-2.23245629602648	-1.38135355961983	3.35379790931781	1.16416604261884	1.50229051080964	0.545792210906041	1.29350390474467	2.30437706991245	0.0666429859452034
4	IG-B	blue	DCI	33	33	-1.32857084778455	0	6.24723360335165	0.996019418505701	4.70222089681493	2.11435402057591	2.64329858321327	4.7219360293183	0.00261117167484127
4	IG-B	brown	DCI	24	24	-4.71411753675001	0	6.74118838125906	13.2322570726029	1.4300000644249	-1.30345452122225	1.74512048467876	4.75586045411802	0.00169710702698156
4	IG-B	green	DCI	43	43	-8.30709979341443	-9.32696318427187	3.05562044150952	0.282819739127591	0.367832398490254	-4.90679736812198	-5.57701055079103	5.41038524592119	0.0362565516658289
4	IG-B	grey	DCI	43	43	-2.0519905830069	-1.64325800715817	1.77007628304177	0.687516846477045	0.862614233077026	1.34831184228555	1.42960219073678	1.9722541369767	0.341571290156376
4	IG-B	turquoise	DCI	43	43	-1.33208279447469	-1.44740628113399	0.470270138407525	0.674622251392103	0.353033715590461	2.06821963081776	1.87358228529491	2.17649137864202	0.580391945781092
4	IG-B	yellow	DCI	43	43	-2.80517081328938	-1.13078705457895	4.01066833497784	1.03432170343275	1.42974121788857	0.595131612003063	1.63623391452422	3.0316852773432	0.038829067421882
5	IG-C	blue	DCI	13	13	2.37649365035473	0	4.8344237831384	0	2.03426749422065	4.80290803066702	3.04408927039673	4.80290803066702	0.00330698039360187
5	IG-C	brown	DCI	4	4	-3.80045122977105	0	7.6009024595421	3.80045122977105	2	-1.62347287939457	0.353883382406734	4.06844205004542	0.000295340014485379
5	IG-C	green	DCI	13	13	-9.21019146104849	-9.16123789352176	0.257812912871725	0.47740537143406	0.0279921339270808	-6.7837770807362	-6.37805018285733	6.7837770807362	0.100148521809168
5	IG-C	grey	DCI	13	13	-3.25155019796902	-3.25974534301167	1.41976762506058	1.70586912599892	0.436643305075651	-0.825135817656735	-0.812811943217336	1.49324794625677	0.245039555317557
