module	index	n	centered_mean	centered_median
grey	OAP	214	-85.5602485112862	-64.9670582260193
green	OAP	172	190.643416156993	200.524842702073
turquoise	OAP	214	-74.2394197717807	-81.6069100557836
yellow	OAP	210	103.29340343984	92.3390073209457
blue	OAP	155	121.453079294506	153.435729857396
brown	OAP	138	-283.408554923488	-305.904176338522
grey	MGI	214	-0.0176674754551973	0
green	MGI	179	-0.450527307427387	0
turquoise	MGI	214	-0.522829526493558	0
yellow	MGI	210	-0.509911177985544	0
blue	MGI	157	-0.579564828998334	0
brown	MGI	138	2.85785342011767	0
grey	MFI	214	0.657220237056251	0
green	MFI	179	0.0798343775225486	0
turquoise	MFI	214	0.172546617496312	0
yellow	MFI	210	0.154056445451276	0
blue	MFI	157	0.144352286722376	0
brown	MFI	138	-1.78895378993453	0
grey	DCI	214	0.620680601729723	0.853427564540227
green	DCI	179	-1.14899858117066	0.654980675996808
turquoise	DCI	214	0.413567150396931	1.01119967573542
yellow	DCI	210	1.262700643809	1.91270564885386
blue	DCI	157	1.08954513939241	2.05036392921132
brown	DCI	138	-3.27452170297141	-0.412654232068707
grey	MII	214	3.83528978709125	3.70074259317614
green	MII	179	-8.73841239584009	-8.79295837540286
turquoise	MII	214	2.47865678577157	2.4749563033596
yellow	MII	210	1.43154791634602	1.78312242650712
blue	MII	157	-2.73233440830935	-0.623875216946054
brown	MII	138	2.47349776764229	3.23334497385841
grey	SRPI	214	1.19417688526093	0.740085508774431
green	SRPI	179	-1.13345712071913	-0.459509176563674
turquoise	SRPI	214	0.83989795741718	0.329146218680963
yellow	SRPI	210	0.554778154982834	0.199732476858607
blue	SRPI	157	-2.02176696608833	-0.655849432771137
brown	SRPI	138	-0.228182540542888	0.444256202887154
