module	index	n	mean	median	mean_scaled_by_index
grey	OAP	214	382.122349673183	404.121779079425	-0.504592606791397
green	OAP	172	688.6578112662	698.478096732761	1.15605666566585
turquoise	OAP	214	393.443178412689	390.874362013013	-0.443262260500717
yellow	OAP	210	577.037854914919	588.734067348397	0.551357952038497
blue	OAP	155	616.43061117416	660.722222222222	0.764767362101624
brown	OAP	138	193.891883072952	189.898346835828	-1.52432711251386
grey	MGI	214	-13.3103485069259	-13.8155105579643	-0.129533841031299
green	MGI	179	-13.8155105579643	-13.8155105579643	-0.47308547526217
turquoise	MGI	214	-13.8155105579643	-13.8155105579643	-0.473085475262186
yellow	MGI	210	-13.8155105579643	-13.8155105579643	-0.473085475262185
blue	MGI	157	-13.8155105579643	-13.8155105579643	-0.473085475262156
brown	MGI	138	-10.1468925098059	-13.8155105579643	2.02187574208
grey	MFI	214	0.484673619559939	0	0.825595670201236
green	MFI	179	0	0	0.292159235621711
turquoise	MFI	214	0	0	0.292159235621711
yellow	MFI	210	0	0	0.292159235621711
blue	MFI	157	0	0	0.292159235621711
brown	MFI	138	-2.07738680940707	0	-1.99423261268808
grey	DCI	214	-2.14464918145446	-1.77631114738951	0.456544696671672
green	DCI	179	-3.84606917653929	0	-0.485509266900712
turquoise	DCI	214	-2.35176263278725	-1.74565742547725	0.341868691745867
yellow	DCI	210	-1.50537329297807	-0.606483668913456	0.810503381943511
blue	DCI	157	-1.71670360378125	0	0.693492557167589
brown	DCI	138	-6.25066063871968	-2.10679410723176	-1.81690006062793
grey	MII	214	-2.0052001104289	-2.02354467907252	0.819039331150932
green	MII	179	-14.7426405920536	-14.7912119746194	-1.80525355546414
turquoise	MII	214	-3.36183311174858	-2.99572911503937	0.539532444328065
yellow	MII	210	-4.40283238139908	-3.16969337072225	0.325055526280332
blue	MII	157	-8.48641145247483	-4.30452307351902	-0.516283636294292
brown	MII	138	-2.88434187387635	-1.18417506644798	0.637909889999102
grey	SRPI	214	-0.478887075176296	-0.440493372373456	1.06315789990195
green	SRPI	179	-2.87036149872855	-1.56874767046278	-0.817413543195643
turquoise	SRPI	214	-0.833166003020048	-0.830889158254472	0.784565401469721
yellow	SRPI	210	-1.1232721031223	-1.06727613684494	0.556436159547771
blue	SRPI	157	-3.74682652035105	-1.75312711848999	-1.50663483458997
brown	SRPI	138	-1.93275288931797	-0.714564248023138	-0.0801110831338322
