module	index	n	mean	median
grey	OAP	214	382.122349673183	404.121779079425
green	OAP	172	688.6578112662	698.478096732761
turquoise	OAP	214	393.443178412689	390.874362013013
yellow	OAP	210	577.037854914919	588.734067348397
blue	OAP	155	616.43061117416	660.722222222222
brown	OAP	138	193.891883072952	189.898346835828
grey	MGI	214	-13.3103485069259	-13.8155105579643
green	MGI	179	-13.8155105579643	-13.8155105579643
turquoise	MGI	214	-13.8155105579643	-13.8155105579643
yellow	MGI	210	-13.8155105579643	-13.8155105579643
blue	MGI	157	-13.8155105579643	-13.8155105579643
brown	MGI	138	-10.1468925098059	-13.8155105579643
grey	MFI	214	0.484673619559939	0
green	MFI	179	0	0
turquoise	MFI	214	0	0
yellow	MFI	210	0	0
blue	MFI	157	0	0
brown	MFI	138	-2.07738680940707	0
grey	DCI	214	-2.14464918145446	-1.77631114738951
green	DCI	179	-3.84606917653929	0
turquoise	DCI	214	-2.35176263278725	-1.74565742547725
yellow	DCI	210	-1.50537329297807	-0.606483668913456
blue	DCI	157	-1.71670360378125	0
brown	DCI	138	-6.25066063871968	-2.10679410723176
grey	MII	214	-2.0052001104289	-2.02354467907252
green	MII	179	-14.7426405920536	-14.7912119746194
turquoise	MII	214	-3.36183311174858	-2.99572911503937
yellow	MII	210	-4.40283238139908	-3.16969337072225
blue	MII	157	-8.48641145247483	-4.30452307351902
brown	MII	138	-2.88434187387635	-1.18417506644798
grey	SRPI	214	-0.478887075176296	-0.440493372373456
green	SRPI	179	-2.87036149872855	-1.56874767046278
turquoise	SRPI	214	-0.833166003020048	-0.830889158254472
yellow	SRPI	210	-1.1232721031223	-1.06727613684494
blue	SRPI	157	-3.74682652035105	-1.75312711848999
brown	SRPI	138	-1.93275288931797	-0.714564248023138
