module	index	n	mean	median	median_scaled_by_index
grey	OAP	214	382.122349673183	404.121779079425	-0.434860179617559
green	OAP	172	688.6578112662	698.478096732761	1.076704016768
turquoise	OAP	214	393.443178412689	390.874362013013	-0.502887669198264
yellow	OAP	210	577.037854914919	588.734067348397	0.513151833118752
blue	OAP	155	616.43061117416	660.722222222222	0.882821892652803
brown	OAP	138	193.891883072952	189.898346835828	-1.53492989372373
grey	MGI	214	-13.3103485069259	-13.8155105579643	0
green	MGI	179	-13.8155105579643	-13.8155105579643	0
turquoise	MGI	214	-13.8155105579643	-13.8155105579643	0
yellow	MGI	210	-13.8155105579643	-13.8155105579643	0
blue	MGI	157	-13.8155105579643	-13.8155105579643	0
brown	MGI	138	-10.1468925098059	-13.8155105579643	0
grey	MFI	214	0.484673619559939	0	0
green	MFI	179	0	0	0
turquoise	MFI	214	0	0	0
yellow	MFI	210	0	0	0
blue	MFI	157	0	0	0
brown	MFI	138	-2.07738680940707	0	0
grey	DCI	214	-2.14464918145446	-1.77631114738951	-0.774458984427175
green	DCI	179	-3.84606917653929	0	1.09187358864243
turquoise	DCI	214	-2.35176263278725	-1.74565742547725	-0.74225176680388
yellow	DCI	210	-1.50537329297807	-0.606483668913456	0.45465401819082
blue	DCI	157	-1.71670360378125	0	1.09187358864243
brown	DCI	138	-6.25066063871968	-2.10679410723176	-1.12169044424462
grey	MII	214	-2.0052001104289	-2.02354467907252	0.540488251229933
green	MII	179	-14.7426405920536	-14.7912119746194	-1.99537872680211
turquoise	MII	214	-3.36183311174858	-2.99572911503937	0.34739656496827
yellow	MII	210	-4.40283238139908	-3.16969337072225	0.312844426262557
blue	MII	157	-8.48641145247483	-4.30452307351902	0.0874487371051517
brown	MII	138	-2.88434187387635	-1.18417506644798	0.707200747236194
grey	SRPI	214	-0.478887075176296	-0.440493372373456	1.22230116270348
green	SRPI	179	-2.87036149872855	-1.56874767046278	-0.994765949194049
turquoise	SRPI	214	-0.833166003020048	-0.830889158254472	0.455157036626628
yellow	SRPI	210	-1.1232721031223	-1.06727613684494	-0.00935331073148297
blue	SRPI	157	-3.74682652035105	-1.75312711848999	-1.35707931332057
brown	SRPI	138	-1.93275288931797	-0.714564248023138	0.683740373915989
