module	index	n	sd	iqr
grey	OAP	214	150.209290158499	198.267124723222
green	OAP	172	131.10563660478	71.3296502900684
turquoise	OAP	214	77.0519166812068	103.054016153923
yellow	OAP	210	67.7332162575145	59.5534657930812
blue	OAP	155	232.339136819277	188.754498427748
brown	OAP	138	288.089837165298	384.552040887834
grey	MGI	214	2.17793586552948	0
green	MGI	179	0	0
turquoise	MGI	214	0	0
yellow	MGI	210	0	0
blue	MGI	157	0	0
brown	MGI	138	5.90616172984749	11.6022558786236
grey	MFI	214	2.90106245454965	0
green	MFI	179	0	0
turquoise	MFI	214	0	0
yellow	MFI	210	0	0
blue	MFI	157	0	0
brown	MFI	138	5.58031340216154	2.40111565251035
grey	DCI	214	2.26484841359482	0.929320595638418
green	DCI	179	4.65093335529932	9.33518287402724
turquoise	DCI	214	2.76389470704091	0.815277572072268
yellow	DCI	210	3.81832149148966	1.36624200823816
blue	DCI	157	5.69959393122794	1.58272776210653
brown	DCI	138	6.61919228539618	13.6716779998915
grey	MII	214	0.479601914164727	0.522532077802705
green	MII	179	0.19236486523865	0.1330280563113
turquoise	MII	214	2.08466713338551	0.557320453203928
yellow	MII	210	3.62650882887086	0.416567953450135
blue	MII	157	6.11432877839202	11.7600908622493
brown	MII	138	8.61543407006544	13.5333274222168
grey	SRPI	214	0.301212575467096	0.329240426345414
green	SRPI	179	3.00217263667524	0.816183659102725
turquoise	SRPI	214	0.162831671546871	0.219484519693918
yellow	SRPI	210	0.844222346573278	0.270475186063386
blue	SRPI	157	3.63331559286612	8.03824420943168
brown	SRPI	138	3.10856156337431	0.989282634301428
