module	index	profile_mean
grey	OAP	382.122349673183
green	OAP	688.6578112662
turquoise	OAP	393.443178412689
yellow	OAP	577.037854914919
blue	OAP	616.43061117416
brown	OAP	193.891883072952
grey	MGI	-13.3103485069259
green	MGI	-13.8155105579643
turquoise	MGI	-13.8155105579643
yellow	MGI	-13.8155105579643
blue	MGI	-13.8155105579643
brown	MGI	-10.1468925098059
grey	MFI	0.484673619559939
green	MFI	0
turquoise	MFI	0
yellow	MFI	0
blue	MFI	0
brown	MFI	-2.07738680940707
grey	DCI	-2.14464918145446
green	DCI	-3.84606917653929
turquoise	DCI	-2.35176263278725
yellow	DCI	-1.50537329297807
blue	DCI	-1.71670360378125
brown	DCI	-6.25066063871968
grey	MII	-2.0052001104289
green	MII	-14.7426405920536
turquoise	MII	-3.36183311174858
yellow	MII	-4.40283238139908
blue	MII	-8.48641145247483
brown	MII	-2.88434187387635
grey	SRPI	-0.478887075176296
green	SRPI	-2.87036149872855
turquoise	SRPI	-0.833166003020048
yellow	SRPI	-1.1232721031223
blue	SRPI	-3.74682652035105
brown	SRPI	-1.93275288931797
non_damaged	OAP	36.8356474365324
non_damaged	MGI	-13.2606802326125
non_damaged	MFI	3.63436003594867
non_damaged	DCI	-2.91358815945063
non_damaged	MII	-1.22867872188267
non_damaged	SRPI	-0.61365582365066
