module	index	profile_mean	profile_mean_scaled_by_index
grey	OAP	382.122349673183	-0.129092649984797
green	OAP	688.6578112662	1.16795070639805
turquoise	OAP	393.443178412689	-0.0811908325930483
yellow	OAP	577.037854914919	0.695653236888992
blue	OAP	616.43061117416	0.862335788167494
brown	OAP	193.891883072952	-0.925552135957151
grey	MGI	-13.3103485069259	-0.126812627802352
green	MGI	-13.8155105579643	-0.502859160233281
turquoise	MGI	-13.8155105579643	-0.502859160233281
yellow	MGI	-13.8155105579643	-0.502859160233281
blue	MGI	-13.8155105579643	-0.502859160233281
brown	MGI	-10.1468925098059	2.22808844952417
grey	MFI	0.484673619559939	0.114117298538087
green	MFI	0	-0.172446640736064
turquoise	MFI	0	-0.172446640736064
yellow	MFI	0	-0.172446640736064
blue	MFI	0	-0.172446640736064
brown	MFI	-2.07738680940707	-1.40070442798753
grey	DCI	-2.14464918145446	0.495260503078017
green	DCI	-3.84606917653929	-0.536624044937905
turquoise	DCI	-2.35176263278725	0.369649442473373
yellow	DCI	-1.50537329297807	0.882971305315912
blue	DCI	-1.71670360378125	0.754802785564661
brown	DCI	-6.25066063871968	-1.99497106171388
grey	MII	-2.0052001104289	0.689508612144012
green	MII	-14.7426405920536	-1.97469907701142
turquoise	MII	-3.36183311174858	0.405750499303992
yellow	MII	-4.40283238139908	0.188011443909851
blue	MII	-8.48641145247483	-0.666124265389769
brown	MII	-2.88434187387635	0.505624239972594
grey	SRPI	-0.478887075176296	0.943450738241173
green	SRPI	-2.87036149872855	-0.97169646603618
turquoise	SRPI	-0.833166003020048	0.659736101148582
yellow	SRPI	-1.1232721031223	0.427412526586007
blue	SRPI	-3.74682652035105	-1.67358962419671
brown	SRPI	-1.93275288931797	-0.220838129716693
non_damaged	OAP	36.8356474365324	-1.59010411291954
non_damaged	MGI	-13.2606802326125	-0.0898391807886882
non_damaged	MFI	3.63436003594867	1.9763736923937
non_damaged	DCI	-2.91358815945063	0.0289110702198222
non_damaged	MII	-1.22867872188267	0.851928547070738
non_damaged	SRPI	-0.61365582365066	0.83552485397382
