core	module	index	n	age_min_kyr	age_max_kyr	mean	median	sd	iqr	spearman_rho_age	spearman_p_age	scope	group_level	state	state_label	spearman_q_age
ST8	grey	OAP	115	1.5215	107.683	388.680626370802	445.387307424962	173.435550809446	227.373941223063	-0.734703700781188	9.16656519293502e-21	sample_module	core		""	2.19997564630441e-19
ST8	green	OAP	85	1.5215	107.683	705.218389320585	711.158876011773	140.854360681885	106.130032741384	0.285172790263774	0.00815925540703332	sample_module	core		""	0.0391644259537599
ST8	turquoise	OAP	115	1.5215	107.683	399.770798399865	415.438649025908	83.6400250687473	105.407936029429	-0.261303558746942	0.00479133084416406	sample_module	core		""	0.0383306467533125
ST8	yellow	OAP	111	1.5215	107.683	567.643984032599	581.119061900682	82.145228949338	55.6554578313395	0.104848422359901	0.273444892218113	sample_module	core		""	0.656267741323472
ST8	blue	OAP	79	1.5215	106.686	630.024660171403	673.296003748838	219.196927066285	200.686328024019	0.0876687692116581	0.442322103719302	sample_module	core		""	0.758266463518804
ST8	brown	OAP	72	1.5215	104.692	147.253890385693	199.339434425409	233.062832741157	304.534227033087	0.0115325235382846	0.9234036317207	sample_module	core		""	0.9234036317207
ST13	grey	OAP	48	5.659	148.086	397.219177686051	456.562061399245	143.268694700239	184.879902068966	-0.479700390794616	0.000560644498201747	sample_module	core		""	0.00672773397842097
ST13	turquoise	OAP	48	5.659	148.086	379.438940524765	383.358780354813	58.8497164631827	74.8010148951747	-0.117129830655667	0.427869277490483	sample_module	core		""	0.758266463518804
ST13	yellow	OAP	48	5.659	148.086	579.670437610893	591.608211465817	42.3664371375821	43.33149533709	-0.303842813721233	0.0357715175221092	sample_module	core		""	0.143086070088437
ST13	green	OAP	43	5.659	148.086	651.823225700088	685.63047911748	142.016040630563	50.4938654575931	0.0738447598912715	0.637921422161899	sample_module	core		""	0.89615628122042
ST13	blue	OAP	42	5.659	148.086	578.974824018622	631.159935085856	268.075521267634	138.260208801637	-0.0296230537754523	0.852267212195731	sample_module	core		""	0.914857616909076
ST13	brown	OAP	30	6.031	148.086	185.46781710138	169.43786013301	233.52737457441	297.693182358143	0.481699858359534	0.00703349425394825	sample_module	core		""	0.0391644259537599
GeoB25202_R1	grey	OAP	26	0.692	147.206	356.205474686667	354.93465002904	78.6090226285405	85.7773872480625	-0.246495726495726	0.224781713419392	sample_module	core		""	0.636227331890604
GeoB25202_R1	turquoise	OAP	26	0.692	147.206	391.590804839604	381.92147745127	72.295567667261	107.888371470257	0.0721367521367521	0.726193634859797	sample_module	core		""	0.89615628122042
GeoB25202_R1	yellow	OAP	26	0.692	147.206	595.03913419438	599.815950004502	42.658083275119	58.216593134102	-0.120683760683761	0.557030833241998	sample_module	core		""	0.891249333187198
GeoB25202_R1	green	OAP	22	0.692	147.206	690.104094313215	701.647107624371	107.478057575742	73.5836293598122	0.0351077284813193	0.876738549537864	sample_module	core		""	0.914857616909076
GeoB25202_R1	brown	OAP	19	0.692	147.206	278.440891208428	242.827128172181	441.671663287558	905.464602976254	-0.218097448145043	0.369723222209104	sample_module	core		""	0.739446444418209
GeoB25202_R1	blue	OAP	16	0.692	147.206	662.03983794092	683.164123919024	141.246448401557	289.753357516062	0.0447811075519899	0.869199280928574	sample_module	core		""	0.914857616909076
GeoB25202_R2	grey	OAP	25	0.692	147.206	349.921917065408	362.518529666489	90.8985681225585	105.357898512156	-0.0784615384615385	0.709298370419652	sample_module	core		""	0.89615628122042
GeoB25202_R2	turquoise	OAP	25	0.692	147.206	393.150731732499	364.190254437605	81.5285452888579	115.445468153693	0.187692307692308	0.36895229419054	sample_module	core		""	0.739446444418209
GeoB25202_R2	yellow	OAP	25	0.692	147.206	594.970752405507	595.683573278639	50.0578840242602	64.6922315281801	0.262307692307692	0.20525778741209	sample_module	core		""	0.636227331890604
GeoB25202_R2	brown	OAP	17	2.324	147.206	311.787547664471	510.293301104972	343.704692518103	484.439840151648	0.0846106842049583	0.746796901017016	sample_module	core		""	0.89615628122042
GeoB25202_R2	blue	OAP	18	0.692	147.206	603.623142367618	672.633830076889	266.788944993535	140.177826250764	0.292658330188128	0.238585249458976	sample_module	core		""	0.636227331890604
GeoB25202_R2	green	OAP	22	0.692	147.206	695.222348433736	691.48876513453	69.1447238951328	59.5983844799064	-0.119175378940392	0.597331329245323	sample_module	core		""	0.895996993867985
ST8	grey	MGI	115	1.5215	107.683	-13.3024975032874	-13.8155105579643	2.20109232264619	0	-0.195957734921449	0.0358301195484079	sample_module	core		""	0.0838857926551036
ST8	green	MGI	89	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST8	turquoise	MGI	115	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST8	yellow	MGI	111	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST8	blue	MGI	80	1.5215	106.686	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST8	brown	MGI	72	1.5215	104.692	-10.3378831682507	-13.8155105579643	5.87857228379413	11.7120725994954	-0.106826513824139	0.371777805471814	sample_module	core		""	0.55766670820772
ST13	grey	MGI	48	5.659	148.086	-12.7924235239149	-13.8155105579643	3.03223675689895	0	-0.294805543300309	0.0419428963275518	sample_module	core		""	0.0838857926551036
ST13	turquoise	MGI	48	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST13	yellow	MGI	48	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST13	green	MGI	45	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST13	blue	MGI	43	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
ST13	brown	MGI	30	6.031	148.086	-9.62662333788839	-13.8155105579643	6.04938510796031	11.8157280411183	-0.438514340066532	0.0153511170234457	sample_module	core		""	0.0838857926551036
GeoB25202_R1	grey	MGI	26	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core		""	
