module	proxy	n	beta	p_value	beta_ar1	p_value_ar1	q_value	q_value_ar1
MEbrown	ba_ti_z	188	-0.522252550915477	5.35657041064425e-16	-0.471657544925985	4.37733849093688e-13	6.69571301330531e-15	5.4716731136711e-12
MEbrown	ca_ti_z	188	-0.351419420704566	1.60174103428287e-07	-0.34444030395309	5.26204036106707e-07	8.00870517141436e-07	4.38503363422256e-06
MEbrown	zr_rb_z	189	0.147844211440908	0.0281399202629821	0.181240296932745	0.00793119605449302	0.0416495886681327	0.0220311001513695
MEbrown	ti_al_z	188	0.434994290010193	1.31781580336344e-10	0.324877897241762	8.35960832118448e-07	1.0981798361362e-09	5.2247552007403e-06
MEbrown	mn_fe_z	188	-0.100095469388933	0.145511510411699	-0.100454618208511	0.119506814594679	0.173227988585356	0.186729397804186
MEgreen	ba_ti_z	188	0.101677145942135	0.174908097046705	0.212230830788072	0.0145925831129436	0.198759201189438	0.036481457782359
MEgreen	ca_ti_z	188	0.656061618001035	7.1480294940774e-24	0.635351973128798	9.29002993718972e-20	1.78700737351935e-22	2.32250748429743e-18
MEgreen	zr_rb_z	189	0.256898670081828	0.000300880927661444	0.1788066180407	0.0295204356830902	0.000829823455655171	0.0670918992797506
MEgreen	ti_al_z	188	-0.286863947135273	0.000129540176967396	-0.283292411625241	0.000661123071245207	0.000404813053023111	0.0027546794635217
MEgreen	mn_fe_z	188	0.386166537574273	4.86766819789225e-08	0.282780189873834	0.000208109017936345	3.04229262368266e-07	0.00104054508968173
MEblue	ba_ti_z	188	-0.190954552890443	0.00684063213413137	-0.0772929184658696	0.294996439573677	0.0131550617964065	0.351186237587711
MEblue	ca_ti_z	188	-0.11945860994515	0.0892460487660437	-0.0818248288069225	0.267933659774154	0.111557560957555	0.334917074717692
MEblue	zr_rb_z	189	-0.116145036693556	0.0889141026748757	-0.149841113128522	0.0393079176875642	0.111557560957555	0.075739145983604
MEblue	ti_al_z	188	0.158088101764163	0.0283217202943302	0.0579671963936396	0.433676993445102	0.0416495886681327	0.471388036353372
MEblue	mn_fe_z	188	-0.0901038872619576	0.196577202045123	-0.0616727158108113	0.384411870564502	0.213670871788177	0.436831671096025
MEturquoise	ba_ti_z	188	-0.235461703017781	0.000115187931364155	-0.146615978264818	0.0393843559114741	0.000404813053023111	0.075739145983604
MEturquoise	ca_ti_z	188	0.19022686562128	0.00176952617824884	0.214305892131133	0.00283467976408345	0.00402165040511099	0.010123856300298
MEturquoise	zr_rb_z	189	-0.123565830181959	0.0377215241793039	-0.0973021739903937	0.164885029494211	0.0523910058045887	0.24247798455031
MEturquoise	ti_al_z	188	0.155248375607132	0.0135506839013342	0.0866739554987971	0.221430048891732	0.024197649823811	0.291355327489122
MEturquoise	mn_fe_z	188	0.024758465568668	0.685268790870677	-0.0199687266097991	0.7640032807883	0.685268790870677	0.795836750821146
MEyellow	ba_ti_z	188	-0.213741302561922	0.000331929382262068	-0.123506360738695	0.0712729749842449	0.000829823455655171	0.127273169614723
MEyellow	ca_ti_z	188	-0.0266171307874577	0.657116037024216	0.0128869350116994	0.856807814216716	0.684495871900225	0.856807814216716
MEyellow	zr_rb_z	189	-0.274636225288696	1.20780069373968e-06	-0.190646240591389	0.00371226195037723	5.03250289058202e-06	0.0116008185949288
MEyellow	ti_al_z	188	0.175862622942743	0.00392651344003166	0.0854485108530733	0.20684138182488	0.00818023633339929	0.287279696979001
MEyellow	mn_fe_z	188	-0.142199778171766	0.0158811957885209	-0.0993086107268894	0.115581847151801	0.0264686596475348	0.186729397804186
