exclusion_reason	phylum	excluded_taxa_n
curated_diagenetic	p__Chloroflexota	237
curated_diagenetic	p__Desulfobacterota	82
curated_diagenetic	p__Proteobacteria	52
curated_diagenetic	p__Desulfobacterota_B	18
curated_diagenetic	p__Nitrospirota	9
curated_diagenetic	p__Desulfobacterota_D	7
curated_diagenetic	p__Planctomycetota	4
curated_diagenetic	p__Desulfobacterota_E	3
curated_diagenetic	p__Halobacteriota	3
curated_diagenetic	p__Acidobacteriota	2
curated_diagenetic	p__SAR324	2
curated_diagenetic	p__AABM5-125-24	1
curated_diagenetic	p__Elusimicrobiota	1
curated_diagenetic	p__Methanobacteriota_A	1
curated_diagenetic	p__Methylomirabilota	1
curated_diagenetic	p__Myxococcota	1
curated_diagenetic	p__Nitrospinota	1
extra_phylum	p__Asgardarchaeota	29
extra_phylum	p__Atribacterota	11
extra_phylum	p__Aerophobota	7
