module	index	analysis_set	direction_baseline	q_value_baseline	status_baseline	direction_sensitivity	q_value_sensitivity	status_sensitivity
blue	DCI	exclude_grey	enriched	1.55450020481777e-05	ok	no_call	0.549015986177242	ok
blue	DCI	include_grey	enriched	1.59753936957564e-05	ok	no_call	0.727920062158922	ok
blue	MFI	exclude_grey	no_call	0.000134545096459804	ok	no_call		ok
blue	MFI	include_grey	no_call	0.0790764084662333	ok	no_call		ok
blue	MGI	exclude_grey	no_call	7.04129629084938e-07	ok	no_call		ok
blue	MGI	include_grey	no_call	8.18558997105746e-08	ok	no_call		ok
blue	MII	exclude_grey	depleted	1.62310772901763e-05	ok	enriched	0.00333683526236947	ok
blue	MII	include_grey	depleted	1.71165964971334e-06	ok	enriched	0.00239720800732383	ok
blue	OAP	exclude_grey	enriched	8.88249517984649e-13	ok	enriched	7.99651001319691e-12	ok
blue	OAP	include_grey	enriched	1.57309120580349e-13	ok	enriched	9.73966511365232e-13	ok
blue	SRPI	exclude_grey	depleted	9.30099784982183e-11	ok	depleted	6.14348974774462e-08	ok
blue	SRPI	include_grey	depleted	5.41651600987168e-13	ok	depleted	9.03949139870611e-09	ok
brown	DCI	exclude_grey	depleted	1.40017090966727e-05	ok	enriched	2.02562538428231e-11	ok
brown	DCI	include_grey	depleted	3.1187018146702e-05	ok	enriched	2.71313938437499e-11	ok
brown	MFI	exclude_grey	no_call	1.98030955188822e-05	ok	no_call		ok
brown	MFI	include_grey	no_call	2.47764299018512e-05	ok	no_call		ok
brown	MGI	exclude_grey	no_call	1.3402522619034e-07	ok	no_call		ok
brown	MGI	include_grey	no_call	4.31560376180245e-08	ok	no_call		ok
brown	MII	exclude_grey	enriched	7.25020967061964e-05	ok	enriched	2.55109686584304e-14	ok
brown	MII	include_grey	enriched	0.0154902880145208	ok	enriched	2.04068020402023e-09	ok
brown	OAP	exclude_grey	depleted	1.71626862515382e-20	ok	no_call	0.601618847128493	ok
brown	OAP	include_grey	depleted	3.43264505117695e-19	ok	enriched	1.49331380821894e-05	ok
brown	SRPI	exclude_grey	enriched	0.0045199688359048	ok	enriched	2.98182555187729e-14	ok
brown	SRPI	include_grey	enriched	0.0269369736430699	ok	enriched	1.0137976881242e-05	ok
green	DCI	exclude_grey	enriched	0.00274278402300179	ok			
green	DCI	include_grey	enriched	0.00145206866615653	ok			
green	MFI	exclude_grey	no_call	0.000531318871216582	ok			
green	MFI	include_grey	no_call	0.209492274182352	ok			
green	MGI	exclude_grey	no_call	1.81966014600561e-06	ok			
green	MGI	include_grey	no_call	3.09808515488945e-07	ok			
green	MII	exclude_grey	depleted	1.00597203879487e-30	ok			
green	MII	include_grey	depleted	1.20716644655384e-30	ok			
green	OAP	exclude_grey	enriched	7.5677303127502e-25	ok			
green	OAP	include_grey	enriched	1.61094508787266e-25	ok			
green	SRPI	exclude_grey	depleted	0.000359373136687415	ok			
green	SRPI	include_grey	depleted	7.64751816086686e-06	ok			
grey	DCI	include_grey	enriched	1.16182302063967e-05	ok	enriched	2.02158070032306e-06	ok
grey	MFI	include_grey	no_call	0.000421866859188341	ok	no_call		ok
grey	MGI	include_grey	no_call	0.384750824862965	ok	no_call		ok
grey	MII	include_grey	enriched	3.16459546108119e-35	ok	enriched	6.086254992604e-36	ok
grey	OAP	include_grey	depleted	1.07500698473928e-17	ok	depleted	1.5644466166179e-27	ok
grey	SRPI	include_grey	enriched	5.66777717534046e-35	ok	enriched	5.08771974750453e-33	ok
turquoise	DCI	exclude_grey	enriched	0.000191938779787962	ok	enriched	2.88369942243736e-05	ok
turquoise	DCI	include_grey	enriched	4.47433524115378e-05	ok	enriched	1.41951061688706e-05	ok
turquoise	MFI	exclude_grey	no_call	1.98030955188822e-05	ok	no_call		ok
turquoise	MFI	include_grey	no_call	0.0293833949854904	ok	no_call		ok
turquoise	MGI	exclude_grey	no_call	1.3402522619034e-07	ok	no_call		ok
turquoise	MGI	include_grey	no_call	2.36188841439167e-08	ok	no_call		ok
turquoise	MII	exclude_grey	enriched	7.26288550100139e-31	ok	enriched	3.28090871962631e-33	ok
turquoise	MII	include_grey	enriched	1.46853942809653e-26	ok	enriched	4.53055104997108e-26	ok
turquoise	OAP	exclude_grey	depleted	1.13166200402861e-24	ok	depleted	1.36839146888279e-33	ok
turquoise	OAP	include_grey	depleted	1.19752962339602e-19	ok	depleted	4.96358055456146e-27	ok
turquoise	SRPI	exclude_grey	enriched	1.49546416282318e-30	ok	enriched	1.86743167953676e-23	ok
