metric	value
n_samples_main	214
n_samples_extended	415
n_taxa_after_prevalence	1559
deep_sediment_filter_enabled	1
deep_sediment_candidates_total	425
deep_sediment_excluded_selected_samples	425
deep_sediment_excluded_prevalent_main_window	200
extra_excluded_phyla_count	3
extra_excluded_phyla_values	p__Aerophobota;p__Atribacterota;p__Asgardarchaeota
extra_phylum_candidates_total	47
extra_phylum_excluded_selected_samples	47
extra_phylum_excluded_prevalent_main_window	38
main_max_age_kyr	150
st13_max_age_kyr_extended	300
geob_max_age_kyr_extended	600
