sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	state	label
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	-1.48029694391582	1.82429782851957	0.572008227684475	1	IG-D
LV3003046939	ST8	2.42	3.2262	6.89400787736814	-1.44569456124673	2.37301102400113	0.696006229382661	1	IG-D
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	-1.25550298887822	2.49788171749385	0.861421245240377	1	IG-D
LV3003047013	ST8	5.885	3.32195	6.33782936611152	-0.787685698512935	2.13370854855477	1.02039456799969	1	IG-D
LV3003046995	ST8	6.9705	3.36882	6.16359220190688	-0.962540463102986	2.21875877224967	0.818812809924871	1	IG-D
LV3003046980	ST8	8.056	3.41776	6.25245183951933	-0.853772725958941	2.06299873097753	0.871818254615856	1	IG-D
LV3003046952	ST8	10.26	3.5408	6.52726089941695	-1.17851666609219	2.32881404391925	1.0373196671534	1	IG-D
LV3003046938	ST8	11.169	3.65408	6.64060093364877	-1.6075522863252	2.25002870672689	1.0636077838434	1	IG-D
LV3003047027	ST8	12.877	4.04278	6.85356548641879	-1.69683479183816	1.93536019082427	0.643093629412458	1	IG-D
LV3003047010	ST8	13.676	4.20872	6.95319000495699	-1.26109836686043	2.32416931789317	1.06897386291962	1	IG-D
LV3003046979	ST8	16.461	4.80993	7.29869936048704	-1.28245528240631	1.3012841020323	-0.0120936539476348	1	IG-D
LV3003046993	ST8	20.719	4.93248	7.51387664163044	-2.28137356033952	1.26379209128982	1.14153945109429	1	IG-D
LV3003047084	ST8	33.276	4.58276	8.75228855131429	-1.30747353908651	1.18383744028974	-0.208004331961481	1	IG-D
LV3003047136	ST8	67.8766	4.422468	8.08372539793979	-0.695477378028411	1.56209222260319	0.258013507859659	1	IG-D
LV3003047134	ST8	68.807	4.46035	8.5256420642359	-0.2500868042358	2.08816950895491	0.877250007030212	1	IG-D
LV7001898100	ST13	5.659	3.30613	6.37410536713431	-0.4489300676034	1.77905905901853	0.539418588985575	1	IG-D
LV7001898088	ST13	6.031	3.33124	6.31439442739767	-1.38945647674607	0.880867290622648	0.0470190651419153	1	IG-D
LV3003061529	ST13	66.015	4.56805	8.02667098129265	-1.48853974267268	0.621504361601154	0.464599654307963	1	IG-D
LV3003061515	ST13	71.0012	4.219988	9.97144024824405	-1.89188467094548	1.46312693888096	1.00804372332332	1	IG-D
LV3003061503	ST13	73.1472	4.20056	9.58376845577441	-0.908855920876276	1.17814232738453	-0.0326481263145669	1	IG-D
LV3003061485	ST13	75.7796	4.035756	7.95056189669746	-1.69932897201331	1.23123016554387	0.683046164915368	1	IG-D
LV3003061528	ST13	95.118	3.76764	6.56201237466214	-1.0460993919774	1.41827930605246	0.263506843085317	1	IG-D
LV3003061514	ST13	100.6726	3.883986	7.39288790099721	-1.62999349176662	1.38466018079054	0.80953171896638	1	IG-D
LV7008886714	GeoB25202_R1	0.692	3.23	8.77194686709375	-1.03760982125002	1.29164535231869	0.228375332448436	1	IG-D
LV7008886778	GeoB25202_R1	68.149	4.42745	8.09207392775	-1.68753773755556	1.46259545449832	0.235527346815744	1	IG-D
LV7008886754	GeoB25202_R1	71.8895	4.211105	10.5567572325	-2.01492307184064	1.47000870894102	0.696077845957577	1	IG-D
LV7008886730	GeoB25202_R1	75.351	3.98861	7.8788526045	-1.44438068890652	1.12417695487956	-0.184136837359875	1	IG-D
LV7008886706	GeoB25202_R1	79.0255	4.046175	8.49363513875	-1.45597770716778	1.45294672093682	0.146484272002018	1	IG-D
LV7008886726	GeoB25202_R2	0.692	3.23	8.77194686709375	-0.373195820785877	1.13859196880386	0.283767891688716	1	IG-D
LV7008886229	GeoB25202_R2	68.149	4.42745	8.09207392775	-1.80516385295671	1.52458248110258	0.0494662866156697	1	IG-D
LV7008886766	GeoB25202_R2	71.8895	4.211105	10.5567572325	-1.87669074079444	1.4796013396875	0.499639568945496	1	IG-D
LV7008886742	GeoB25202_R2	75.351	3.98861	7.8788526045	-2.02533529657297	0.844285961274273	0.0922947789753486	1	IG-D
LV3003046950	ST8	18.099	5.01406	7.38147540241116	-1.86403569613994	-1.1786719746114	-0.0604330347214638	2	G-A
LV3003047041	ST8	19.097	4.96291	7.4319091568924	-2.68223834783402	-1.79097940144936	0.979464800221495	2	G-A
LV3003047026	ST8	19.565	4.97695	7.455559454585	-1.4208994269384	-0.878379075374794	-0.18309653140921	2	G-A
LV3003046978	ST8	21.296	4.90112	7.54303523515316	-2.66807558587861	-2.15125307227803	1.08969683467685	2	G-A
LV3003046965	ST8	21.8323333333333	4.88503	7.57013874582794	-3.83046576803408	-2.88265253918414	2.40722468255097	2	G-A
LV3003046949	ST8	22.3686666666667	4.87262666666667	7.59724225650273	-2.85499322654119	-2.28181425712022	1.46229380429032	2	G-A
LV3003046936	ST8	22.905	4.8619	7.62434576717752	-3.41845010639339	-2.62402990122278	1.88940594546099	2	G-A
LV3003047132	ST8	23.987	4.81065	7.67902444688563	-3.73440340367604	-2.75547406142256	2.13128974996785	2	G-A
LV3003047118	ST8	24.528	4.81528	7.70636378673969	-2.69904466712649	-1.90272590920768	1.0486311567128	2	G-A
LV7001898076	ST13	6.429	3.34716	6.25051014241062	-2.64405088425506	-1.4181290607525	1.44054614391107	2	G-A
