module	proxy	n	beta	p_value	beta_ar1	p_value_ar1	q_value	q_value_ar1
MEyellow	ba_ti_z	188	0.121380787421408	0.110273806207419	0.19337042770642	0.026059121055343	0.137842257759274	0.0744546315866942
MEyellow	ca_ti_z	188	0.683005775918315	1.90936922589428e-25	0.653217028671948	1.30734318102466e-20	3.81873845178857e-24	2.61468636204932e-19
MEyellow	zr_rb_z	189	0.281771440305807	9.05559023659712e-05	0.190078849874471	0.0210607863381821	0.000362223609463885	0.0702026211272735
MEyellow	ti_al_z	188	-0.316548545618918	2.96271134771317e-05	-0.285475787768281	0.000600326778792555	0.000148135567385659	0.0040021785252837
MEyellow	mn_fe_z	188	0.401251224560254	2.18750710459635e-08	0.27301065268639	0.000353673107506243	2.18750710459635e-07	0.00353673107506244
MEblue	ba_ti_z	188	-0.19233318195021	0.0072660268621238	-0.0920721153504295	0.216082866143466	0.0145320537242476	0.308689808776379
MEblue	ca_ti_z	188	-0.121439232257385	0.0886227617837645	-0.088506527846456	0.234470194393353	0.118163682378353	0.312626925857804
MEblue	zr_rb_z	189	-0.0972925783223355	0.160868609428824	-0.133632070803054	0.069813146305088	0.189257187563323	0.155140325122418
MEblue	ti_al_z	188	0.16641807416845	0.0228308048533718	0.0775668203686745	0.299751443931785	0.0351243151590336	0.352648757566806
MEblue	mn_fe_z	188	-0.0854755760767311	0.227416917551919	-0.062496717350767	0.385374207752738	0.252685463946576	0.428193564169709
MEbrown	ba_ti_z	188	-0.204394830948399	0.000610285098196999	-0.112304221440832	0.102279708942538	0.00174367170913428	0.204559417885076
MEbrown	ca_ti_z	188	-0.016896468574984	0.778129821464357	0.022820510799902	0.749529434078432	0.778129821464357	0.760921319850148
MEbrown	zr_rb_z	189	-0.273285111951587	1.37643606207622e-06	-0.19331020116706	0.00329922994438439	9.17624041384149e-06	0.0131969197775376
MEbrown	ti_al_z	188	0.166243669253205	0.00646756192422572	0.075681296778199	0.264844058326814	0.0143723598316127	0.331055072908518
MEbrown	mn_fe_z	188	-0.140630734013931	0.0170907081822892	-0.0991444549004032	0.116750101863009	0.0284845136371486	0.212272912478198
MEturquoise	ba_ti_z	188	-0.230005630100015	0.000189656321873986	-0.146369115939119	0.0413137541608457	0.000632187739579955	0.103284385402114
MEturquoise	ca_ti_z	188	0.188715213881795	0.00209901679632231	0.212681608339798	0.00327326448342759	0.00524754199080578	0.0131969197775376
MEturquoise	zr_rb_z	189	-0.131499627618141	0.0281516086924053	-0.106645601966217	0.130998646129897	0.0402165838462933	0.218331076883162
MEturquoise	ti_al_z	188	0.156056417871543	0.013810009170534	0.0928896812239786	0.193344743435477	0.0251091075827891	0.297453451439195
MEturquoise	mn_fe_z	188	0.0213665320639729	0.728601400649268	-0.0204192374358614	0.760921319850148	0.766948842788703	0.760921319850148
