module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
grey	OAP	include_grey	214	-75.638715661288	-85.9798320326747	3.1288932332358e-28	ok	1.5644466166179e-27	depleted
yellow	OAP	include_grey	137	159.870351114052	154.999877100617	1.03875897227532e-23	ok	1.73126495379219e-23	enriched
turquoise	OAP	include_grey	214	-107.528309983105	-93.6089499064647	1.98543222182458e-27	ok	4.96358055456146e-27	depleted
brown	OAP	include_grey	209	20.1665072545491	25.794902166782	1.49331380821894e-05	ok	1.49331380821894e-05	enriched
blue	OAP	include_grey	108	108.497401512419	109.313718697535	7.79173209092186e-13	ok	9.73966511365232e-13	enriched
grey	MGI	include_grey	214	0	0		ok		no_call
yellow	MGI	include_grey	149	0	0		ok		no_call
turquoise	MGI	include_grey	214	0	0		ok		no_call
brown	MGI	include_grey	209	0	0		ok		no_call
blue	MGI	include_grey	108	0	0		ok		no_call
grey	MFI	include_grey	214	0	0		ok		no_call
yellow	MFI	include_grey	149	0	0		ok		no_call
turquoise	MFI	include_grey	214	0	0		ok		no_call
brown	MFI	include_grey	209	0	0		ok		no_call
blue	MFI	include_grey	108	0	0		ok		no_call
grey	DCI	include_grey	214	0.600129057399757	0.725535327509362	1.21294842019384e-06	ok	2.02158070032306e-06	enriched
yellow	DCI	include_grey	149	-1.59569175482951	-2.37812408981425	3.33438926660502e-07	ok	8.33597316651255e-07	depleted
turquoise	DCI	include_grey	214	0.758915185036569	0.582988346807727	1.13560849350965e-05	ok	1.41951061688706e-05	enriched
brown	DCI	include_grey	209	1.56026473334175	0.995175696845074	5.42627876874998e-12	ok	2.71313938437499e-11	enriched
blue	DCI	include_grey	108	0.61087435154343	-1.23773423668662	0.727920062158922	ok	0.727920062158922	no_call
grey	MII	include_grey	214	3.57308199912169	3.54112161358571	1.2172509985208e-36	ok	6.086254992604e-36	enriched
yellow	MII	include_grey	149	-9.00935934470799	-8.48366574185886	3.4603809810374e-26	ok	5.76730163506234e-26	depleted
turquoise	MII	include_grey	214	2.62071790627785	2.36031870509714	1.81222041998843e-26	ok	4.53055104997108e-26	enriched
brown	MII	include_grey	209	2.06623608291707	0.995421897585025	1.63254416321618e-09	ok	2.04068020402023e-09	enriched
blue	MII	include_grey	108	1.2249087737002	-1.91560378941138	0.00239720800732383	ok	0.00239720800732383	enriched
grey	SRPI	include_grey	214	0.459113607740682	0.916877176777561	1.01754394950091e-33	ok	5.08771974750453e-33	enriched
yellow	SRPI	include_grey	149	-0.547688444190041	-1.30477519624615	3.95704906474635e-10	ok	6.59508177457725e-10	depleted
turquoise	SRPI	include_grey	214	0.215257345592135	0.606457962823002	1.13783801037557e-15	ok	2.84459502593892e-15	enriched
brown	SRPI	include_grey	209	0.071177831872029	0.457771888675436	1.0137976881242e-05	ok	1.0137976881242e-05	enriched
blue	SRPI	include_grey	108	-0.431397880325647	-2.10422722562046	7.23159311896489e-09	ok	9.03949139870611e-09	depleted
yellow	OAP	exclude_grey	137	135.742720756163	127.873208158043	1.74953136202874e-23	ok	3.49906272405749e-23	enriched
turquoise	OAP	exclude_grey	214	-134.761074230145	-124.679913481257	3.42097867220698e-34	ok	1.36839146888279e-33	depleted
brown	OAP	exclude_grey	209	-4.12659088668602	-3.94629041012176	0.601618847128493	ok	0.601618847128493	no_call
blue	OAP	exclude_grey	108	94.0768781305114	92.4782098430778	5.99738250989768e-12	ok	7.99651001319691e-12	enriched
yellow	MGI	exclude_grey	149	0	0		ok		no_call
turquoise	MGI	exclude_grey	214	0	0		ok		no_call
brown	MGI	exclude_grey	209	0	0		ok		no_call
blue	MGI	exclude_grey	108	0	0		ok		no_call
yellow	MFI	exclude_grey	149	0	0		ok		no_call
turquoise	MFI	exclude_grey	214	0	0		ok		no_call
brown	MFI	exclude_grey	209	0	0		ok		no_call
blue	MFI	exclude_grey	108	0	0		ok		no_call
yellow	DCI	exclude_grey	149	-2.04082234780843	-2.22196526026006	1.57129008696666e-06	ok	3.14258017393332e-06	depleted
turquoise	DCI	exclude_grey	214	0.262466108587698	0.805692721333924	2.16277456682802e-05	ok	2.88369942243736e-05	enriched
brown	DCI	exclude_grey	209	1.6905359182407	1.26737947823061	5.06406346070577e-12	ok	2.02562538428231e-11	enriched
blue	DCI	exclude_grey	108	0.447101791337766	-0.983590088304705	0.549015986177242	ok	0.549015986177242	no_call
yellow	MII	exclude_grey	149	-7.78586270816255	-7.34732758757152	3.53111742943217e-26	ok	7.06223485886434e-26	depleted
turquoise	MII	exclude_grey	214	3.82789746640011	3.54954946971915	8.20227179906578e-34	ok	3.28090871962631e-33	enriched
brown	MII	exclude_grey	209	2.94532181258284	2.11513449426689	1.91332264938228e-14	ok	2.55109686584304e-14	enriched
blue	MII	exclude_grey	108	1.33516867974382	-0.989952641421504	0.00333683526236947	ok	0.00333683526236947	enriched
yellow	SRPI	exclude_grey	149	-0.431587842768554	-1.00700740187105	2.05163707598135e-08	ok	2.73551610130847e-08	depleted
turquoise	SRPI	exclude_grey	214	0.347436395961541	0.892604872468526	4.6685791988419e-24	ok	1.86743167953676e-23	enriched
brown	SRPI	exclude_grey	209	0.215721607179896	0.740901537015435	1.49091277593864e-14	ok	2.98182555187729e-14	enriched
blue	SRPI	exclude_grey	108	-0.334352595582151	-1.81316445431207	6.14348974774462e-08	ok	6.14348974774462e-08	depleted
