state	state_label	index	n_samples	mean	median	sd	q25	q75
1	IG-D	OAP	32	428.918159725351	418.160346069679	75.3175573041484	386.437663614273	455.997223698504
2	G-A	OAP	16	465.181337710711	461.091169014561	42.8409353378755	435.344919608721	486.78624667115
3	IG-B	OAP	38	362.111897359447	352.620749665056	64.0445500137429	330.741749303034	392.822245307364
4	IG-A	OAP	87	428.679146105519	437.110492106072	60.8874931702227	392.071543922772	473.42421176603
5	IG-C	OAP	41	279.238871591387	285.161371034325	130.713570241953	209.611270234795	375.158542975355
1	IG-D	MGI	32	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
2	G-A	MGI	16	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
3	IG-B	MGI	38	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
4	IG-A	MGI	87	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
5	IG-C	MGI	41	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
1	IG-D	MFI	32	0	0	0	0	0
2	G-A	MFI	16	0	0	0	0	0
3	IG-B	MFI	38	0	0	0	0	0
4	IG-A	MFI	87	0	0	0	0	0
5	IG-C	MFI	41	0	0	0	0	0
1	IG-D	DCI	32	-1.65214188800035	-1.49269632663741	0.615680036324317	-1.82691514435676	-1.26402285823717
2	G-A	DCI	16	-1.30317453692904	-1.30623622092156	0.315101956992956	-1.44471956644134	-1.15846830556463
3	IG-B	DCI	38	-1.34282977969625	-1.36321168523871	0.239528874765387	-1.45205797112221	-1.22288029958665
4	IG-A	DCI	87	-1.55381021208847	-1.47010833786655	0.364040928497144	-1.72626032306024	-1.32186445506578
5	IG-C	DCI	41	-3.07048397738397	-1.54666697598644	4.01084733021177	-2.49579272902592	-0.474457979595116
1	IG-D	MII	32	-2.77655243321605	-2.67108110118645	0.437305872971522	-3.02795256716048	-2.49152313170342
2	G-A	MII	16	-2.5478834302994	-2.57351729133758	0.206892848836757	-2.6558350636027	-2.45711046016648
3	IG-B	MII	38	-2.53041520067833	-2.58039208283109	0.348710247542112	-2.73070942492673	-2.21659541651157
4	IG-A	MII	87	-2.42812961989413	-2.46607458512685	0.355741408904776	-2.67182129575636	-2.27353230755678
5	IG-C	MII	41	-2.4267836179639	-2.45190340673164	0.629678714499754	-2.68209863410869	-2.16116301840431
1	IG-D	SRPI	32	-0.850087781369365	-0.887058821586083	0.238365196390468	-0.972506165189417	-0.691324481769624
2	G-A	SRPI	16	-0.961730476289774	-0.975875375127315	0.118653631038799	-1.03541539379161	-0.902605028001796
3	IG-B	SRPI	38	-0.708846508138814	-0.72589828836239	0.19807411178672	-0.850062802819676	-0.52167756320494
4	IG-A	SRPI	87	-0.870117520094103	-0.880647229182059	0.12988270418577	-0.955807106531472	-0.796531299673118
5	IG-C	SRPI	41	-0.655852512223542	-0.644712090143877	0.194197539945869	-0.817670917799692	-0.489595009553714
