module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
grey	OAP	include_grey	214	-64.9670582260193	-85.5602485112862	8.95839153949402e-18	ok	1.07500698473928e-17	depleted
green	OAP	include_grey	172	200.524842702073	190.643416156993	5.36981695957552e-26	ok	1.61094508787266e-25	enriched
turquoise	OAP	include_grey	214	-81.6069100557836	-74.2394197717807	5.98764811698011e-20	ok	1.19752962339602e-19	depleted
yellow	OAP	include_grey	210	92.3390073209457	103.29340343984	6.54952600394189e-28	ok	3.92971560236514e-27	enriched
blue	OAP	include_grey	155	153.435729857396	121.453079294506	1.57309120580349e-13	ok	1.57309120580349e-13	enriched
brown	OAP	include_grey	138	-305.904176338522	-283.408554923488	2.28843003411797e-19	ok	3.43264505117695e-19	depleted
grey	MGI	include_grey	214	0	-0.0176674754551972	0.384750824862965	ok	0.384750824862965	no_call
green	MGI	include_grey	179	0	-0.450527307427387	2.58173762907454e-07	ok	3.09808515488945e-07	no_call
turquoise	MGI	include_grey	214	0	-0.522829526493558	5.35020746464668e-09	ok	2.36188841439167e-08	no_call
yellow	MGI	include_grey	210	0	-0.509911177985544	7.87296138130556e-09	ok	2.36188841439167e-08	no_call
blue	MGI	include_grey	157	0	-0.579564828998334	5.45705998070497e-08	ok	8.18558997105746e-08	no_call
brown	MGI	include_grey	138	0	2.85785342011767	2.15780188090123e-08	ok	4.31560376180245e-08	no_call
grey	MFI	include_grey	214	0	0.657220237056251	0.000140622286396114	ok	0.000421866859188341	no_call
green	MFI	include_grey	179	0	0.0798343775225485	0.209492274182352	ok	0.209492274182352	no_call
turquoise	MFI	include_grey	214	0	0.172546617496312	0.0146916974927452	ok	0.0293833949854904	no_call
yellow	MFI	include_grey	210	0	0.154056445451276	0.0227876231126049	ok	0.0341814346689073	no_call
blue	MFI	include_grey	157	0	0.144352286722376	0.0658970070551944	ok	0.0790764084662333	no_call
brown	MFI	include_grey	138	0	-1.78895378993453	4.12940498364186e-06	ok	2.47764299018512e-05	no_call
grey	DCI	include_grey	214	0.853427564540227	0.620680601729723	3.87274340213225e-06	ok	1.16182302063967e-05	enriched
green	DCI	include_grey	179	0.654980675996808	-1.14899858117066	0.00145206866615653	ok	0.00145206866615653	enriched
turquoise	DCI	include_grey	214	1.01119967573542	0.413567150396931	3.72861270096148e-05	ok	4.47433524115378e-05	enriched
yellow	DCI	include_grey	210	1.91270564885386	1.262700643809	7.94637412783492e-12	ok	4.76782447670095e-11	enriched
blue	DCI	include_grey	157	2.05036392921132	1.08954513939242	7.98769684787821e-06	ok	1.59753936957564e-05	enriched
brown	DCI	include_grey	138	-0.412654232068707	-3.27452170297141	2.07913454311347e-05	ok	3.1187018146702e-05	depleted
grey	MII	include_grey	214	3.70074259317614	3.83528978709125	5.27432576846865e-36	ok	3.16459546108119e-35	enriched
green	MII	include_grey	179	-8.79295837540286	-8.73841239584009	4.02388815517947e-31	ok	1.20716644655384e-30	depleted
turquoise	MII	include_grey	214	2.4749563033596	2.47865678577157	7.34269714048267e-27	ok	1.46853942809653e-26	enriched
yellow	MII	include_grey	210	1.78312242650711	1.43154791634602	7.39464877833764e-12	ok	1.10919731675065e-11	enriched
blue	MII	include_grey	157	-0.623875216946054	-2.73233440830935	1.42638304142779e-06	ok	1.71165964971334e-06	depleted
brown	MII	include_grey	138	3.23334497385841	2.4734977676423	0.0154902880145208	ok	0.0154902880145208	enriched
grey	SRPI	include_grey	214	0.740085508774431	1.19417688526093	9.4462952922341e-36	ok	5.66777717534046e-35	enriched
green	SRPI	include_grey	179	-0.459509176563674	-1.13345712071913	6.37293180072239e-06	ok	7.64751816086686e-06	depleted
