module	index	analysis_set	direction_baseline	q_value_baseline	status_baseline	direction_sensitivity	q_value_sensitivity	status_sensitivity
grey	OAP	include_grey	depleted	1.07500698473928e-17	ok	depleted	5.4736463493123e-09	ok
green	OAP	include_grey	enriched	1.61094508787266e-25	ok	enriched	1.95268203640235e-23	ok
turquoise	OAP	include_grey	depleted	1.19752962339602e-19	ok	depleted	2.23186503232767e-15	ok
yellow	OAP	include_grey	enriched	3.92971560236514e-27	ok	depleted	1.45434038551012e-18	ok
blue	OAP	include_grey	enriched	1.57309120580349e-13	ok	enriched	1.2246680966304e-17	ok
brown	OAP	include_grey	depleted	3.43264505117695e-19	ok	enriched	6.297432879717059e-16	ok
grey	MGI	include_grey	no_call	0.384750824862965	ok	no_call	5.55378860144021e-05	ok
green	MGI	include_grey	no_call	3.09808515488945e-07	ok	no_call	0.0015032506212335	ok
turquoise	MGI	include_grey	no_call	2.36188841439167e-08	ok	no_call	5.55378860144021e-05	ok
yellow	MGI	include_grey	no_call	2.36188841439167e-08	ok	no_call	5.55378860144021e-05	ok
blue	MGI	include_grey	no_call	8.18558997105746e-08	ok	no_call	0.0005370327196562	ok
brown	MGI	include_grey	no_call	4.31560376180245e-08	ok	no_call	6.17908918978267e-05	ok
grey	MFI	include_grey	no_call	0.0004218668591883	ok	no_call	5.55378860144021e-05	ok
green	MFI	include_grey	no_call	0.209492274182352	ok	no_call	0.0015032506212335	ok
turquoise	MFI	include_grey	no_call	0.0293833949854904	ok	no_call	5.55378860144021e-05	ok
yellow	MFI	include_grey	no_call	0.0341814346689073	ok	no_call	5.55378860144021e-05	ok
blue	MFI	include_grey	no_call	0.0790764084662333	ok	no_call	0.0005370327196562	ok
brown	MFI	include_grey	no_call	2.47764299018512e-05	ok	no_call	6.17908918978267e-05	ok
grey	DCI	include_grey	enriched	1.16182302063967e-05	ok	enriched	1.93883603868921e-06	ok
green	DCI	include_grey	enriched	0.0014520686661565	ok	depleted	1.34893381581331e-06	ok
turquoise	DCI	include_grey	enriched	4.47433524115378e-05	ok	enriched	2.2851147644531e-06	ok
yellow	DCI	include_grey	enriched	4.7678244767009496e-11	ok	no_call	0.0101200972117521	ok
blue	DCI	include_grey	enriched	1.59753936957564e-05	ok	enriched	9.06198161733036e-06	ok
brown	DCI	include_grey	depleted	3.1187018146702e-05	ok	enriched	2.2598561942994804e-09	ok
grey	MII	include_grey	enriched	3.16459546108119e-35	ok	enriched	1.53348790873827e-35	ok
green	MII	include_grey	depleted	1.20716644655384e-30	ok	depleted	6.92076196207481e-26	ok
turquoise	MII	include_grey	enriched	1.4685394280965298e-26	ok	enriched	3.67261082336146e-27	ok
yellow	MII	include_grey	enriched	1.10919731675065e-11	ok	no_call	0.38132557787695	ok
blue	MII	include_grey	depleted	1.71165964971334e-06	ok	enriched	0.000136766426175	ok
brown	MII	include_grey	enriched	0.0154902880145208	ok	enriched	1.03132922938533e-09	ok
grey	SRPI	include_grey	enriched	5.667777175340461e-35	ok	enriched	5.82695680577627e-35	ok
green	SRPI	include_grey	depleted	7.64751816086686e-06	ok	depleted	1.26736679950025e-05	ok
turquoise	SRPI	include_grey	enriched	2.88610986706711e-25	ok	enriched	6.5998606698564405e-24	ok
