metric	value
n_samples_main	214
n_taxa_main	1597
n_modules_non_grey	5
preservation_strong	5
preservation_moderate	2
preservation_weak	0
hmm_states_main	5
r1_r2_state_pct_match	96.1538461538462
xrf_significant_n	18
loco_stable_n	11
operational_harmonization_mode	corewise_z
extended_selected_harmonization_mode	corewise_z
extended_samples_total	415
extended_samples_older_than_150kyr	201
extended_inherited_main_window_n	214
extended_inferred_older_than_150kyr_n	201
extended_overlap_final_main_match_pct	100
extended_scaling_fallback_cores_n	0
tea_samples_n	214
tea_module_enrichment_calls_n	22
tea_taxa_with_oap_n	1202
