module	proxy	n	beta	p_value	beta_ar1	p_value_ar1	q_value	q_value_ar1
MEgreen	ba_ti_z	188	0.121380787421408	0.110273806207419	0.19337042770642	0.026059121055343	0.137842257759274	0.0592252751257795
MEgreen	ca_ti_z	188	0.683005775918315	1.90936922589428e-25	0.653217028671948	1.30734318102466e-20	4.77342306473571e-24	3.26835795256165e-19
MEgreen	zr_rb_z	189	0.281771440305807	9.05559023659712e-05	0.190078849874471	0.0210607863381821	0.00028298719489366	0.0526519658454552
MEgreen	ti_al_z	188	-0.316548545618918	2.96271134771317e-05	-0.285475787768281	0.000600326778792555	0.000105811119561185	0.00250136157830231
MEgreen	mn_fe_z	188	0.401251224560254	2.18750710459635e-08	0.27301065268639	0.000353673107506243	1.36719194037272e-07	0.00176836553753122
MEyellow	ba_ti_z	188	-0.521786900673993	7.04291803918384e-16	-0.46511923609992	3.95820128852019e-13	8.8036475489798e-15	4.94775161065024e-12
MEyellow	ca_ti_z	188	-0.349707557114014	2.00697623620226e-07	-0.33859384807545	6.71337963430766e-07	1.00348811810113e-06	5.59448302858972e-06
MEyellow	zr_rb_z	189	0.149732377161596	0.0265876078379967	0.193937061155064	0.00371410593546557	0.0390994232911716	0.0107748964548787
MEyellow	ti_al_z	188	0.432208753859968	2.00592181731224e-10	0.309748908658929	1.82869998403516e-06	1.67160151442687e-09	1.14293749002198e-05
MEyellow	mn_fe_z	188	-0.101545925968022	0.14074471889966	-0.100571726817564	0.108767360865373	0.161468243432735	0.181278934775622
MEblue	ba_ti_z	188	-0.187952234240523	0.00765688793758396	-0.0782529287115112	0.287480453873627	0.0147247844953538	0.359350567342034
MEblue	ca_ti_z	188	-0.103083328965645	0.142092054220807	-0.0685497736713654	0.352628513563679	0.161468243432735	0.41979584948057
MEblue	zr_rb_z	189	-0.112645278512963	0.0983496446378461	-0.146631662598036	0.0431491335293882	0.129407427155061	0.0829791029411311
MEblue	ti_al_z	188	0.150365997546815	0.0367258460734129	0.0529910822466336	0.473317566517507	0.0510081195464068	0.514475615779899
MEblue	mn_fe_z	188	-0.0828504547644083	0.234246738160895	-0.0564343607617467	0.425236114685293	0.254616019740103	0.483222857596924
MEbrown	ba_ti_z	188	-0.203676912893584	0.000631175307074316	-0.111647069817252	0.104336401557575	0.00157793826768579	0.181278934775622
MEbrown	ca_ti_z	188	-0.0118363527769253	0.843397333160801	0.026519296184031	0.71058599948802	0.843397333160801	0.740193749466687
MEbrown	zr_rb_z	189	-0.268975994124813	2.01374256768986e-06	-0.190138214763854	0.00387896272375632	8.39059403204109e-06	0.0107748964548787
MEbrown	ti_al_z	188	0.163841557276438	0.00724234333144302	0.0740214478095012	0.275624301989539	0.0147247844953538	0.359350567342034
MEbrown	mn_fe_z	188	-0.136689926647615	0.0203894049639761	-0.0962930019534656	0.127814100577872	0.0339823416066269	0.187961912614518
MEturquoise	ba_ti_z	188	-0.231276005061283	0.000170641867394631	-0.148152082518381	0.0384200055477411	0.000474005187207308	0.0800416782244606
MEturquoise	ca_ti_z	188	0.184680031362916	0.00259167196147444	0.209640500453443	0.00371512341071091	0.00589016354880554	0.0107748964548787
MEturquoise	zr_rb_z	189	-0.134884844244439	0.0241047644926937	-0.108333880985774	0.12433521370663	0.0376636945198339	0.187961912614518
MEturquoise	ti_al_z	188	0.157881303180427	0.0126043342277069	0.0938512280819982	0.187949740606479	0.0225077396923338	0.261041306397888
MEturquoise	mn_fe_z	188	0.0186751640609225	0.761384438736095	-0.0217683575777527	0.745313132312936	0.793108790350099	0.745313132312936
