module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
grey	OAP	include_grey	214	-48.8388045222845	-50.5022338924029	5.4736463493123e-09	ok	5.4736463493123e-09	depleted
green	OAP	include_grey	137	182.318325329234	183.859779341003	3.25447006067058e-24	ok	1.95268203640235e-23	enriched
turquoise	OAP	include_grey	214	-65.6404187396121	-55.7507431895664	1.85988752693973e-15	ok	2.23186503232767e-15	depleted
brown	OAP	include_grey	209	58.5516739430804	60.3980260759514	4.19828858647804e-16	ok	6.29743287971706e-16	enriched
blue	OAP	include_grey	135	175.354805822342	166.128267431371	6.12334048315201e-18	ok	1.2246680966304e-17	enriched
yellow	OAP	include_grey	118	-361.195682566002	-317.806408705804	4.84780128503372e-19	ok	1.45434038551012e-18	depleted
grey	MGI	include_grey	214	0	-0.300036089394614	2.77689430072011e-05	ok	5.55378860144021e-05	no_call
green	MGI	include_grey	149	0	-0.20254586674389	0.00150325062123351	ok	0.00150325062123351	no_call
turquoise	MGI	include_grey	214	0	-0.300036089394614	2.77689430072011e-05	ok	5.55378860144021e-05	no_call
brown	MGI	include_grey	209	0	-0.284227520754977	4.11939279318845e-05	ok	6.17908918978267e-05	no_call
blue	MGI	include_grey	137	0	-0.276780044091195	0.000447527266380223	ok	0.000537032719656267	no_call
yellow	MGI	include_grey	118	0	2.16878981596626	2.77689430072011e-05	ok	5.55378860144021e-05	no_call
grey	MFI	include_grey	214	0	0.285190700277825	2.77689430072011e-05	ok	5.55378860144021e-05	no_call
green	MFI	include_grey	149	0	0.192311524836413	0.00150325062123351	ok	0.00150325062123351	no_call
turquoise	MFI	include_grey	214	0	0.285190700277825	2.77689430072011e-05	ok	5.55378860144021e-05	no_call
brown	MFI	include_grey	209	0	0.270132474928286	4.11939279318845e-05	ok	6.17908918978267e-05	no_call
blue	MFI	include_grey	137	0	0.262613604291505	0.000447527266380223	ok	0.000537032719656267	no_call
yellow	MFI	include_grey	118	0	-2.06060837260578	2.77689430072011e-05	ok	5.55378860144021e-05	no_call
grey	DCI	include_grey	214	1.00750836158717	0.726267808742649	9.69418019344605e-07	ok	1.93883603868921e-06	enriched
green	DCI	include_grey	149	-1.74704861440043	-2.43631977974394	4.49644605271103e-07	ok	1.34893381581331e-06	depleted
turquoise	DCI	include_grey	214	1.41191992164651	0.607970126888677	1.52340984296873e-06	ok	2.2851147644531e-06	enriched
brown	DCI	include_grey	209	1.61924075565111	1.01737337093186	3.76642699049914e-10	ok	2.25985619429948e-09	enriched
blue	DCI	include_grey	137	1.91457585044982	1.07674746525884	7.5516513477753e-06	ok	9.06198161733036e-06	enriched
yellow	DCI	include_grey	118	0	-2.39542973142777	0.0101200972117521	ok	0.0101200972117521	no_call
grey	MII	include_grey	214	3.51375191397084	3.70645014627085	2.55581318123046e-36	ok	1.53348790873827e-35	enriched
green	MII	include_grey	149	-8.69266981312334	-8.36715548718365	3.4603809810374e-26	ok	6.92076196207481e-26	depleted
turquoise	MII	include_grey	214	2.62785665240991	2.51405821833694	1.22420360778715e-27	ok	3.67261082336146e-27	enriched
brown	MII	include_grey	209	2.21386237670718	1.23769504569813	6.87552819590219e-10	ok	1.03132922938533e-09	enriched
blue	MII	include_grey	137	0.180236958524583	-2.43613892546894	0.000113972021812581	ok	0.000136766426175097	enriched
yellow	MII	include_grey	118	1.91944400618121	-0.0797445270963285	0.38132557787695	ok	0.38132557787695	no_call
grey	SRPI	include_grey	214	0.690525819812419	1.11990089147522	9.71159467629379e-36	ok	5.82695680577627e-35	enriched
green	SRPI	include_grey	149	-0.504135836160244	-1.16466551033001	8.44911199666831e-06	ok	1.26736679950025e-05	depleted
turquoise	SRPI	include_grey	214	0.348650640911278	0.816835938956669	2.19995355661881e-24	ok	6.59986066985644e-24	enriched
brown	SRPI	include_grey	209	0.238403489558381	0.599530994289339	1.82274061879678e-11	ok	3.64548123759356e-11	enriched
blue	SRPI	include_grey	137	-0.262217753466591	-1.50609688048469	1.68131462041455e-05	ok	2.01757754449747e-05	depleted
yellow	SRPI	include_grey	118	-0.318524835695998	-1.35502733774002	9.9743052257652e-05	ok	9.9743052257652e-05	depleted
green	OAP	exclude_grey	137	160.111095147707	165.266488376795	3.71381996897738e-24	ok	1.85690998448869e-23	enriched
turquoise	OAP	exclude_grey	214	-75.1008559132259	-74.4145289770446	6.55699111133694e-20	ok	1.63924777783423e-19	depleted
brown	OAP	exclude_grey	209	37.9659358540845	42.4632327713704	1.580716519236e-08	ok	1.580716519236e-08	enriched
blue	OAP	exclude_grey	135	177.124928718129	161.113060890523	1.29019159010203e-17	ok	1.61273948762754e-17	enriched
yellow	OAP	exclude_grey	118	-349.085910974691	-316.456598101445	1.23379309635952e-19	ok	2.05632182726587e-19	depleted
green	MGI	exclude_grey	149	0	-0.244035678691592	0.00150325062123351	ok	0.00150325062123351	no_call
turquoise	MGI	exclude_grey	214	0	-0.381517338370388	2.77689430072011e-05	ok	6.86565465531408e-05	no_call
brown	MGI	exclude_grey	209	0	-0.356164849149653	4.11939279318845e-05	ok	6.86565465531408e-05	no_call
blue	MGI	exclude_grey	137	0	-0.336027233537334	0.000447527266380223	ok	0.000559409082975278	no_call
yellow	MGI	exclude_grey	118	0	2.02101873731528	2.77689430072011e-05	ok	6.86565465531408e-05	no_call
green	MFI	exclude_grey	149	0	0.23170794851817	0.00150325062123351	ok	0.00150325062123351	no_call
turquoise	MFI	exclude_grey	214	0	0.362677188214249	2.77689430072011e-05	ok	6.86565465531408e-05	no_call
brown	MFI	exclude_grey	209	0	0.338532221907585	4.11939279318845e-05	ok	6.86565465531408e-05	no_call
blue	MFI	exclude_grey	137	0	0.318825128199603	0.000447527266380223	ok	0.000559409082975278	no_call
yellow	MFI	exclude_grey	118	0	-1.92008203007701	2.77689430072011e-05	ok	6.86565465531408e-05	no_call
green	DCI	exclude_grey	149	-2.38921360336369	-2.33038791493683	1.0688511682519e-06	ok	2.67212792062975e-06	depleted
turquoise	DCI	exclude_grey	214	1.3672918323974	0.797161635590148	2.8019736796402e-06	ok	4.66995613273367e-06	enriched
brown	DCI	exclude_grey	209	1.77337252436609	1.25515556121622	1.18835030431047e-09	ok	5.94175152155237e-09	enriched
blue	DCI	exclude_grey	137	2.20459480899606	1.24555302810117	1.254230028505e-05	ok	1.56778753563126e-05	enriched
yellow	DCI	exclude_grey	118	-0.104852601200831	-2.17231413419283	0.00506123915781535	ok	0.00506123915781535	depleted
green	MII	exclude_grey	149	-7.59767512925258	-7.3509197335889	4.32224664289755e-26	ok	1.08056166072439e-25	depleted
turquoise	MII	exclude_grey	214	3.7511177038687	3.55674185889353	4.66024250833472e-32	ok	2.33012125416736e-31	enriched
brown	MII	exclude_grey	209	2.95330605955021	2.26151357843613	7.1034860452377e-16	ok	1.18391434087295e-15	enriched
blue	MII	exclude_grey	137	0.471479137425074	-1.60272576798404	0.000550659240468775	ok	0.000688324050585968	enriched
yellow	MII	exclude_grey	118	2.19767172922491	0.68696080357792	0.623117238647281	ok	0.623117238647281	no_call
green	SRPI	exclude_grey	149	-0.404487100304593	-0.873372832182738	0.000712711876066316	ok	0.000890889845082895	depleted
turquoise	SRPI	exclude_grey	214	0.475501699647073	1.11539278936247	1.48380183203012e-30	ok	7.41900916015061e-30	enriched
brown	SRPI	exclude_grey	209	0.38135567039767	0.893860652592692	3.20675299259317e-18	ok	8.01688248148292e-18	enriched
blue	SRPI	exclude_grey	137	-0.164303593845514	-1.24620091176805	0.000591496723833608	ok	0.000890889845082895	depleted
yellow	SRPI	exclude_grey	118	-0.184262813950034	-1.05634624074568	0.00216375772411997	ok	0.00216375772411997	depleted
