state	state_label	index	n_samples	mean	median	sd	q25	q75
1	IG-E	OAP	45	380.709725097207	379.822687540515	54.5720198636442	345.340921954816	415.26463798524
2	IG-D	OAP	31	409.478156317595	420.154218474267	80.0551085321691	354.742766903772	464.625370480433
3	IG-A	OAP	10	491.946804039432	491.098712703503	75.7209952715815	427.994227364083	549.775538245725
4	IG-B	OAP	51	283.466058322013	316.087745920407	131.05314049028	213.586858345051	377.226165339535
5	G-A	OAP	77	434.238776165455	440.79955321541	60.3475719723581	395.254661706116	476.45355867322
1	IG-E	MGI	45	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
2	IG-D	MGI	31	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
3	IG-A	MGI	10	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
4	IG-B	MGI	51	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
5	G-A	MGI	77	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
1	IG-E	MFI	45	0	0	0	0	0
2	IG-D	MFI	31	0	0	0	0	0
3	IG-A	MFI	10	0	0	0	0	0
4	IG-B	MFI	51	0	0	0	0	0
5	G-A	MFI	77	0	0	0	0	0
1	IG-E	DCI	45	-1.43875093929472	-1.340101378284	0.538648352319854	-1.54080968910536	-1.18678051277673
2	IG-D	DCI	31	-1.64086386699563	-1.47773596093574	0.506284529303392	-1.91344426782477	-1.31635949176404
3	IG-A	DCI	10	-1.76495794801491	-1.80054146346553	0.364177737703696	-1.90522386700836	-1.4716528912312
4	IG-B	DCI	51	-2.7060107492403	-1.36071374768223	3.67344545859326	-2.0266280193446	-0.670043579608357
5	G-A	DCI	77	-1.51618696296209	-1.44372364428687	0.291414561626334	-1.71506734058698	-1.33491919063602
1	IG-E	MII	45	-2.60174052802817	-2.64336134282052	0.334673582071543	-2.86237568354862	-2.38392440899459
2	IG-D	MII	31	-2.21956814853039	-2.43562126463291	0.581700667635853	-2.60243794659435	-2.08848258541928
3	IG-A	MII	10	-3.1781860184836	-3.28660814480359	0.417860927179407	-3.52125923668374	-2.86610466309337
4	IG-B	MII	51	-2.47230361953218	-2.45190340673164	0.48087674747083	-2.67112865334088	-2.16768985700181
5	G-A	MII	77	-2.50172550475685	-2.50038544785794	0.264608042675344	-2.68449865517877	-2.33364479617437
1	IG-E	SRPI	45	-0.74152702510616	-0.782902268671445	0.18357640738951	-0.898562453277247	-0.597537223950724
2	IG-D	SRPI	31	-0.887949386045158	-0.901203383186676	0.159240318886071	-0.988575635735991	-0.779281220136685
3	IG-A	SRPI	10	-1.02600046430525	-1.06277963953237	0.269454040321438	-1.1899581580952	-0.924274453463859
4	IG-B	SRPI	51	-0.684918788977431	-0.695942597093414	0.197628515973081	-0.856331144003577	-0.494603782439
5	G-A	SRPI	77	-0.879939480055547	-0.897060865188027	0.125841727547207	-0.960608170160872	-0.802213732996652
