sample	harmonization_mode	state_extended	state_main	match
LV3003046936	corewise_z	3	3	TRUE
LV3003046937	corewise_z	4	3	FALSE
LV3003046938	corewise_z	1	1	TRUE
LV3003046939	corewise_z	1	1	TRUE
LV3003046949	corewise_z	3	3	TRUE
LV3003046950	corewise_z	1	3	FALSE
LV3003046952	corewise_z	1	1	TRUE
LV3003046953	corewise_z	1	1	TRUE
LV3003046965	corewise_z	3	3	TRUE
LV3003046966	corewise_z	5	3	FALSE
LV3003046978	corewise_z	3	3	TRUE
LV3003046979	corewise_z	3	3	TRUE
LV3003046980	corewise_z	1	1	TRUE
LV3003046993	corewise_z	3	3	TRUE
LV3003046994	corewise_z	3	3	TRUE
LV3003046995	corewise_z	1	1	TRUE
LV3003047009	corewise_z	3	3	TRUE
LV3003047010	corewise_z	1	1	TRUE
LV3003047013	corewise_z	1	1	TRUE
LV3003047026	corewise_z	3	3	TRUE
LV3003047027	corewise_z	1	1	TRUE
LV3003047028	corewise_z	2	2	TRUE
LV3003047041	corewise_z	3	3	TRUE
LV3003047044	corewise_z	5	5	TRUE
LV3003047045	corewise_z	1	1	TRUE
LV3003047059	corewise_z	2	2	TRUE
LV3003047060	corewise_z	2	2	TRUE
LV3003047061	corewise_z	2	2	TRUE
LV3003047062	corewise_z	2	2	TRUE
LV3003047063	corewise_z	2	2	TRUE
LV3003047064	corewise_z	2	2	TRUE
LV3003047065	corewise_z	2	2	TRUE
LV3003047067	corewise_z	4	4	TRUE
LV3003047068	corewise_z	4	4	TRUE
LV3003047069	corewise_z	4	4	TRUE
LV3003047070	corewise_z	5	5	TRUE
LV3003047071	corewise_z	5	5	TRUE
LV3003047073	corewise_z	2	2	TRUE
LV3003047074	corewise_z	2	2	TRUE
LV3003047077	corewise_z	2	2	TRUE
LV3003047078	corewise_z	2	2	TRUE
LV3003047079	corewise_z	1	1	TRUE
LV3003047080	corewise_z	4	1	FALSE
LV3003047081	corewise_z	4	4	TRUE
LV3003047082	corewise_z	4	4	TRUE
LV3003047083	corewise_z	4	4	TRUE
LV3003047084	corewise_z	1	5	FALSE
LV3003047085	corewise_z	5	5	TRUE
LV3003047087	corewise_z	2	2	TRUE
LV3003047088	corewise_z	2	2	TRUE
LV3003047089	corewise_z	2	2	TRUE
LV3003047090	corewise_z	2	2	TRUE
LV3003047091	corewise_z	1	1	TRUE
LV3003047093	corewise_z	1	1	TRUE
LV3003047094	corewise_z	4	4	TRUE
LV3003047095	corewise_z	4	4	TRUE
LV3003047096	corewise_z	5	5	TRUE
LV3003047097	corewise_z	5	5	TRUE
LV3003047098	corewise_z	5	5	TRUE
LV3003047099	corewise_z	4	3	FALSE
LV3003047100	corewise_z	1	1	TRUE
LV3003047101	corewise_z	4	1	FALSE
LV3003047104	corewise_z	2	2	TRUE
LV3003047105	corewise_z	2	2	TRUE
LV3003047106	corewise_z	2	2	TRUE
LV3003047107	corewise_z	4	1	FALSE
LV3003047110	corewise_z	4	4	TRUE
LV3003047112	corewise_z	4	4	TRUE
LV3003047113	corewise_z	5	5	TRUE
LV3003047114	corewise_z	4	5	FALSE
LV3003047117	corewise_z	5	5	TRUE
LV3003047118	corewise_z	3	3	TRUE
LV3003047122	corewise_z	2	2	TRUE
LV3003047123	corewise_z	2	2	TRUE
LV3003047124	corewise_z	2	2	TRUE
LV3003047125	corewise_z	2	2	TRUE
LV3003047126	corewise_z	4	4	TRUE
LV3003047127	corewise_z	2	2	TRUE
LV3003047128	corewise_z	5	5	TRUE
LV3003047129	corewise_z	5	5	TRUE
LV3003047130	corewise_z	5	5	TRUE
LV3003047131	corewise_z	5	5	TRUE
LV3003047132	corewise_z	3	3	TRUE
LV3003047133	corewise_z	4	1	FALSE
LV3003047134	corewise_z	1	1	TRUE
LV3003047136	corewise_z	1	1	TRUE
LV3003047137	corewise_z	4	1	FALSE
LV3003047138	corewise_z	1	1	TRUE
LV3003047139	corewise_z	4	4	TRUE
LV3003047140	corewise_z	2	2	TRUE
LV3003047141	corewise_z	2	2	TRUE
LV3003047142	corewise_z	4	4	TRUE
LV3003047143	corewise_z	5	5	TRUE
LV3003047144	corewise_z	5	5	TRUE
LV3003047145	corewise_z	3	3	TRUE
LV3003047146	corewise_z	4	4	TRUE
LV3003047147	corewise_z	4	4	TRUE
LV3003047148	corewise_z	4	4	TRUE
LV3003047149	corewise_z	4	4	TRUE
LV3003047150	corewise_z	4	4	TRUE
LV3003047152	corewise_z	4	4	TRUE
LV3003047153	corewise_z	5	4	FALSE
LV3003047154	corewise_z	4	4	TRUE
LV3003047155	corewise_z	5	5	TRUE
LV3003047156	corewise_z	5	5	TRUE
LV3003047158	corewise_z	4	4	TRUE
LV3003047159	corewise_z	4	4	TRUE
LV3003047160	corewise_z	2	2	TRUE
LV3003047161	corewise_z	2	2	TRUE
LV3003047162	corewise_z	2	2	TRUE
LV3003047164	corewise_z	4	4	TRUE
LV3003047166	corewise_z	5	4	FALSE
LV3003047167	corewise_z	4	4	TRUE
LV3003047168	corewise_z	5	5	TRUE
LV3003047169	corewise_z	5	5	TRUE
LV3003061473	corewise_z	2	2	TRUE
LV3003061474	corewise_z	1	1	TRUE
LV3003061475	corewise_z	4	4	TRUE
LV3003061476	corewise_z	5	5	TRUE
LV3003061477	corewise_z	3	3	TRUE
LV3003061485	corewise_z	1	1	TRUE
LV3003061486	corewise_z	4	4	TRUE
LV3003061488	corewise_z	5	5	TRUE
LV3003061489	corewise_z	1	2	FALSE
LV3003061492	corewise_z	3	3	TRUE
LV3003061500	corewise_z	1	1	TRUE
LV3003061501	corewise_z	1	1	TRUE
LV3003061503	corewise_z	1	1	TRUE
LV3003061504	corewise_z	4	4	TRUE
LV3003061505	corewise_z	5	5	TRUE
LV3003061506	corewise_z	3	3	TRUE
LV3003061513	corewise_z	4	4	TRUE
LV3003061514	corewise_z	1	1	TRUE
