taxon	module
S__3300000115_9	leiden1
S__3300000116_5	leiden1
S__3300000124_6	leiden2
S__3300000144_1	leiden3
S__3300000146_15	leiden3
S__3300000179_4	leiden4
S__3300000212_12	leiden5
S__3300000214_4	leiden1
S__3300000322_5	leiden3
S__3300000792_9	leiden2
S__3300001678_9	leiden1
S__3300001683_13	leiden1
S__3300001683_21	leiden4
S__3300001683_28	leiden4
S__3300001683_31	leiden4
S__3300001683_37	leiden5
S__3300001683_4	leiden4
S__3300001835_22	leiden4
S__3300002154_2	leiden2
S__3300002239_5	leiden1
S__3300004630_4	grey
S__3300004632_4	leiden3
S__3300005056_12	leiden1
S__3300005253_23	leiden5
S__3300005253_25	leiden5
S__3300005391_1	leiden1
S__3300005613_10	leiden3
S__3300005838_29	leiden2
S__3300006083_2	leiden1
S__3300006311_3	leiden4
S__3300006613_4	leiden1
S__3300006902_27	leiden1
S__3300006913_7	grey
S__3300006913_8	grey
S__3300007519_15	leiden6
S__3300007519_57	leiden2
S__3300007722_38	leiden6
S__3300007772_7	leiden4
S__3300008212_1	grey
S__3300009702_26	leiden1
S__3300009702_34	grey
S__3300009702_36	leiden4
S__3300009703_7	leiden1
S__3300009703_8	grey
S__3300009840_13	leiden6
S__3300010038_14	grey
S__3300010316_3	leiden4
S__3300011118_20	leiden3
S__3300011118_36	leiden6
S__3300011186_2	leiden1
S__3300011992_7	leiden2
S__3300012045_6	leiden6
S__3300012183_8	leiden6
S__3300012950_5	leiden3
S__3300012950_6	leiden1
S__3300012950_8	leiden4
S__3300013290_3	grey
S__3300013833_2	leiden4
S__3300015063_1	leiden6
S__3300017418_15	leiden4
S__3300017441_13	grey
S__3300017929_23	leiden4
S__3300017991_24	leiden4
S__3300019458_28	leiden3
S__3300020187_18	leiden4
S__3300020243_4	leiden3
S__3300020253_8	leiden3
S__3300020262_3	grey
S__3300020262_32	leiden4
S__3300020263_12	leiden4
S__3300020263_16	leiden4
S__3300020263_9	leiden2
S__3300020285_8	leiden3
S__3300020300_16	leiden4
S__3300020303_2	leiden4
S__3300020303_5	leiden4
S__3300020304_5	leiden1
S__3300020307_15	leiden1
S__3300020307_16	leiden3
S__3300020307_9	leiden1
S__3300020310_5	grey
S__3300020317_19	leiden3
S__3300020330_9	leiden4
S__3300020364_17	leiden5
S__3300020373_18	leiden4
S__3300020376_11	leiden1
S__3300020376_9	leiden2
S__3300020385_31	leiden3
S__3300020389_10	leiden2
S__3300020389_13	leiden4
S__3300020389_17	leiden4
S__3300020389_18	leiden3
S__3300020389_30	leiden1
S__3300020389_47	leiden2
S__3300020396_14	leiden4
S__3300020396_15	leiden3
S__3300020396_30	leiden2
S__3300020396_35	leiden3
S__3300020415_29	leiden3
S__3300020423_20	leiden4
S__3300020444_12	leiden4
S__3300020469_71	grey
S__3300020476_8	leiden3
S__3300020477_58	leiden1
S__3300020477_98	leiden1
S__3300021089_16	leiden2
S__3300021089_20	leiden3
S__3300021185_15	leiden3
S__3300021508_9	leiden5
S__3300021511_7	leiden5
S__3300022227_18	leiden5
S__3300022827_4	leiden1
S__3300022833_6	leiden1
S__3300022839_4	leiden6
S__3300022857_9	leiden1
S__3300022885_8	leiden2
S__3300022891_2	leiden6
S__3300022920_20	leiden2
S__3300022933_36	leiden1
S__3300023271_4	leiden4
S__3300023296_6	leiden1
S__3300024058_12	leiden3
S__3300024058_14	leiden2
S__3300024058_15	leiden4
S__3300024058_22	leiden4
S__3300024060_20	leiden5
S__3300024060_22	leiden4
S__3300024060_27	leiden4
S__3300024060_33	leiden1
S__3300024313_13	grey
S__3300024344_27	leiden1
S__3300024344_29	leiden4
S__3300024344_6	leiden3
S__3300024353_106	leiden5
S__3300024353_29	leiden5
S__3300024353_30	leiden5
S__3300024353_49	leiden5
S__3300024353_52	grey
S__3300024353_62	grey
S__3300024431_22	leiden1
S__3300024431_27	leiden3
S__3300024431_33	leiden4
S__3300024431_39	leiden5
S__3300024431_52	leiden4
S__3300024431_6	leiden2
S__3300024433_12	leiden5
S__3300024433_21	leiden1
S__3300024433_34	leiden5
S__3300024516_13	leiden4
S__3300024516_14	leiden2
S__3300024516_18	leiden4
S__3300024516_24	leiden4
S__3300024516_26	leiden4
S__3300024516_32	leiden5
S__3300024516_38	leiden4
S__3300024529_6	leiden2
S__3300025214_4	leiden1
S__3300025220_11	leiden3
S__3300025220_9	leiden1
S__3300025232_12	leiden1
S__3300025232_4	leiden4
