module	proxy	n	lm_ok	gls_ok	lm_error	gls_error
MEleiden6	ba_ti_z	188	TRUE	TRUE		
MEleiden6	ca_ti_z	188	TRUE	TRUE		
MEleiden6	zr_rb_z	189	TRUE	TRUE		
MEleiden6	ti_al_z	188	TRUE	TRUE		
MEleiden6	mn_fe_z	188	TRUE	TRUE		
MEleiden5	ba_ti_z	188	TRUE	TRUE		
MEleiden5	ca_ti_z	188	TRUE	TRUE		
MEleiden5	zr_rb_z	189	TRUE	TRUE		
MEleiden5	ti_al_z	188	TRUE	TRUE		
MEleiden5	mn_fe_z	188	TRUE	TRUE		
MEleiden3	ba_ti_z	188	TRUE	TRUE		
MEleiden3	ca_ti_z	188	TRUE	TRUE		
MEleiden3	zr_rb_z	189	TRUE	TRUE		
MEleiden3	ti_al_z	188	TRUE	TRUE		
MEleiden3	mn_fe_z	188	TRUE	TRUE		
MEleiden1	ba_ti_z	188	TRUE	TRUE		
MEleiden1	ca_ti_z	188	TRUE	TRUE		
MEleiden1	zr_rb_z	189	TRUE	TRUE		
MEleiden1	ti_al_z	188	TRUE	TRUE		
MEleiden1	mn_fe_z	188	TRUE	TRUE		
MEleiden2	ba_ti_z	188	TRUE	TRUE		
MEleiden2	ca_ti_z	188	TRUE	TRUE		
MEleiden2	zr_rb_z	189	TRUE	TRUE		
MEleiden2	ti_al_z	188	TRUE	TRUE		
MEleiden2	mn_fe_z	188	TRUE	TRUE		
MEleiden4	ba_ti_z	188	TRUE	TRUE		
MEleiden4	ca_ti_z	188	TRUE	TRUE		
MEleiden4	zr_rb_z	189	TRUE	TRUE		
MEleiden4	ti_al_z	188	TRUE	TRUE		
MEleiden4	mn_fe_z	188	TRUE	TRUE		
