sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046936	leiden1	0.0675888164049875	311	270	251	225	0.868167202572347	0.807073954983923	0.723472668810289	0.892274296680221	0.838816488002076	0.726568460128827	ko	3	IG-A	ST8	22.905
LV3003046936	leiden2	0.226342027148859	238	224	216	183	0.941176470588235	0.907563025210084	0.76890756302521	0.968850915120329	0.947258161868147	0.81079214919996	ko	3	IG-A	ST8	22.905
LV3003046936	leiden3	0.0310325837344991	118	113	107	87	0.957627118644068	0.906779661016949	0.73728813559322	0.978245229367227	0.931087053342013	0.794425982390627	ko	3	IG-A	ST8	22.905
LV3003046936	leiden4	0.652404017895113	279	275	261	226	0.985663082437276	0.935483870967742	0.810035842293907	0.998534985969109	0.950800624464268	0.813596927218624	ko	3	IG-A	ST8	22.905
LV3003046936	grey	0.00475604725534557	31	24	24	23	0.774193548387097	0.774193548387097	0.741935483870968	0.885995305689058	0.885995305689058	0.873588912484632	ko	3	IG-A	ST8	22.905
LV3003046936	leiden5	0.0156151657679419	54	52	41	47	0.962962962962963	0.759259259259259	0.87037037037037	0.97828085106383	0.820970212765958	0.928374468085106	ko	3	IG-A	ST8	22.905
LV3003046936	leiden6	0.00226134179325361	13	13	13	12	1	1	0.923076923076923	1	1	0.688058298072403	ko	3	IG-A	ST8	22.905
LV3003046937	leiden1	0.0275715531018451	66	62	59	48	0.939393939393939	0.893939393939394	0.727272727272727	0.908905282571466	0.872744038993545	0.714991437228297	ko	3	IG-A	ST8	18.598
LV3003046937	leiden4	0.729887040534651	244	241	232	198	0.987704918032787	0.950819672131147	0.811475409836066	0.998793247160399	0.952526094475063	0.857302098754681	ko	3	IG-A	ST8	18.598
LV3003046937	leiden2	0.203187200348685	198	186	181	155	0.939393939393939	0.914141414141414	0.782828282828283	0.960905588874092	0.943941438824486	0.769133827301735	ko	3	IG-A	ST8	18.598
LV3003046937	leiden3	0.0212952201075113	49	49	46	41	1	0.938775510204082	0.836734693877551	1	0.957786116322702	0.85920177383592	ko	3	IG-A	ST8	18.598
LV3003046937	leiden5	0.0143959755920384	24	24	19	24	1	0.791666666666667	1	1	0.780497035448467	1	ko	3	IG-A	ST8	18.598
LV3003046937	leiden6	0.00240447479296818	6	6	6	5	1	1	0.833333333333333	1	1	0.907099697885196	ko	3	IG-A	ST8	18.598
LV3003046937	grey	0.00125853552230132	5	5	5	5	1	1	1	1	1	1	ko	3	IG-A	ST8	18.598
LV3003046938	leiden3	0.303806676365772	207	182	169	131	0.879227053140097	0.816425120772947	0.632850241545894	0.934490257671946	0.869134283768645	0.712062034575929	ko	1	IG-D	ST8	11.169
LV3003046938	leiden4	0.531410418974653	218	214	204	175	0.981651376146789	0.935779816513761	0.802752293577982	0.990520874671596	0.959102120370324	0.734006801661735	ko	1	IG-D	ST8	11.169
LV3003046938	leiden1	0.0339063813883958	56	52	50	43	0.928571428571429	0.892857142857143	0.767857142857143	0.974136912963036	0.962091091603354	0.834310908160454	ko	1	IG-D	ST8	11.169
LV3003046938	leiden2	0.0849094379412982	138	133	129	106	0.963768115942029	0.934782608695652	0.768115942028986	0.978432759569284	0.957792973355341	0.836878094788965	ko	1	IG-D	ST8	11.169
LV3003046938	leiden6	0.0190600766140334	19	19	19	19	1	1	1	1	1	1	ko	1	IG-D	ST8	11.169
LV3003046938	grey	0.0269070087158474	20	15	15	11	0.75	0.75	0.55	0.888734560246044	0.888734560246044	0.356813333994742	ko	1	IG-D	ST8	11.169
LV3003046939	leiden3	0.136189321809062	149	140	131	99	0.939597315436242	0.879194630872483	0.664429530201342	0.957725665939076	0.90113291738299	0.67192238598389	ko	1	IG-D	ST8	2.42
LV3003046939	leiden4	0.802420386438417	222	219	208	179	0.986486486486486	0.936936936936937	0.806306306306306	0.997792769496452	0.923907511058692	0.887250928421966	ko	1	IG-D	ST8	2.42
LV3003046939	leiden1	0.00662742083037104	44	40	39	33	0.909090909090909	0.886363636363636	0.75	0.933809665575072	0.914954847672919	0.809070159769773	ko	1	IG-D	ST8	2.42
LV3003046939	leiden2	0.0446195037030558	111	108	101	79	0.972972972972973	0.90990990990991	0.711711711711712	0.993249218796062	0.902423206178881	0.752432049997052	ko	1	IG-D	ST8	2.42
LV3003046939	leiden6	0.00229200770009359	6	6	6	6	1	1	1	1	1	1	ko	1	IG-D	ST8	2.42
