module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
leiden1	OAP	include_grey	209	72.4866596328284	74.9561604733758	9.14042625917233e-16	ok	1.59957459535516e-15	enriched
leiden2	OAP	include_grey	213	115.092331228903	143.512898280947	1.6936661714842e-35	ok	1.18556632003894e-34	enriched
leiden3	OAP	include_grey	214	20.8434156129216	13.6607626347317	0.0451155163831798	ok	0.0526347691137098	no_call
leiden4	OAP	include_grey	214	-67.617205812598	-67.5148327526181	4.43296945684963e-18	ok	1.03435953993158e-17	depleted
grey	OAP	include_grey	188	43.7119833326671	-12.4619898764971	0.179205406769433	ok	0.179205406769433	no_call
leiden5	OAP	include_grey	208	-179.797872720618	-196.111416295932	4.20440966176864e-29	ok	1.47154338161902e-28	depleted
leiden6	OAP	include_grey	155	45.2570047309785	54.3529988308748	0.000117756736931995	ok	0.000164859431704794	enriched
leiden1	MGI	include_grey	209	0	0.255036520778809	0.812270801703324	ok	0.812270801703324	no_call
leiden2	MGI	include_grey	213	0	-0.314517160035882	3.82101653818264e-07	ok	8.91570525575949e-07	no_call
leiden3	MGI	include_grey	214	0	-0.326629726837983	2.58769141670957e-07	ok	8.91570525575949e-07	no_call
leiden4	MGI	include_grey	214	0	-0.326629726837983	2.58769141670957e-07	ok	8.91570525575949e-07	no_call
grey	MGI	include_grey	191	0	-0.289462023138034	4.69508970951721e-06	ok	6.5731255933241e-06	no_call
leiden5	MGI	include_grey	208	0	1.24146322233259	2.69722337863317e-06	ok	4.72014091260806e-06	no_call
leiden6	MGI	include_grey	160	0	-0.309062865589293	1.30706054780131e-05	ok	1.52490397243486e-05	no_call
leiden1	MFI	include_grey	209	0	-0.518741178644898	0.0164097436337423	ok	0.114868205436196	no_call
leiden2	MFI	include_grey	213	0	0.056415543824218	0.0924646977909977	ok	0.161813221134246	no_call
leiden3	MFI	include_grey	214	0	0.0690863927538122	0.0612797726147915	ok	0.14298613610118	no_call
leiden4	MFI	include_grey	214	0	0.0690863927538122	0.0612797726147915	ok	0.14298613610118	no_call
grey	MFI	include_grey	191	0	0.00453465551652664	0.162139580206403	ok	0.189162843574137	no_call
leiden5	MFI	include_grey	208	0	0.285652235663376	0.538741711516351	ok	0.538741711516351	no_call
leiden6	MFI	include_grey	160	0	0.040935219887218	0.146686269560122	ok	0.189162843574137	no_call
leiden1	DCI	include_grey	209	1.13455040539809	0.14011879764423	0.0104653560880518	ok	0.0146514985232726	enriched
leiden2	DCI	include_grey	213	2.47761657235267	2.06786859059164	7.48236419049785e-17	ok	5.2376549333485e-16	enriched
leiden3	DCI	include_grey	214	1.54708207513617	0.760807989875677	0.00289842989169931	ok	0.00507225231047379	enriched
leiden4	DCI	include_grey	214	1.0591417033554	0.649788707800098	5.23784235783093e-06	ok	1.22216321682722e-05	enriched
grey	DCI	include_grey	191	1.36536380401664	-0.0233175780866116	0.570693665207003	ok	0.665809276074837	no_call
leiden5	DCI	include_grey	208	-2.33724858822315	-2.98820848241365	1.31670721412886e-09	ok	4.608475249451e-09	depleted
leiden6	DCI	include_grey	160	0.784938702845654	-0.910046937810616	0.95041694421025	ok	0.95041694421025	no_call
leiden1	MII	include_grey	209	0.394677006434844	0.294302150752327	2.32077493338756e-07	ok	1.62454245337129e-06	enriched
leiden2	MII	include_grey	213	-0.171449220964119	0.347154513205536	0.0157262940379914	ok	0.022016811653188	depleted
leiden3	MII	include_grey	214	0.323803671700304	0.461261597773997	0.000630092780234292	ok	0.00147021648721335	enriched
leiden4	MII	include_grey	214	-0.375396076339618	0.0824122342255497	0.792983268811587	ok	0.792983268811587	no_call
grey	MII	include_grey	191	0.533722631570439	-0.733706642901512	0.00105112218052931	ok	0.0018394638159263	enriched
leiden5	MII	include_grey	208	0.229629788470781	-0.401573088716201	0.0230229059263092	ok	0.0268600569140274	enriched
leiden6	MII	include_grey	160	1.1566596859693	-0.175838060129749	2.26208715981278e-06	ok	7.91730505934473e-06	enriched
leiden1	SRPI	include_grey	209	0.221180027276849	0.144262111254847	1.8364486388457e-06	ok	2.57102809438398e-06	enriched
leiden2	SRPI	include_grey	213	0.0838195494219667	0.175233287559843	0.000155474779229228	ok	0.000181387242434099	enriched
leiden3	SRPI	include_grey	214	0.696172639578505	0.867026291474927	3.08917767667284e-32	ok	2.16242437367099e-31	enriched
leiden4	SRPI	include_grey	214	0.188231807018291	0.487302775781091	1.70039983007085e-11	ok	2.97569970262399e-11	enriched
grey	SRPI	include_grey	191	0.269931630708908	-0.275774015733043	0.0432207572645675	ok	0.0432207572645675	enriched
leiden5	SRPI	include_grey	208	0.903004944653971	0.705829543847426	6.16571273133765e-16	ok	1.43866630397879e-15	enriched
leiden6	SRPI	include_grey	160	-0.893522986353217	-2.82151000006594	8.28684160105997e-23	ok	2.90039456037099e-22	depleted
leiden1	OAP	exclude_grey	209	83.2906503594747	72.899491411143	1.97247497404401e-15	ok	2.95871246106602e-15	enriched
leiden2	OAP	exclude_grey	213	120.536900274983	141.22821672149	6.29505064546259e-36	ok	3.77703038727755e-35	enriched
leiden3	OAP	exclude_grey	214	19.2336499044786	11.4690269642133	0.060550002365538	ok	0.060550002365538	no_call
leiden4	OAP	exclude_grey	214	-65.8214822375552	-69.7065684231365	1.30567619431827e-20	ok	2.61135238863654e-20	depleted
leiden5	OAP	exclude_grey	208	-179.361817369086	-197.934406012238	2.25092045347976e-29	ok	6.75276136043928e-29	depleted
leiden6	OAP	exclude_grey	155	38.6333281016713	53.6489448783791	7.55994420721981e-05	ok	9.07193304866377e-05	enriched
leiden1	MGI	exclude_grey	209	0	0.209321476168693	0.719575027391125	ok	0.719575027391125	no_call
