module	index	n	n_states	kruskal_p	lm_coreadj_p	status	kruskal_q	lm_coreadj_q
leiden1	OAP	209	5	0.309905099186683	0.567096937489015	ok	0.325400354146017	0.567096937489015
leiden2	OAP	213	5	1.8892500594336e-09	2.72527308928186e-19	ok	6.10373096124701e-09	1.90769116249731e-18
leiden3	OAP	214	5	0.000696785402265704	0.000625631715255005	ok	0.00108388840352443	0.00109485550169626
leiden4	OAP	214	5	0.00513862839330784	0.000334228109936258	ok	0.00674444976621654	0.000638071846241947
grey	OAP	188	5	0.261336207738125	0.397085125574095	ok	0.28143899294875	0.406770128636878
leiden5	OAP	208	5	7.59724710950597e-06	2.20277037062265e-05	ok	1.77269099221806e-05	6.28715120837354e-05
leiden6	OAP	155	5	1.65534695451244e-05	0.000309907406721578	ok	3.31069390902488e-05	0.000619814813443156
leiden1	MGI	209	5	0.00225345460030922	0.0448299691466732	ok	0.00320550394575478	0.0508880730854128
leiden2	MGI	213	5	1.22154605774628e-25	3.29814431856269e-36	ok	5.13049344253438e-24	1.38522061379633e-34
leiden3	MGI	214	5	1.33394317492096e-24	1.85764852350508e-32	ok	1.86752044488934e-23	2.60070793290712e-31
leiden4	MGI	214	5	1.33394317492096e-24	1.85764852350508e-32	ok	1.86752044488934e-23	2.60070793290712e-31
grey	MGI	191	5	4.1387452263038e-22	1.89934106202486e-12	ok	4.34568248761899e-21	1.13960463721491e-11
leiden5	MGI	208	5	1.41869282524715e-13	5.71897371549135e-27	ok	9.93084977673006e-13	6.00492240126592e-26
leiden6	MGI	160	5	4.11194112567374e-16	3.25496400712645e-22	ok	3.45403054556594e-15	2.73416976598621e-21
leiden1	MFI	209	5	0.318455027525624	4.42441167808049e-05	ok	0.326222223318932	9.78027844628319e-05
leiden2	MFI	213	5	1.68086987275292e-12	1.37985724838442e-05	ok	1.00852192365175e-11	4.82950036934548e-05
leiden3	MFI	214	5	4.25063155097953e-12	3.78530105158966e-05	ok	1.622968410374e-11	8.83236912037587e-05
leiden4	MFI	214	5	4.25063155097953e-12	3.78530105158966e-05	ok	1.622968410374e-11	8.83236912037587e-05
grey	MFI	191	5	4.13403421366561e-11	0.00618920097599669	ok	1.44691197478296e-10	0.00787716487854124
leiden5	MFI	208	5	3.17632944496323e-06	0.366832402842565	ok	7.84740215814446e-06	0.385174022984693
leiden6	MFI	160	5	1.19669773781189e-06	0.000952246186868428	ok	3.14133156175622e-06	0.00148127184623978
leiden1	DCI	209	5	0.0135784609823306	0.0692364415754428	ok	0.016773392978173	0.0765244880570684
leiden2	DCI	213	5	7.73300860995784e-07	5.73293058533037e-08	ok	2.31990258298735e-06	2.18893713258069e-07
leiden3	DCI	214	5	0.00316262357269512	0.000690573106790965	ok	0.00428484484042564	0.00111554117250848
leiden4	DCI	214	5	9.3910461549428e-06	1.56499471031363e-10	ok	2.04817517072278e-05	7.3033086481303e-10
grey	DCI	191	5	0.00228964567553913	0.000177139747843407	ok	0.00320550394575478	0.000371993470471154
leiden5	DCI	208	5	9.75321509867992e-06	2.14752800653022e-05	ok	2.04817517072278e-05	6.28715120837354e-05
leiden6	DCI	160	5	0.000638743526963045	0.00265899424902267	ok	0.00103181646663261	0.00385529608834082
leiden1	MII	209	5	0.0193779129108349	0.00740587580163762	ok	0.0232534954930019	0.00914843481378765
leiden2	MII	213	5	0.000241761449656235	0.0338589190884969	ok	0.000406159235422476	0.0395020722699131
leiden3	MII	214	5	1.10320959014134e-06	0.00266199015623533	ok	3.08898685239575e-06	0.00385529608834082
leiden4	MII	214	5	0.0370546437565126	0.251400013680746	ok	0.0420620280479333	0.270738476271573
grey	MII	191	5	7.62474586940314e-05	0.00346008845011508	ok	0.000141509643611983	0.00484412383016111
leiden5	MII	208	5	0.34635818365774	0.00534944584695737	ok	0.34635818365774	0.00702114767413155
leiden6	MII	160	5	0.125513054683982	0.00377606108738402	ok	0.138724955177033	0.00511595373129448
leiden1	SRPI	209	5	0.021951285484257	3.03177325555043e-05	ok	0.0256098330649664	7.95840479581987e-05
leiden2	SRPI	213	5	0.000858312689613646	0.000578121269365464	ok	0.00128746903442047	0.00105569970927607
leiden3	SRPI	214	5	0.000181217535356845	2.24541114584769e-05	ok	0.000317130686874478	6.28715120837354e-05
leiden4	SRPI	214	5	0.00752116322143377	0.0105838229292316	ok	0.00957238955455207	0.012700587515078
grey	SRPI	191	5	2.70562057176112e-12	1.60682794170759e-08	ok	1.26262293348852e-11	6.74867735517189e-08
leiden5	SRPI	208	5	7.7493376263705e-05	0.000670516177338608	ok	0.000141509643611983	0.00111554117250848
leiden6	SRPI	160	5	1.98272900763468e-12	3.27353046756523e-11	ok	1.04093272900821e-11	1.71860349547175e-10
