n	n_unique	sd	iqr	most_common_frac	max_boundary_frac	sat_flag	sat_reason	scope	group	index	module
214	214	105.123135630378	128.351662758532	0.00467289719626168	0	FALSE	not_saturated	sample	all	OAP	
214	34	3.18999115661026	0	0.845794392523365	0.845794392523365	TRUE	single_value_dominant	sample	all	MGI	
214	51	2.7877551192774	0	0.766355140186916	0.766355140186916	FALSE	not_saturated	sample	all	MFI	
214	212	2.14844419494937	0.588496902250994	0.014018691588785	0.014018691588785	FALSE	not_saturated	sample	all	DCI	
214	214	0.43984989594545	0.427927797458723	0.00467289719626168	0	FALSE	not_saturated	sample	all	MII	
214	214	0.199880323205829	0.282008584196478	0.00467289719626168	0	FALSE	not_saturated	sample	all	SRPI	
209	206	187.93818504633	113.199435424623	0.0143540669856459	0	FALSE	not_saturated	sample_module	leiden1	OAP	leiden1
213	212	49.2898521547524	46.9737079585342	0.00938967136150235	0	FALSE	not_saturated	sample_module	leiden2	OAP	leiden2
214	214	157.91219331747	226.227818309222	0.00467289719626168	0	FALSE	not_saturated	sample_module	leiden3	OAP	leiden3
214	214	86.6265685572497	107.756188285859	0.00467289719626168	0	FALSE	not_saturated	sample_module	leiden4	OAP	leiden4
188	176	258.056022004954	362.680436117652	0.0319148936170213	0	FALSE	not_saturated	sample_module	grey	OAP	grey
208	207	240.718799832838	303.238149071921	0.00961538461538462	0	FALSE	not_saturated	sample_module	leiden5	OAP	leiden5
155	133	176.83994254844	247.355470199478	0.0838709677419355	0	FALSE	not_saturated	sample_module	leiden6	OAP	leiden6
209	12	2.51135234978461	0	0.947368421052632	0.947368421052632	TRUE	single_value_dominant	sample_module	leiden1	MGI	leiden1
213	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden2	MGI	leiden2
214	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden3	MGI	leiden3
214	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden4	MGI	leiden4
191	2	1.05725212885464	0	0.994764397905759	0.994764397905759	TRUE	few_unique_values	sample_module	grey	MGI	grey
208	29	4.02228877392872	0	0.865384615384615	0.865384615384615	TRUE	single_value_dominant	sample_module	leiden5	MGI	leiden5
160	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden6	MGI	leiden6
209	12	2.51135234978461	0	0.947368421052632	0.947368421052632	TRUE	single_value_dominant	sample_module	leiden1	MFI	leiden1
213	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden2	MFI	leiden2
214	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden3	MFI	leiden3
214	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden4	MFI	leiden4
191	2	1.00709782438122	0	0.994764397905759	0.994764397905759	TRUE	few_unique_values	sample_module	grey	MFI	grey
208	47	4.02484357750139	0	0.778846153846154	0.778846153846154	FALSE	not_saturated	sample_module	leiden5	MFI	leiden5
160	1	0	0	1	1	TRUE	few_unique_values	sample_module	leiden6	MFI	leiden6
209	177	5.03814476135816	2.60829543784567	0.157894736842105	0.157894736842105	FALSE	not_saturated	sample_module	leiden1	DCI	leiden1
213	199	3.25038730711219	1.03966975303466	0.0704225352112676	0.0704225352112676	FALSE	not_saturated	sample_module	leiden2	DCI	leiden2
214	170	5.13014625538062	2.51692756716519	0.205607476635514	0.205607476635514	FALSE	not_saturated	sample_module	leiden3	DCI	leiden3
214	208	2.44753857785899	0.689025535591673	0.0327102803738318	0.0327102803738318	FALSE	not_saturated	sample_module	leiden4	DCI	leiden4
191	103	7.14099047637058	12.082542323104	0.465968586387435	0.465968586387435	FALSE	not_saturated	sample_module	grey	DCI	grey
208	168	6.72422319358444	12.1585247253671	0.197115384615385	0.197115384615385	FALSE	not_saturated	sample_module	leiden5	DCI	leiden5
160	135	7.23223823188859	12.779468996105	0.13125	0.13125	FALSE	not_saturated	sample_module	leiden6	DCI	leiden6
209	203	3.1152591766936	0.818238743001301	0.0143540669856459	0.0143540669856459	FALSE	not_saturated	sample_module	leiden1	MII	leiden1
213	213	1.74238300302822	0.500453598601902	0.00469483568075117	0	FALSE	not_saturated	sample_module	leiden2	MII	leiden2
214	214	2.4984933499677	1.62911700693553	0.00467289719626168	0	FALSE	not_saturated	sample_module	leiden3	MII	leiden3
214	214	1.61916155905632	0.4981729505552	0.00467289719626168	0	FALSE	not_saturated	sample_module	leiden4	MII	leiden4
191	172	5.03580774411402	1.17595554114889	0.0628272251308901	0.0628272251308901	FALSE	not_saturated	sample_module	grey	MII	grey
208	203	4.15059898314308	1.14606799593489	0.0144230769230769	0.0144230769230769	FALSE	not_saturated	sample_module	leiden5	MII	leiden5
160	143	4.95414370465129	1.23953841335155	0.0875	0.0125	FALSE	not_saturated	sample_module	leiden6	MII	leiden6
209	200	1.62056201048657	0.729671639132566	0.0334928229665072	0	FALSE	not_saturated	sample_module	leiden1	SRPI	leiden1
213	211	1.0136837891394	0.217904100730176	0.0140845070422535	0	FALSE	not_saturated	sample_module	leiden2	SRPI	leiden2
214	213	0.588843683773286	0.927335450869511	0.00934579439252336	0	FALSE	not_saturated	sample_module	leiden3	SRPI	leiden3
214	213	0.160792270849378	0.232509546453889	0.00934579439252336	0	FALSE	not_saturated	sample_module	leiden4	SRPI	leiden4
191	170	2.72465157053038	1.54089233534628	0.0942408376963351	0	FALSE	not_saturated	sample_module	grey	SRPI	grey
208	203	1.38137541080698	1.02857645217695	0.0144230769230769	0	FALSE	not_saturated	sample_module	leiden5	SRPI	leiden5
160	107	3.62777549760083	7.75152390923242	0.3375	0	FALSE	not_saturated	sample_module	leiden6	SRPI	leiden6
209	209	142.269596704432	144.138756479533	0.00478468899521531	0	FALSE	not_saturated	centered_include_grey	leiden1	OAP	leiden1
213	213	114.40861778469	123.845485101275	0.00469483568075117	0	FALSE	not_saturated	centered_include_grey	leiden2	OAP	leiden2
214	214	117.659269727427	169.936043343805	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	leiden3	OAP	leiden3
214	214	98.447470211503	121.948404362087	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	leiden4	OAP	leiden4
188	188	199.467757390682	196.950954687051	0.00531914893617021	0	FALSE	not_saturated	centered_include_grey	grey	OAP	grey
208	208	177.958674004544	226.082221829303	0.00480769230769231	0	FALSE	not_saturated	centered_include_grey	leiden5	OAP	leiden5
155	155	162.205971109956	227.28266861599	0.00645161290322581	0	FALSE	not_saturated	centered_include_grey	leiden6	OAP	leiden6
209	36	2.12993728795874	0	0.832535885167464	0.832535885167464	TRUE	single_value_dominant	centered_include_grey	leiden1	MGI	leiden1
213	35	0.756693361685999	0	0.84037558685446	0.84037558685446	TRUE	single_value_dominant	centered_include_grey	leiden2	MGI	leiden2
214	36	0.775431174648105	0	0.836448598130841	0.836448598130841	TRUE	single_value_dominant	centered_include_grey	leiden3	MGI	leiden3
214	36	0.775431174648105	0	0.836448598130841	0.836448598130841	TRUE	single_value_dominant	centered_include_grey	leiden4	MGI	leiden4
191	36	1.20794276668485	0	0.816753926701571	0.816753926701571	TRUE	single_value_dominant	centered_include_grey	grey	MGI	grey
208	36	3.35964081518865	0	0.831730769230769	0.831730769230769	TRUE	single_value_dominant	centered_include_grey	leiden5	MGI	leiden5
160	26	0.763316512155045	0	0.84375	0.84375	TRUE	single_value_dominant	centered_include_grey	leiden6	MGI	leiden6
209	53	2.23638064640278	0	0.751196172248804	0.751196172248804	FALSE	not_saturated	centered_include_grey	leiden1	MFI	leiden1
213	52	0.687445263738092	0	0.76056338028169	0.76056338028169	FALSE	not_saturated	centered_include_grey	leiden2	MFI	leiden2
214	53	0.710436548070779	0	0.757009345794393	0.757009345794393	FALSE	not_saturated	centered_include_grey	leiden3	MFI	leiden3
214	53	0.710436548070779	0	0.757009345794393	0.757009345794393	FALSE	not_saturated	centered_include_grey	leiden4	MFI	leiden4
191	53	1.11843449298049	0	0.727748691099477	0.727748691099477	FALSE	not_saturated	centered_include_grey	grey	MFI	grey
208	53	3.44411147805909	0	0.75	0.75	FALSE	not_saturated	centered_include_grey	leiden5	MFI	leiden5
160	42	0.736468927747239	0	0.74375	0.74375	FALSE	not_saturated	centered_include_grey	leiden6	MFI	leiden6
209	207	4.60115997128965	4.05949150989272	0.0143540669856459	0.0143540669856459	FALSE	not_saturated	centered_include_grey	leiden1	DCI	leiden1
213	212	3.38278766510743	4.01458985311663	0.00938967136150235	0.00938967136150235	FALSE	not_saturated	centered_include_grey	leiden2	DCI	leiden2
214	212	4.83842396932198	4.53590373817888	0.014018691588785	0.014018691588785	FALSE	not_saturated	centered_include_grey	leiden3	DCI	leiden3
214	212	3.18218328818824	3.43434463573107	0.014018691588785	0.014018691588785	FALSE	not_saturated	centered_include_grey	leiden4	DCI	leiden4
191	190	6.22252611407898	9.92833192701004	0.0104712041884817	0.0104712041884817	FALSE	not_saturated	centered_include_grey	grey	DCI	grey
208	206	5.72496088239312	10.2018928430511	0.0144230769230769	0.0144230769230769	FALSE	not_saturated	centered_include_grey	leiden5	DCI	leiden5
160	160	6.61813309673084	9.45302053146838	0.00625	0	FALSE	not_saturated	centered_include_grey	leiden6	DCI	leiden6
209	209	2.67096878678972	1.91655959630079	0.00478468899521531	0	FALSE	not_saturated	centered_include_grey	leiden1	MII	leiden1
213	213	1.88624407583855	1.98602658097344	0.00469483568075117	0	FALSE	not_saturated	centered_include_grey	leiden2	MII	leiden2
214	214	2.60122910620219	2.51197868138824	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	leiden3	MII	leiden3
214	214	1.96594820121645	1.85421962286907	0.00467289719626168	0	FALSE	not_saturated	centered_include_grey	leiden4	MII	leiden4
191	191	4.33897362963721	1.42174631395401	0.00523560209424084	0	FALSE	not_saturated	centered_include_grey	grey	MII	grey
208	208	3.52687390645149	1.70049641611148	0.00480769230769231	0	FALSE	not_saturated	centered_include_grey	leiden5	MII	leiden5
160	160	4.18157079684072	1.30214477253429	0.00625	0	FALSE	not_saturated	centered_include_grey	leiden6	MII	leiden6
