module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	centered_abs_mean	mean_module_abundance	median_module_abundance
grey	OAP	188	188	420.475916773158	529.846146888568	258.056022004954	362.680436117651	0.6137236681362	-12.4619898764971	43.7119833326667	146.331361065571	0.0272047961155366	0.00594634285118275
leiden1	OAP	209	209	513.404959588324	555.234673470536	187.93818504633	113.199435424623	0.366062270214586	74.9561604733758	72.4866596328282	124.858918420927	0.0266797024154566	0.0181585728479747
leiden2	OAP	213	213	580.909767589484	582.436413038394	49.2898521547524	46.973707958534	0.0848494119134598	143.512898280947	115.092331228903	146.177831171424	0.134639865310695	0.130387621831437
leiden3	OAP	214	214	448.987589687755	452.864786388547	157.91219331747	226.227818309221	0.351707256379378	13.6607626347318	20.8434156129215	96.9581923467155	0.0753178364626221	0.0514243882422263
leiden4	OAP	214	214	367.811994300406	375.569776139916	86.6265685572497	107.756188285859	0.235518607059069	-67.5148327526182	-67.6172058125983	97.4695924544193	0.692125848403694	0.699180349199497
leiden5	OAP	208	208	236.872659881771	277.782460158155	240.718799832838	303.238149071921	1.01623716284094	-196.111416295932	-179.797872720618	216.370049677214	0.0423337035139985	0.0171311551694564
leiden6	OAP	155	155	532.361224945089	524.280579926786	176.83994254844	247.355470199478	0.332180358490009	54.3529988308748	45.2570047309782	135.378836043774	0.0101567884145062	0.00341751819828441
grey	MGI	191	191	-13.7390104787812	-13.8155105579643	1.05725212885465	0	0.0769525673255352	-0.289462023138034	0	0.416962155109797	0.0267845143439915	0.0056953013763645
leiden1	MGI	209	209	-13.2260302020499	-13.8155105579643	2.51135234978462	0	0.189879526314356	0.25503652077881	0	0.674823888706817	0.0266797024154566	0.0181585728479747
leiden2	MGI	213	213	-13.8155105579643	-13.8155105579643	0	0	0	-0.314517160035883	0	0.314517160035883	0.134639865310695	0.130387621831437
leiden3	MGI	214	214	-13.8155105579643	-13.8155105579643	0	0	0	-0.326629726837984	0	0.326629726837984	0.0753178364626221	0.0514243882422263
leiden4	MGI	214	214	-13.8155105579643	-13.8155105579643	0	0	0	-0.326629726837984	0	0.326629726837984	0.692125848403694	0.699180349199497
leiden5	MGI	208	208	-12.2379955974426	-13.8155105579643	4.02228877392873	0	0.328672186707541	1.2414632223326	0	1.35972917816323	0.0423337035139985	0.0171311551694564
leiden6	MGI	160	160	-13.8155105579643	-13.8155105579643	0	0	0	-0.309062865589293	0	0.309062865589293	0.00991046680725944	0.00336598644303412
grey	MFI	191	191	-0.0728710410767497	0	1.00709782438122	0	13.8202749610853	0.00453465551652687	0	0.399723781747964	0.0267845143439915	0.0056953013763645
leiden1	MFI	209	209	-0.589480355914352	0	2.51135234978461	0	4.26028166093714	-0.518741178644898	0	0.741592357989046	0.0266797024154566	0.0181585728479747
leiden2	MFI	213	213	0	0	0	0		0.0564155438242181	0	0.301879589367751	0.134639865310695	0.130387621831437
leiden3	MFI	214	214	0	0	0	0		0.0690863927538123	0	0.313403410047141	0.0753178364626221	0.0514243882422263
leiden4	MFI	214	214	0	0	0	0		0.0690863927538123	0	0.313403410047141	0.692125848403694	0.699180349199497
leiden5	MFI	208	208	0.214572966195511	0	4.02484357750139	0	18.75745882095	0.285652235663375	0	1.40345758027534	0.0423337035139985	0.0171311551694564
leiden6	MFI	160	160	0	0	0	0		0.0409352198872181	0	0.342104535961041	0.00991046680725944	0.00336598644303412
grey	DCI	191	191	-3.32408069991947	0	7.14099047637059	12.082542323104	2.14826026231661	-0.0233175780866122	1.36536380401665	4.95876555314942	0.0267845143439915	0.0056953013763645
leiden1	DCI	209	209	-3.12802196552811	-1.56040578350969	5.03814476135816	2.60829543784566	1.61064877960586	0.14011879764423	1.13455040539809	3.3802195446664	0.0266797024154566	0.0181585728479747
leiden2	DCI	213	213	-1.22583637771972	-0.42793353008796	3.25038730711219	1.03966975303466	2.65156701676491	2.06786859059164	2.47761657235267	3.27621487551447	0.134639865310695	0.130387621831437
leiden3	DCI	214	214	-2.51750583372395	-0.790323611040127	5.13014625538062	2.51692756716519	2.03778922243528	0.760807989875677	1.54708207513617	3.75287226302221	0.0753178364626221	0.0514243882422263
leiden4	DCI	214	214	-2.62852511579953	-2.00195824737243	2.44753857785899	0.689025535591673	0.931145212631727	0.649788707800098	1.0591417033554	2.47262976186252	0.692125848403694	0.699180349199497
leiden5	DCI	208	208	-6.28998848583715	-4.03710434340021	6.72422319358444	12.1585247253671	1.06903585097573	-2.98820848241364	-2.33724858822315	5.17454668547174	0.0423337035139985	0.0171311551694564
leiden6	DCI	160	160	-4.41380471480455	-2.30728995622758	7.23223823188859	12.779468996105	1.63854966388309	-0.910046937810618	0.784938702845652	4.92695187460979	0.00991046680725944	0.00336598644303412
grey	MII	191	191	-3.7542391148772	-1.67336435817985	5.03580774411401	1.17595554114888	1.34136574416857	-0.733706642901511	0.533722631570443	2.67893452505682	0.0267845143439915	0.0056953013763645
leiden1	MII	209	209	-2.80766999046528	-2.1097623098302	3.11525917669359	0.8182387430013	1.10955318369782	0.294302150752327	0.394677006434841	1.61741074722312	0.0266797024154566	0.0181585728479747
leiden2	MII	213	213	-2.81039195300618	-2.61160967312465	1.74238300302822	0.5004535986019	0.619978647876661	0.347154513205535	-0.171449220964115	1.25062445470697	0.134639865310695	0.130387621831437
leiden3	MII	214	214	-2.69802693470008	-2.32422457649114	2.4984933499677	1.62911700693553	0.926044628329642	0.461261597773996	0.323803671700303	1.73425259300028	0.0753178364626221	0.0514243882422263
leiden4	MII	214	214	-3.07687629824853	-2.85216675393359	1.61916155905632	0.498172950555205	0.52623550708815	0.0824122342255492	-0.37539607633962	1.27262118620838	0.692125848403694	0.699180349199497
leiden5	MII	208	208	-3.52480308910756	-2.12893711547423	4.15059898314308	1.14606799593489	1.17754066772393	-0.4015730887162	0.229629788470781	2.12253572425444	0.0423337035139985	0.0171311551694564
leiden6	MII	160	160	-3.11691946884396	-1.0259379012682	4.95414370465129	1.23953841335156	1.58943590111064	-0.175838060129749	1.1566596859693	2.78437285755267	0.00991046680725944	0.00336598644303412
grey	SRPI	191	191	-1.47337651564505	-0.64069565767749	2.72465157053038	1.54089233534628	1.84925682037053	-0.275774015733043	0.269931630708907	1.50889260676175	0.0267845143439915	0.0056953013763645
leiden1	SRPI	209	209	-1.09728272448906	-0.877896885714492	1.62056201048657	0.729671639132564	1.47688647084202	0.144262111254847	0.221180027276848	0.849562931467783	0.0266797024154566	0.0181585728479747
leiden2	SRPI	213	213	-1.07164050886385	-0.941898244655725	1.0136837891394	0.217904100730172	0.945917759505102	0.175233287559843	0.0838195494219662	0.672617973318492	0.134639865310695	0.130387621831437
leiden3	SRPI	214	214	-0.378148963862475	-0.26171420231762	0.588843683773286	0.92733545086951	1.55717386544906	0.867026291474927	0.696172639578505	0.916428648891966	0.0753178364626221	0.0514243882422263
leiden4	SRPI	214	214	-0.757872479556312	-0.768798448231302	0.160792270849377	0.232509546453889	0.212162699117286	0.487302775781091	0.188231807018291	0.670322326539123	0.692125848403694	0.699180349199497
leiden5	SRPI	208	208	-0.510490158305404	-0.270179264344813	1.38137541080698	1.02857645217695	2.70597853520334	0.705829543847426	0.90300494465397	1.23297086573299	0.0423337035139985	0.0171311551694564
leiden6	SRPI	160	160	-4.19155051331214	-1.91387263065342	3.62777549760083	7.75152390923243	0.865497263143844	-2.82151000006594	-0.893522986353216	2.94315734978961	0.00991046680725944	0.00336598644303412
