taxon	n_samples_non_damaged	total_reads_non_damaged	has_comp	has_ko	oap_v3	n_classes	dominant_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	light_filter_rule
S__2004178001_1	55	43858	TRUE	TRUE	20.4444444444444	4	O2	0.25	1	0.5	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000116_29	4	976	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000116_5	10	2691	TRUE	TRUE	666.666666666667	2	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000119_8	1	206	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000124_6	30	18125	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000124_8	12	2165	TRUE	FALSE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000136_7	1	196	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000144_1	1	210	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000146_15	2	964	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000169_14	6	814	TRUE	TRUE	712.727272727273	3	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000169_7	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000200_6	1	216	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000201_3	3	449	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000208_26	5	1862	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000212_12	14	10944	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000214_4	31	12578	TRUE	TRUE	347.428571428571	3	NO3	0	0	0.333333333333333	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000226_10	3	440	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000324_13	1	281	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000792_9	6	781	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000980_9	2	1050	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001683_13	14	4787	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001683_29	1	117	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001683_37	10	29208	TRUE	TRUE	-28	2	ANX	0	0.666666666666667	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300001782_18	180	225006	TRUE	FALSE	-244	1	CH4	0	0	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300001782_26	166	1073856	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001782_31	66	46193	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001835_22	2	247	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300002037_4	2	2079	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300002039_13	1	172	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300002239_5	177	449501	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300002544_11	1	184	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300002922_2	6	2193	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300003129_2	31	24090	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300003894_27	3	407	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300004097_32	1	105	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300004264_4	5	3419	TRUE	TRUE	691.111111111111	2	O2	1	0	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300004626_1	6	4722	TRUE	TRUE	147.090909090909	3	NO3	0	1	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300004630_4	39	110639	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300004632_4	65	224083	TRUE	TRUE	691.111111111111	2	O2	1	0	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005043_11	1	485	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005043_6	7	1292	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005043_8	6	8214	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005056_12	17	15270	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_12	155	270132	TRUE	TRUE	-231.727272727273	2	SO4	0	0.333333333333333	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_14	3	254972	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_23	70	118674	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_25	196	2619122	TRUE	FALSE	-244	1	CH4	0	0	0.333333333333333	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_9	3	4184	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005286_44	1	222	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005288_13	1	222	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005290_8	3	324	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005294_6	2	334	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005345_16	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005391_1	33	8779	TRUE	TRUE	314.222222222222	3	NO3	0	0.666666666666667	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005470_5	1	9545	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005471_33	1	167	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005504_3	1	184	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_32	4	533	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_59	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_84	1	182	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_85	15	5879	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_87	4	752	TRUE	TRUE	129.2	2	NO3	0	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005562_4	1	150	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_10	166	208297	TRUE	TRUE	-244	1	CH4	0	0	0.333333333333333	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_11	52	30320	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_17	4	8758	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_18	29	8804	TRUE	TRUE	-217	1	SO4	0	1	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_22	3	10538	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_23	11	1461	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005645_11	1	129	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005645_33	7	3149	TRUE	FALSE	-244	1	CH4	0	0	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005838_27	1	132	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005838_5	2	434	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005858_26	1	102	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005983_14	5	7746	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
