index	nondmg_mean	nondmg_median	module	module_mean	module_median	diff_mean	abs_diff_mean
OAP	36.8356474365324	22.6881718875394	leiden1	513.404959588324	555.234673470536	476.569312151792	476.569312151792
OAP	36.8356474365324	22.6881718875394	leiden2	580.909767589484	582.436413038394	544.074120152952	544.074120152952
OAP	36.8356474365324	22.6881718875394	leiden3	448.987589687756	452.864786388547	412.151942251223	412.151942251223
OAP	36.8356474365324	22.6881718875394	leiden4	367.811994300405	375.569776139916	330.976346863873	330.976346863873
OAP	36.8356474365324	22.6881718875394	grey	420.475916773158	529.846146888568	383.640269336626	383.640269336626
OAP	36.8356474365324	22.6881718875394	leiden5	236.872659881771	277.782460158155	200.037012445239	200.037012445239
OAP	36.8356474365324	22.6881718875394	leiden6	532.361224945089	524.280579926786	495.525577508557	495.525577508557
MGI	-13.2606802326125	-13.8155105579643	leiden1	-13.22603020205	-13.8155105579643	0.0346500305624957	0.0346500305624957
MGI	-13.2606802326125	-13.8155105579643	leiden2	-13.8155105579643	-13.8155105579643	-0.554830325351865	0.554830325351865
MGI	-13.2606802326125	-13.8155105579643	leiden3	-13.8155105579643	-13.8155105579643	-0.554830325351865	0.554830325351865
MGI	-13.2606802326125	-13.8155105579643	leiden4	-13.8155105579643	-13.8155105579643	-0.554830325351865	0.554830325351865
MGI	-13.2606802326125	-13.8155105579643	grey	-13.7390104787812	-13.8155105579643	-0.478330246168792	0.478330246168792
MGI	-13.2606802326125	-13.8155105579643	leiden5	-12.2379955974426	-13.8155105579643	1.02268463516983	1.02268463516983
MGI	-13.2606802326125	-13.8155105579643	leiden6	-13.8155105579643	-13.8155105579643	-0.554830325351825	0.554830325351825
MFI	3.63436003594867	5.73382578186105	leiden1	-0.589480355914352	0	-4.22384039186302	4.22384039186302
MFI	3.63436003594867	5.73382578186105	leiden2	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	leiden3	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	leiden4	0	0	-3.63436003594867	3.63436003594867
MFI	3.63436003594867	5.73382578186105	grey	-0.0728710410767497	0	-3.70723107702542	3.70723107702542
MFI	3.63436003594867	5.73382578186105	leiden5	0.214572966195511	0	-3.41978706975316	3.41978706975316
MFI	3.63436003594867	5.73382578186105	leiden6	0	0	-3.63436003594867	3.63436003594867
DCI	-2.91358815945063	-2.12310099828207	leiden1	-3.12802196552811	-1.56040578350969	-0.214433806077479	0.214433806077479
DCI	-2.91358815945063	-2.12310099828207	leiden2	-1.22583637771972	-0.42793353008796	1.68775178173091	1.68775178173091
DCI	-2.91358815945063	-2.12310099828207	leiden3	-2.51750583372395	-0.790323611040127	0.396082325726674	0.396082325726674
DCI	-2.91358815945063	-2.12310099828207	leiden4	-2.62852511579953	-2.00195824737243	0.285063043651097	0.285063043651097
DCI	-2.91358815945063	-2.12310099828207	grey	-3.32408069991947	0	-0.410492540468842	0.410492540468842
DCI	-2.91358815945063	-2.12310099828207	leiden5	-6.28998848583715	-4.03710434340021	-3.37640032638652	3.37640032638652
DCI	-2.91358815945063	-2.12310099828207	leiden6	-4.41380471480454	-2.30728995622758	-1.50021655535392	1.50021655535392
MII	-1.22867872188267	-1.21847692669227	leiden1	-2.80766999046528	-2.1097623098302	-1.57899126858261	1.57899126858261
MII	-1.22867872188267	-1.21847692669227	leiden2	-2.81039195300618	-2.61160967312465	-1.58171323112351	1.58171323112351
MII	-1.22867872188267	-1.21847692669227	leiden3	-2.69802693470008	-2.32422457649114	-1.46934821281741	1.46934821281741
MII	-1.22867872188267	-1.21847692669227	leiden4	-3.07687629824853	-2.85216675393359	-1.84819757636586	1.84819757636586
MII	-1.22867872188267	-1.21847692669227	grey	-3.7542391148772	-1.67336435817985	-2.52556039299453	2.52556039299453
MII	-1.22867872188267	-1.21847692669227	leiden5	-3.52480308910756	-2.12893711547423	-2.29612436722489	2.29612436722489
MII	-1.22867872188267	-1.21847692669227	leiden6	-3.11691946884396	-1.0259379012682	-1.88824074696129	1.88824074696129
SRPI	-0.61365582365066	-0.576471927392136	leiden1	-1.09728272448906	-0.877896885714492	-0.483626900838404	0.483626900838404
SRPI	-0.61365582365066	-0.576471927392136	leiden2	-1.07164050886385	-0.941898244655725	-0.457984685213189	0.457984685213189
SRPI	-0.61365582365066	-0.576471927392136	leiden3	-0.378148963862475	-0.26171420231762	0.235506859788185	0.235506859788185
SRPI	-0.61365582365066	-0.576471927392136	leiden4	-0.757872479556311	-0.768798448231302	-0.144216655905651	0.144216655905651
SRPI	-0.61365582365066	-0.576471927392136	grey	-1.47337651564505	-0.64069565767749	-0.859720691994387	0.859720691994387
SRPI	-0.61365582365066	-0.576471927392136	leiden5	-0.510490158305404	-0.270179264344813	0.103165665345257	0.103165665345257
SRPI	-0.61365582365066	-0.576471927392136	leiden6	-4.19155051331214	-1.91387263065342	-3.57789468966148	3.57789468966148
