consensus_mode	k_neighbors	graph_symmetrization	min_module_size	merge_mode	merge_eigengene_cor	resolution	n_taxa	n_communities_raw	n_modules_non_grey	grey_size	grey_fraction	min_non_grey_size	median_non_grey_size	max_non_grey_size	largest_non_grey_fraction	graph_edges_nonzero	graph_edge_density	merge_steps	modularity	module_sizes_non_grey
dissimilarity	25	mutual	20	corr_0.95	0.95	1.6	1797	844	11	870	0.484140233722872	23	78	202	0.112409571508069	4571	0.00283261015327451	1	0.763797733133112	23,41,45,61,71,78,89,95,109,113,202
dissimilarity	25	mutual	20	none		1.6	1797	844	12	870	0.484140233722872	23	68	202	0.112409571508069	4571	0.00283261015327451	0	0.747042645897782	23,29,41,45,49,61,75,89,95,105,113,202
dissimilarity	25	mutual	30	corr_0.95	0.95	1.6	1797	844	11	870	0.484140233722872	32	71	202	0.112409571508069	4571	0.00283261015327451	1	0.763061125620285	32,41,45,61,69,71,89,95,109,113,202
dissimilarity	25	mutual	30	none		1.6	1797	844	10	922	0.51307735114079	41	80	202	0.112409571508069	4571	0.00283261015327451	0	0.734076876606371	41,45,49,61,71,89,95,109,113,202
dissimilarity	25	union	20	corr_0.95	0.95	1.6	1797	157	7	151	0.0840289371174179	141	208	382	0.212576516416249	36704	0.0227451592793235	0	0.551990928203807	141,150,198,208,273,294,382
dissimilarity	25	union	20	none		1.6	1797	156	7	150	0.0834724540901503	141	213	380	0.211463550361714	36704	0.0227451592793235	0	0.552569826482792	141,149,203,213,267,294,380
dissimilarity	25	union	30	corr_0.95	0.95	1.6	1797	156	8	149	0.0829159710628826	71	204	316	0.175848636616583	36704	0.0227451592793235	0	0.552288579033581	71,141,149,197,211,269,294,316
dissimilarity	25	union	30	none		1.6	1797	157	7	151	0.0840289371174179	141	211	379	0.210907067334446	36704	0.0227451592793235	0	0.55198767131024	141,150,198,211,273,294,379
dissimilarity	50	mutual	20	corr_0.95	0.95	1.6	1797	626	9	628	0.349471341124096	34	108	327	0.181969949916528	11232	0.00696037568181565	1	0.687012431482472	34,88,89,97,108,113,132,181,327
dissimilarity	50	mutual	20	none		1.6	1797	627	10	632	0.351697273233166	34	100.5	327	0.181969949916528	11232	0.00696037568181565	0	0.662838801302381	34,45,60,88,97,104,113,116,181,327
dissimilarity	50	mutual	30	corr_0.95	0.95	1.6	1797	627	9	632	0.351697273233166	34	105	327	0.181969949916528	11232	0.00696037568181565	1	0.687079150731768	34,88,97,104,105,113,116,181,327
dissimilarity	50	mutual	30	none		1.6	1797	626	10	628	0.349471341124096	34	106.5	269	0.149693934335003	11232	0.00696037568181565	0	0.663518129077097	34,48,60,89,97,116,136,142,178,269
dissimilarity	50	union	20	corr_0.95	0.95	1.6	1797	158	9	150	0.0834724540901503	34	139	401	0.223149693934335	71318	0.0441951631833804	0	0.450577166551485	34,46,89,137,139,161,275,365,401
dissimilarity	50	union	20	none		1.6	1797	158	9	150	0.0834724540901503	34	139	401	0.223149693934335	71318	0.0441951631833804	0	0.450577166551485	34,46,89,137,139,161,275,365,401
dissimilarity	50	union	30	corr_0.95	0.95	1.6	1797	156	8	155	0.0862548692264886	52	150.5	411	0.228714524207012	71318	0.0441951631833804	0	0.45507512981729	52,88,139,139,162,284,367,411
dissimilarity	50	union	30	none		1.6	1797	157	8	155	0.0862548692264886	51	151.5	425	0.236505286588759	71318	0.0441951631833804	0	0.45536126795144	51,87,139,141,162,284,353,425
dissimilarity	100	mutual	20	corr_0.95	0.95	1.6	1797	442	9	438	0.243739565943239	59	126	347	0.193099610461881	27852	0.0172596495272373	0	0.549320835977831	59,96,104,120,126,140,173,194,347
dissimilarity	100	mutual	20	none		1.6	1797	441	9	436	0.242626599888703	63	126	347	0.193099610461881	27852	0.0172596495272373	0	0.547001345126442	63,96,102,121,126,140,173,193,347
dissimilarity	100	mutual	30	corr_0.95	0.95	1.6	1797	443	9	443	0.246521981079577	58	125	368	0.204785754034502	27852	0.0172596495272373	0	0.54932475306486	58,59,104,120,125,148,173,199,368
dissimilarity	100	mutual	30	none		1.6	1797	441	8	438	0.243739565943239	59	149.5	346	0.192543127434613	27852	0.0172596495272373	0	0.549318262633957	59,104,120,126,173,194,237,346
dissimilarity	100	union	20	corr_0.95	0.95	1.6	1797	162	9	193	0.10740122426266	35	116	445	0.247634947134112	137248	0.0850514282031547	0	0.358107156368074	35,56,97,113,116,136,253,353,445
dissimilarity	100	union	20	none		1.6	1797	162	10	176	0.0979410127991096	31	113	445	0.247634947134112	137248	0.0850514282031547	0	0.356789667959645	31,37,41,97,110,116,136,254,354,445
dissimilarity	100	union	30	corr_0.95	0.95	1.6	1797	162	10	170	0.0946021146355036	30	114.5	445	0.247634947134112	137248	0.0850514282031547	0	0.357416859681917	30,35,42,98,113,116,136,254,358,445
dissimilarity	100	union	30	none		1.6	1797	162	10	169	0.094045631608236	31	114.5	445	0.247634947134112	137248	0.0850514282031547	0	0.357416855781872	31,35,42,98,113,116,136,254,358,445
