module	index	n	centered_mean	centered_median
leiden1	OAP	209	74.9561604733758	72.4866596328284
leiden2	OAP	213	143.512898280947	115.092331228903
leiden3	OAP	214	13.6607626347318	20.8434156129216
leiden4	OAP	214	-67.5148327526181	-67.617205812598
grey	OAP	188	-12.4619898764971	43.7119833326671
leiden5	OAP	208	-196.111416295932	-179.797872720618
leiden6	OAP	155	54.3529988308748	45.2570047309785
leiden1	MGI	209	0.255036520778809	0
leiden2	MGI	213	-0.314517160035882	0
leiden3	MGI	214	-0.326629726837983	0
leiden4	MGI	214	-0.326629726837983	0
grey	MGI	191	-0.289462023138034	0
leiden5	MGI	208	1.24146322233259	0
leiden6	MGI	160	-0.309062865589293	0
leiden1	MFI	209	-0.518741178644898	0
leiden2	MFI	213	0.056415543824218	0
leiden3	MFI	214	0.0690863927538122	0
leiden4	MFI	214	0.0690863927538122	0
grey	MFI	191	0.00453465551652672	0
leiden5	MFI	208	0.285652235663376	0
leiden6	MFI	160	0.0409352198872181	0
leiden1	DCI	209	0.140118797644231	1.13455040539809
leiden2	DCI	213	2.06786859059164	2.47761657235267
leiden3	DCI	214	0.760807989875677	1.54708207513618
leiden4	DCI	214	0.649788707800098	1.0591417033554
grey	DCI	191	-0.0233175780866114	1.36536380401664
leiden5	DCI	208	-2.98820848241365	-2.33724858822316
leiden6	DCI	160	-0.910046937810617	0.784938702845654
leiden1	MII	209	0.294302150752327	0.394677006434844
leiden2	MII	213	0.347154513205535	-0.171449220964119
leiden3	MII	214	0.461261597773997	0.323803671700305
leiden4	MII	214	0.0824122342255498	-0.375396076339618
grey	MII	191	-0.733706642901512	0.533722631570439
leiden5	MII	208	-0.401573088716201	0.229629788470782
leiden6	MII	160	-0.175838060129749	1.1566596859693
leiden1	SRPI	209	0.144262111254847	0.221180027276849
leiden2	SRPI	213	0.175233287559843	0.0838195494219667
leiden3	SRPI	214	0.867026291474928	0.696172639578505
leiden4	SRPI	214	0.487302775781091	0.188231807018291
grey	SRPI	191	-0.275774015733043	0.269931630708908
leiden5	SRPI	208	0.705829543847425	0.903004944653972
leiden6	SRPI	160	-2.82151000006594	-0.893522986353217
