sample	module	module_abundance	core	age_kyr	state	state_label	index	value
LV3003046936	leiden1	0.0675888164049875	ST8	22.905	3	IG-A	OAP	585.744176974282
LV3003046936	leiden2	0.226342027148859	ST8	22.905	3	IG-A	OAP	569.148991591895
LV3003046936	leiden3	0.0310325837344991	ST8	22.905	3	IG-A	OAP	591.509814338315
LV3003046936	leiden4	0.652404017895113	ST8	22.905	3	IG-A	OAP	445.915997694111
LV3003046936	grey	0.00475604725534557	ST8	22.905	3	IG-A	OAP	612.576030852464
LV3003046936	leiden5	0.0156151657679419	ST8	22.905	3	IG-A	OAP	239.905461718608
LV3003046936	leiden6	0.00226134179325361	ST8	22.905	3	IG-A	OAP	561.380159033207
LV3003046937	leiden1	0.0275715531018451	ST8	18.598	3	IG-A	OAP	488.906342386443
LV3003046937	leiden4	0.729887040534651	ST8	18.598	3	IG-A	OAP	387.676602885905
LV3003046937	leiden2	0.203187200348685	ST8	18.598	3	IG-A	OAP	563.899829905064
LV3003046937	leiden3	0.0212952201075113	ST8	18.598	3	IG-A	OAP	586.780395368073
LV3003046937	leiden5	0.0143959755920384	ST8	18.598	3	IG-A	OAP	234.10695098858
LV3003046937	leiden6	0.00240447479296818	ST8	18.598	3	IG-A	OAP	486.535387177352
LV3003046937	grey	0.00125853552230132	ST8	18.598	3	IG-A	OAP	534.450216450216
LV3003046938	leiden3	0.303806676365772	ST8	11.169	1	IG-D	OAP	698.787628123051
LV3003046938	leiden4	0.531410418974653	ST8	11.169	1	IG-D	OAP	565.209091697505
LV3003046938	leiden1	0.0339063813883958	ST8	11.169	1	IG-D	OAP	631.775889709045
LV3003046938	leiden2	0.0849094379412982	ST8	11.169	1	IG-D	OAP	576.311746309027
LV3003046938	leiden6	0.0190600766140334	ST8	11.169	1	IG-D	OAP	512.079364771525
LV3003046938	grey	0.0269070087158474	ST8	11.169	1	IG-D	OAP	632.315223133602
LV3003046939	leiden3	0.136189321809062	ST8	2.42	1	IG-D	OAP	610.970766523644
LV3003046939	leiden4	0.802420386438417	ST8	2.42	1	IG-D	OAP	349.530669872674
LV3003046939	leiden1	0.00662742083037104	ST8	2.42	1	IG-D	OAP	571.736332386694
LV3003046939	leiden2	0.0446195037030558	ST8	2.42	1	IG-D	OAP	569.788615616675
LV3003046939	leiden6	0.00229200770009359	ST8	2.42	1	IG-D	OAP	305.106817399365
LV3003046939	grey	0.00352318084631316	ST8	2.42	1	IG-D	OAP	479.59347826087
LV3003046939	leiden5	0.00432817867268749	ST8	2.42	1	IG-D	OAP	595.37707035405
LV3003046949	leiden1	0.064534801475789	ST8	22.3686666666667	3	IG-A	OAP	547.662684955354
LV3003046949	leiden2	0.194733038940185	ST8	22.3686666666667	3	IG-A	OAP	601.172499513802
LV3003046949	leiden3	0.0313815449905374	ST8	22.3686666666667	3	IG-A	OAP	572.466758482338
LV3003046949	leiden4	0.688840205692875	ST8	22.3686666666667	3	IG-A	OAP	353.090805937874
LV3003046949	grey	0.00224809313528703	ST8	22.3686666666667	3	IG-A	OAP	626.691757853865
LV3003046949	leiden5	0.0164454894764008	ST8	22.3686666666667	3	IG-A	OAP	255.449320277603
LV3003046949	leiden6	0.00181682628892585	ST8	22.3686666666667	3	IG-A	OAP	456.390138408305
LV3003046950	leiden1	0.057981312567371	ST8	18.099	3	IG-A	OAP	577.136855697143
LV3003046950	leiden2	0.244606698666357	ST8	18.099	3	IG-A	OAP	594.345058168757
LV3003046950	leiden4	0.631955219768268	ST8	18.099	3	IG-A	OAP	497.360700428235
LV3003046950	leiden6	0.0102875138367242	ST8	18.099	3	IG-A	OAP	572.474752834467
LV3003046950	leiden3	0.0302897373801824	ST8	18.099	3	IG-A	OAP	598.267124134487
LV3003046950	leiden5	0.0211224544052746	ST8	18.099	3	IG-A	OAP	433.516063670171
LV3003046950	grey	0.00375706337582235	ST8	18.099	3	IG-A	OAP	632.708431093731
LV3003046952	leiden3	0.303315248057641	ST8	10.26	1	IG-D	OAP	659.652135626963
LV3003046952	leiden4	0.563267502929815	ST8	10.26	1	IG-D	OAP	496.889824954128
LV3003046952	leiden2	0.0705169495203785	ST8	10.26	1	IG-D	OAP	588.850336905602
LV3003046952	leiden6	0.00727114892139416	ST8	10.26	1	IG-D	OAP	487.646377605484
LV3003046952	leiden1	0.0275897391379834	ST8	10.26	1	IG-D	OAP	622.484326233073
LV3003046952	grey	0.0278084986327532	ST8	10.26	1	IG-D	OAP	595.226910224994
LV3003046952	leiden5	0.000230912800034724	ST8	10.26	1	IG-D	OAP	405.2
LV3003046953	leiden1	0.0064390028429954	ST8	1.5215	1	IG-D	OAP	556.515251178181
LV3003046953	leiden3	0.0649280889399481	ST8	1.5215	1	IG-D	OAP	659.677527850865
LV3003046953	leiden4	0.874965462332129	ST8	1.5215	1	IG-D	OAP	406.427523947503
LV3003046953	leiden2	0.0373811177116432	ST8	1.5215	1	IG-D	OAP	526.943182433352
