state	sample	module	core	age_kyr	state_label	index	centered	state_label_ref	state_label_source
1	LV3003046938	leiden3	ST8	11.169	state_03	OAP	96.0411374990917	state_03	IG-D
1	LV3003046938	leiden4	ST8	11.169	state_03	OAP	-37.5373989264546	state_03	IG-D
1	LV3003046938	leiden1	ST8	11.169	state_03	OAP	29.029399085086	state_03	IG-D
1	LV3003046938	leiden2	ST8	11.169	state_03	OAP	-26.434744314932	state_03	IG-D
1	LV3003046938	leiden6	ST8	11.169	state_03	OAP	-90.6671258524341	state_03	IG-D
1	LV3003046938	grey	ST8	11.169	state_03	OAP	29.5687325096427	state_03	IG-D
1	LV3003046939	leiden3	ST8	2.42	state_03	OAP	113.527373607363	state_03	IG-D
1	LV3003046939	leiden4	ST8	2.42	state_03	OAP	-147.912723043608	state_03	IG-D
1	LV3003046939	leiden1	ST8	2.42	state_03	OAP	74.2929394704126	state_03	IG-D
1	LV3003046939	leiden2	ST8	2.42	state_03	OAP	72.3452227003929	state_03	IG-D
1	LV3003046939	leiden6	ST8	2.42	state_03	OAP	-192.336575516916	state_03	IG-D
1	LV3003046939	grey	ST8	2.42	state_03	OAP	-17.849914655412	state_03	IG-D
1	LV3003046939	leiden5	ST8	2.42	state_03	OAP	97.9336774377678	state_03	IG-D
1	LV3003046952	leiden3	ST8	10.26	state_03	OAP	108.802148262643	state_03	IG-D
1	LV3003046952	leiden4	ST8	10.26	state_03	OAP	-53.960162410193	state_03	IG-D
1	LV3003046952	leiden2	ST8	10.26	state_03	OAP	38.0003495412818	state_03	IG-D
1	LV3003046952	leiden6	ST8	10.26	state_03	OAP	-63.2036097588371	state_03	IG-D
1	LV3003046952	leiden1	ST8	10.26	state_03	OAP	71.634338868752	state_03	IG-D
1	LV3003046952	grey	ST8	10.26	state_03	OAP	44.3769228606739	state_03	IG-D
1	LV3003046952	leiden5	ST8	10.26	state_03	OAP	-145.649987364321	state_03	IG-D
1	LV3003046953	leiden1	ST8	1.5215	state_03	OAP	146.84497300678	state_03	IG-D
1	LV3003046953	leiden3	ST8	1.5215	state_03	OAP	250.007249679464	state_03	IG-D
1	LV3003046953	leiden4	ST8	1.5215	state_03	OAP	-3.24275422389803	state_03	IG-D
1	LV3003046953	leiden2	ST8	1.5215	state_03	OAP	117.272904261951	state_03	IG-D
1	LV3003046953	leiden5	ST8	1.5215	state_03	OAP	150.40262806295	state_03	IG-D
1	LV3003046953	grey	ST8	1.5215	state_03	OAP	-343.170278171401	state_03	IG-D
1	LV3003046953	leiden6	ST8	1.5215	state_03	OAP	-318.114722615846	state_03	IG-D
1	LV3003046980	leiden3	ST8	8.056	state_03	OAP	30.8764751923501	state_03	IG-D
1	LV3003046980	leiden4	ST8	8.056	state_03	OAP	-183.63726972149	state_03	IG-D
1	LV3003046980	grey	ST8	8.056	state_03	OAP	23.2744514203979	state_03	IG-D
1	LV3003046980	leiden2	ST8	8.056	state_03	OAP	-63.6242373758164	state_03	IG-D
