module	index	n	sd	iqr
leiden1	OAP	209	187.93818504633	113.199435424623
leiden2	OAP	213	49.2898521547524	46.973707958534
leiden3	OAP	214	157.91219331747	226.227818309221
leiden4	OAP	214	86.6265685572497	107.756188285859
grey	OAP	188	258.056022004954	362.680436117651
leiden5	OAP	208	240.718799832838	303.238149071921
leiden6	OAP	155	176.83994254844	247.355470199478
leiden1	MGI	209	2.51135234978462	0
leiden2	MGI	213	0	0
leiden3	MGI	214	0	0
leiden4	MGI	214	0	0
grey	MGI	191	1.05725212885465	0
leiden5	MGI	208	4.02228877392873	0
leiden6	MGI	160	0	0
leiden1	MFI	209	2.51135234978461	0
leiden2	MFI	213	0	0
leiden3	MFI	214	0	0
leiden4	MFI	214	0	0
grey	MFI	191	1.00709782438122	0
leiden5	MFI	208	4.02484357750139	0
leiden6	MFI	160	0	0
leiden1	DCI	209	5.03814476135816	2.60829543784566
leiden2	DCI	213	3.25038730711219	1.03966975303466
leiden3	DCI	214	5.13014625538062	2.51692756716519
leiden4	DCI	214	2.44753857785899	0.689025535591673
grey	DCI	191	7.14099047637059	12.082542323104
leiden5	DCI	208	6.72422319358444	12.1585247253671
leiden6	DCI	160	7.23223823188859	12.779468996105
leiden1	MII	209	3.11525917669359	0.8182387430013
leiden2	MII	213	1.74238300302822	0.5004535986019
leiden3	MII	214	2.4984933499677	1.62911700693553
leiden4	MII	214	1.61916155905632	0.498172950555205
grey	MII	191	5.03580774411401	1.17595554114888
leiden5	MII	208	4.15059898314308	1.14606799593489
leiden6	MII	160	4.95414370465129	1.23953841335156
leiden1	SRPI	209	1.62056201048657	0.729671639132564
leiden2	SRPI	213	1.0136837891394	0.217904100730172
leiden3	SRPI	214	0.588843683773286	0.92733545086951
leiden4	SRPI	214	0.160792270849377	0.232509546453889
grey	SRPI	191	2.72465157053038	1.54089233534628
leiden5	SRPI	208	1.38137541080698	1.02857645217695
leiden6	SRPI	160	3.62777549760083	7.75152390923243
