module	index	profile_mean
leiden1	OAP	513.404959588324
leiden2	OAP	580.909767589484
leiden3	OAP	448.987589687756
leiden4	OAP	367.811994300405
grey	OAP	420.475916773158
leiden5	OAP	236.872659881771
leiden6	OAP	532.361224945089
leiden1	MGI	-13.22603020205
leiden2	MGI	-13.8155105579643
leiden3	MGI	-13.8155105579643
leiden4	MGI	-13.8155105579643
grey	MGI	-13.7390104787812
leiden5	MGI	-12.2379955974426
leiden6	MGI	-13.8155105579643
leiden1	MFI	-0.589480355914352
leiden2	MFI	0
leiden3	MFI	0
leiden4	MFI	0
grey	MFI	-0.0728710410767497
leiden5	MFI	0.214572966195511
leiden6	MFI	0
leiden1	DCI	-3.12802196552811
leiden2	DCI	-1.22583637771972
leiden3	DCI	-2.51750583372395
leiden4	DCI	-2.62852511579953
grey	DCI	-3.32408069991947
leiden5	DCI	-6.28998848583715
leiden6	DCI	-4.41380471480454
leiden1	MII	-2.80766999046528
leiden2	MII	-2.81039195300618
leiden3	MII	-2.69802693470008
leiden4	MII	-3.07687629824853
grey	MII	-3.7542391148772
leiden5	MII	-3.52480308910756
leiden6	MII	-3.11691946884396
leiden1	SRPI	-1.09728272448906
leiden2	SRPI	-1.07164050886385
leiden3	SRPI	-0.378148963862475
leiden4	SRPI	-0.757872479556311
grey	SRPI	-1.47337651564505
leiden5	SRPI	-0.510490158305404
leiden6	SRPI	-4.19155051331214
non_damaged	OAP	36.8356474365324
non_damaged	MGI	-13.2606802326125
non_damaged	MFI	3.63436003594867
non_damaged	DCI	-2.91358815945063
non_damaged	MII	-1.22867872188267
non_damaged	SRPI	-0.61365582365066
