module	index	profile_mean	profile_mean_scaled_by_index
leiden1	OAP	513.404959588324	0.676042265543835
leiden2	OAP	580.909767589484	1.05258557102608
leiden3	OAP	448.987589687756	0.316720757771888
leiden4	OAP	367.811994300405	-0.136078500780444
grey	OAP	420.475916773158	0.157682018428952
leiden5	OAP	236.872659881771	-0.866460991443788
leiden6	OAP	532.361224945089	0.781780731119684
leiden1	MGI	-13.22603020205	0.430405945037823
leiden2	MGI	-13.8155105579643	-0.628112265549787
leiden3	MGI	-13.8155105579643	-0.628112265549787
leiden4	MGI	-13.8155105579643	-0.628112265549787
grey	MGI	-13.7390104787812	-0.49074258713004
leiden5	MGI	-12.2379955974426	2.20460013348625
leiden6	MGI	-13.8155105579643	-0.628112265549787
leiden1	MFI	-0.589480355914352	-0.744037494818943
leiden2	MFI	0	-0.300026429710921
leiden3	MFI	0	-0.300026429710921
leiden4	MFI	0	-0.300026429710921
grey	MFI	-0.0728710410767497	-0.3549146855101
leiden5	MFI	0.214572966195511	-0.138404807704404
leiden6	MFI	0	-0.300026429710921
leiden1	DCI	-3.12802196552811	0.118191136053546
leiden2	DCI	-1.22583637771972	1.38731527890367
leiden3	DCI	-2.51750583372395	0.525522979717045
leiden4	DCI	-2.62852511579953	0.451451736560197
grey	DCI	-3.32408069991947	-0.0126178001656575
leiden5	DCI	-6.28998848583715	-1.99144951916323
leiden6	DCI	-4.41380471480454	-0.739673595981898
leiden1	MII	-2.80766999046528	0.0914680173024056
leiden2	MII	-2.81039195300618	0.0878872609520827
leiden3	MII	-2.69802693470008	0.235704046381004
leiden4	MII	-3.07687629824853	-0.2626743272955
grey	MII	-3.7542391148772	-1.15374875270406
leiden5	MII	-3.52480308910756	-0.851924427819716
leiden6	MII	-3.11691946884396	-0.315351333404946
leiden1	SRPI	-1.09728272448906	0.132960927572084
leiden2	SRPI	-1.07164050886385	0.15369068631138
leiden3	SRPI	-0.378148963862475	0.714325251816185
leiden4	SRPI	-0.757872479556311	0.407348000590218
grey	SRPI	-1.47337651564505	-0.171081970590971
leiden5	SRPI	-0.510490158305404	0.607337576797376
leiden6	SRPI	-4.19155051331214	-2.36851654514736
non_damaged	OAP	36.8356474365324	-1.98227185166621
non_damaged	MGI	-13.2606802326125	0.368185570805104
non_damaged	MFI	3.63436003594867	2.43746270687713
non_damaged	DCI	-2.91358815945063	0.26125978407633
non_damaged	MII	-1.22867872188267	2.16863951658873
non_damaged	SRPI	-0.61365582365066	0.523936072651083
