state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV3003046938	ST8	11.169	state_03	OAP	607.693741600886	IG-D
1	LV3003046939	ST8	2.42	state_03	OAP	389.099400024553	IG-D
1	LV3003046952	ST8	10.26	state_03	OAP	551.43528237159	IG-D
1	LV3003046953	ST8	1.5215	state_03	OAP	424.49313716964	IG-D
1	LV3003046980	ST8	8.056	state_03	OAP	460.263869571698	IG-D
1	LV3003046995	ST8	6.9705	state_03	OAP	559.354055607435	IG-D
1	LV3003047010	ST8	13.676	state_03	OAP	516.707014604613	IG-D
1	LV3003047013	ST8	5.885	state_03	OAP	419.008808483511	IG-D
1	LV3003047027	ST8	12.877	state_03	OAP	521.795945413989	IG-D
1	LV3003047045	ST8	3.5865	state_03	OAP	454.440604555781	IG-D
1	LV3003047079	ST8	97.52	state_03	OAP	327.01117449895	IG-D
1	LV3003047080	ST8	87.9935	state_03	OAP	313.194096487445	IG-D
1	LV3003047091	ST8	89.37525	state_03	OAP	292.079464207685	IG-D
1	LV3003047093	ST8	79.675	state_03	OAP	324.334613645776	IG-D
1	LV3003047100	ST8	86.61175	state_03	OAP	340.072849870635	IG-D
1	LV3003047101	ST8	85.23	state_03	OAP	323.075455038573	IG-D
1	LV3003047107	ST8	71.517	state_03	OAP	384.650280403938	IG-D
1	LV3003047133	ST8	70.162	state_03	OAP	386.981650883803	IG-D
1	LV3003047134	ST8	68.807	state_03	OAP	445.3794867068	IG-D
1	LV3003047136	ST8	67.8766	state_03	OAP	487.659327438098	IG-D
1	LV3003047137	ST8	66.9462	state_03	OAP	350.186582264386	IG-D
1	LV3003047138	ST8	66.0158	state_03	OAP	402.316815378645	IG-D
1	LV3003061474	ST13	77.7798	state_03	OAP	371.492362866315	IG-D
1	LV3003061485	ST13	75.7796	state_03	OAP	397.801593336116	IG-D
1	LV3003061500	ST13	148.086	state_03	OAP	329.112060298764	IG-D
1	LV3003061501	ST13	105.5872	state_03	OAP	318.470423909618	IG-D
1	LV3003061503	ST13	73.1472	state_03	OAP	360.643304851247	IG-D
1	LV3003061514	ST13	100.6726	state_03	OAP	424.836614793754	IG-D
1	LV3003061515	ST13	71.0012	state_03	OAP	448.708525170168	IG-D
1	LV3003061528	ST13	95.118	state_03	OAP	416.588321315107	IG-D
1	LV3003061529	ST13	66.015	state_03	OAP	435.12230657637	IG-D
1	LV3003061541	ST13	91.09	state_03	OAP	338.175668962721	IG-D
1	LV3003061543	ST13	62.293	state_03	OAP	500.736876710928	IG-D
1	LV3003061556	ST13	86.6174	state_03	OAP	331.999238037148	IG-D
1	LV3003061557	ST13	58.082	state_03	OAP	430.159187936307	IG-D
1	LV3003061569	ST13	81.6946	state_03	OAP	377.410800315856	IG-D
1	LV7001898088	ST13	6.031	state_03	OAP	277.926510520608	IG-D
1	LV7001898100	ST13	5.659	state_03	OAP	313.393112603492	IG-D
1	LV7008886229	GeoB25202_R2	68.149	state_03	OAP	368.486495262843	IG-D
1	LV7008886695	GeoB25202_R1	95.3875	state_03	OAP	344.166371159031	IG-D
1	LV7008886706	GeoB25202_R1	79.0255	state_03	OAP	384.838540741302	IG-D
1	LV7008886707	GeoB25202_R2	95.3875	state_03	OAP	337.306642306539	IG-D
1	LV7008886708	GeoB25202_R1	109.6305	state_03	OAP	348.948227406646	IG-D
1	LV7008886714	GeoB25202_R1	0.692	state_03	OAP	348.48402345807	IG-D
1	LV7008886718	GeoB25202_R2	79.0255	state_03	OAP	394.263134399443	IG-D
1	LV7008886719	GeoB25202_R1	87.2825	state_03	OAP	356.641515442499	IG-D
1	LV7008886720	GeoB25202_R2	109.6305	state_03	OAP	281.986246749135	IG-D
1	LV7008886726	GeoB25202_R2	0.692	state_03	OAP	358.591832158161	IG-D
