state	state_label	n_samples	mean_age_kyr	module	eigengene_mean
1	state_03	60	66.21182	MEleiden6	-0.420869782019369
2	state_05	39	89.884882991453	MEleiden6	-0.217107418303882
3	state_01	32	15.72425	MEleiden6	-0.211134387203183
4	state_02	48	60.5127021751701	MEleiden6	-0.380738438627713
5	state_04	35	31.8601088571429	MEleiden6	0.881093443396872
1	state_03	60	66.21182	MEleiden5	-0.295973537395619
2	state_05	39	89.884882991453	MEleiden5	-0.18293766251404
3	state_01	32	15.72425	MEleiden5	1.71891224711408
4	state_02	48	60.5127021751701	MEleiden5	-0.381934233691067
5	state_04	35	31.8601088571429	MEleiden5	-0.228322127905948
1	state_03	60	66.21182	MEleiden3	1.9510534835889
2	state_05	39	89.884882991453	MEleiden3	-0.490332743737448
3	state_01	32	15.72425	MEleiden3	0.0567135980738501
4	state_02	48	60.5127021751701	MEleiden3	-0.748179515857356
5	state_04	35	31.8601088571429	MEleiden3	-0.444986634251877
1	state_03	60	66.21182	MEleiden1	-0.453504313110123
2	state_05	39	89.884882991453	MEleiden1	-0.411685889253291
3	state_01	32	15.72425	MEleiden1	1.31711786572604
4	state_02	48	60.5127021751701	MEleiden1	-0.784977751982659
5	state_04	35	31.8601088571429	MEleiden1	-0.0818447483136892
1	state_03	60	66.21182	MEleiden2	-0.0265027071562449
2	state_05	39	89.884882991453	MEleiden2	-0.779829463748062
3	state_01	32	15.72425	MEleiden2	0.439525183805106
4	state_02	48	60.5127021751701	MEleiden2	-0.726049589778271
5	state_04	35	31.8601088571429	MEleiden2	0.554422285988659
1	state_03	60	66.21182	MEleiden4	1.69026159985827
2	state_05	39	89.884882991453	MEleiden4	-1.25147138690826
3	state_01	32	15.72425	MEleiden4	0.492630949446241
4	state_02	48	60.5127021751701	MEleiden4	-0.0919558233866277
5	state_04	35	31.8601088571429	MEleiden4	0.484208453945152
