state	state_label	n_samples	mean_age_kyr	module	eigengene_mean	eigengene_z_by_module
1	state_03	60	66.21182	MEleiden6	-0.420869782019369	-0.650385031808304
2	state_05	39	89.884882991453	MEleiden6	-0.217107418303882	-0.272951189843241
3	state_01	32	15.72425	MEleiden6	-0.211134387203183	-0.2618872031707
4	state_02	48	60.5127021751701	MEleiden6	-0.380738438627713	-0.57604879599254
5	state_04	35	31.8601088571429	MEleiden6	0.881093443396872	1.76127222081478
1	state_03	60	66.21182	MEleiden5	-0.295973537395619	-0.472135865600682
2	state_05	39	89.884882991453	MEleiden5	-0.18293766251404	-0.345647484785638
3	state_01	32	15.72425	MEleiden5	1.71891224711408	1.78254337386098
4	state_02	48	60.5127021751701	MEleiden5	-0.381934233691067	-0.568326825325071
5	state_04	35	31.8601088571429	MEleiden5	-0.228322127905948	-0.396433198149585
1	state_03	60	66.21182	MEleiden3	1.9510534835889	1.72419198485867
2	state_05	39	89.884882991453	MEleiden3	-0.490332743737448	-0.507500788295714
3	state_01	32	15.72425	MEleiden3	0.0567135980738501	-0.00744088219154846
4	state_02	48	60.5127021751701	MEleiden3	-0.748179515857356	-0.743200806375755
5	state_04	35	31.8601088571429	MEleiden3	-0.444986634251877	-0.466049507995652
1	state_03	60	66.21182	MEleiden1	-0.453504313110123	-0.45112177204001
2	state_05	39	89.884882991453	MEleiden1	-0.411685889253291	-0.400207032489916
3	state_01	32	15.72425	MEleiden1	1.31711786572604	1.70464496335154
4	state_02	48	60.5127021751701	MEleiden1	-0.784977751982659	-0.854697092471698
5	state_04	35	31.8601088571429	MEleiden1	-0.0818447483136892	0.00138093365008355
1	state_03	60	66.21182	MEleiden2	-0.0265027071562449	0.129231839302874
2	state_05	39	89.884882991453	MEleiden2	-0.779829463748062	-1.06994067313278
3	state_01	32	15.72425	MEleiden2	0.439525183805106	0.871071727477745
4	state_02	48	60.5127021751701	MEleiden2	-0.726049589778271	-0.984331943557586
5	state_04	35	31.8601088571429	MEleiden2	0.554422285988659	1.05396904990975
1	state_03	60	66.21182	MEleiden4	1.69026159985827	1.33537109179024
2	state_05	39	89.884882991453	MEleiden4	-1.25147138690826	-1.42031549128488
3	state_01	32	15.72425	MEleiden4	0.492630949446241	0.213483167336723
4	state_02	48	60.5127021751701	MEleiden4	-0.0919558233866277	-0.334132110387519
5	state_04	35	31.8601088571429	MEleiden4	0.484208453945152	0.205593342545428
