core	depth_in_core_cm	sst_uk37_alkenone	sst_mgca_jonkers_2013	sst_mgca_kozdon_2009
GeoB25202	4	8.831291127		
GeoB25202	20	6.93227481		
GeoB25202	38	6.109399127		
GeoB25202	59	7.286634366		
GeoB25202	84	7.830505672		
GeoB25202	105	9.318222193		
GeoB25202	119	8.259509454		
GeoB25202	129	9.121562342		
GeoB25202	139	6.20102286		
GeoB25202	149	6.8903727		
GeoB25202	155	10.21686064		
GeoB25202	159	7.833556797		
GeoB25202	167	7.845338423		
GeoB25202	173	10.80616448		
GeoB25202	179	7.81327751		
GeoB25202	185	8.600178644		
GeoB25202	189	7.747830602		
GeoB25202	195	8.84354929		
GeoB25202	201	6.337448405		
GeoB25202	205	7.563641638		
GeoB25202	209	8.413840965		
GeoB25202	213	10.2948054		
GeoB25202	223	15.12536961		
GeoB25202	227	15.22433662		
GeoB25202	240	10.64987514		
GeoB25202	249	9.229320302		
GeoB25202	258	11.58642549		
GeoB25202	273	10.43316246		
GeoB25202	283	10.28225648		
GeoB25202	297	6.707178266		
GeoB25202	311	7.379361388		
GeoB25202	327	8.258472961		
GeoB25202	365	8.7975712		
GeoB25202	373	7.738644236		
GeoB25202	384	6.013765575		
GeoB25202	389	9.952781421		
GeoB25202	393	8.387241278		
GeoB25202	396	11.06739943		
GeoB25202	409	9.057360414		
GeoB25202	439	5.235071614		
GeoB25202	459	6.64451116		
GeoB25202	476	5.728346123		
GeoB25202	483	6.791436888		
GeoB25202	488	5.322223309		
GeoB25202	500	5.305679251		
GeoB25202	510	8.228129213		
GeoB25202	515	8.743267113		
GeoB25202	524	8.388550323		
GeoB25202	531	8.336132222		
GeoB25202	545	6.832242159		
GeoB25202	549	6.143158908		
GeoB25202	560	9.387765478		
GeoB25202	575	9.568432086		
GeoB25202	592	5.645231182		
GeoB25202	610	5.695272697		
GeoB25202	625	6.461588632		
GeoB25202	645	12.14773098		
GeoB25202	651	13.76418648		
GeoB25202	657	8.00437637		
GeoB25202	664	9.922444218		
GeoB25202	675	9.013324262		
GeoB25202	690	14.04999557		
GeoB25202	705	6.535502252		
GeoB25202	717	8.25270819		
GeoB25202	731	4.512888245		
GeoB25202	743	7.255417763		
GeoB25202	761	5.645231182		
GeoB25202	775	7.044339901		
GeoB25202	784	5.881489184		
GeoB25202	787	7.866499376		
GeoB25202	790	8.216622327		
GeoB25202	795	8.403824256		
GeoB25202	799	8.886315149		
GeoB25202	804	10.05422553		
GeoB25202	810	8.175001344		
GeoB25202	815	10.16636961		
GeoB25202	820	7.624699117		
GeoB25202	825	10.44658881		
GeoB25202	830	6.307043224		
GeoB25202	835	5.576732866		
GeoB25202	840	4.291444179		
GeoB25202	850	2.530570386		
GeoB25202	854	9.590176652		
GeoB25202	860	9.36324922		
GeoB25202	865	6.377817226		
GeoB25202	870	7.641146798		
GeoB25202	875	10.4149811		
GeoB25202	880	5.602673687		
GeoB25202	885	8.803175506		
GeoB25202	890	10.63084953		
GeoB25202	895	7.704905175		
GeoB25202	900	6.704349551		
GeoB25202	905	9.470477931		
GeoB25202	909	11.99843565		
GeoB25202	912	14.02540733		
GeoB25202	915	5.075279551		
ST13	5			
ST13	76		6.67825064126309	5.726243638
ST13	96		5.79476873023177	5.082777308
ST13	116			
ST13	136		8.05083143634111	6.833169646
ST13	141			
