core	depth_in_core_cm	y_bp	d13c_per_mil	toc_percent_weight	sum_expandable_clays	sum_illites_micas	sum_montmorillonites_smectites	sum_greenland	sum_iceland	ratio_greenland_to_iceland
GeoB25202	4	644	-19.777	0.198185008686513	0	7.01	0	12.91	12.36	1.04449838187702
GeoB25202	20	2277	-24.6375	0.0315287728143798	1.05	4.19	1.05	9.82	69.54	0.141213689962611
GeoB25202	38	6890	-24.887	0.0269851948023608	2.93	15.11	2.93	7.55	64.57	0.116927365649683
GeoB25202	59	16154	-21.894	0.151178011341747	12.2	8.47	1.13	13.13	42.84	0.306489262371615
GeoB25202	84	27488			0	27.97	0	21.57	24.45	0.882208588957055
GeoB25202	94	31937	-22.8675	0.0597565605132988						
GeoB25202	105	36392	-22.921	0.104631465660131	6.2	15.99	0	41.12	11.56	3.55709342560554
GeoB25202	119	42867	-21.127	0.0943326986584517	11.94	12.02	7.9	21.95	26.28	0.835235920852359
GeoB25202	129	50162	-23.9335	0.0934345808485284	4.66	15.11	1.19	21.33	24.66	0.864963503649635
GeoB25202	139	53700	-23.723	0.100203227683141	5.89	11.93	1.77	22.77	27.5	0.828
GeoB25202	149	57963	-23.8235	0.0810211455124846	2.4	9.75	2.4	22.56	27.09	0.832779623477298
GeoB25202	155	58903			4.3	2.4	4.3	13.93	19.48	0.715092402464066
GeoB25202	159	59650	-23.315	0.0639601364385049	0	6.31	0	24.93	25.24	0.987717908082409
GeoB25202	167	67809	-20.8035	0.0686240985007434	0.69	3.65	0.69	14.93	13.96	1.06948424068768
GeoB25202	173	71576	-21.787	0.0786315854962108	1.86	5.57	0	15.29	11.41	1.34005258545136
GeoB25202	179	75087	-22.268	0.072552281408969	3.42	2.8	0	9.37	7.38	1.26964769647696
GeoB25202	185	78698	-23.16975	0.0961191781825789	0	0.9	0	9.34	10.99	0.849863512283894
GeoB25202	189	81320	-21.488	0.072023996276187	0	1.85	0	11.2	4.28	2.61682242990654
GeoB25202	195	86636			3.1	8.94	0	11.16	25.11	0.444444444444444
GeoB25202	201	94575			4.08	6.54	4.08	9.16	10.41	0.879923150816523
GeoB25202	203	97968	-21.581	0.0450501947642456						
GeoB25202	205	101906	-21.0425	0.0576435602307938						
GeoB25202	209	105208	-23.856	0.0460645411539389	0	2.17	0	12.09	21.23	0.569477154969383
GeoB25202	213	109192	-23.837	0.0506635797277444	0	4.31	0	10.42	8.46	1.23167848699764
GeoB25202	223	119761			8.25	30.88	4.53	23.15	11	2.10454545454545
GeoB25202	225	120799	-22.7995	0.0816415709681304						
GeoB25202	227	122621	-23.4485	0.0956854336675612	10.2	21	5.67	30.05	16.49	1.82231655548817
GeoB25202	240	135859	-22.328	0.0765219642616083	9.38	10.07	7.01	22.67	25.24	0.898177496038035
GeoB25202	249	146733	-22.261	0.090300036630291	6.63	11.47	6.25	24.49	31.53	0.776720583571202
GeoB25202	258	156248			1.23	32.44	1.05	22.61	19.62	1.15239551478084
GeoB25202	259	157306	-23.4535	0.0963669076737892						
GeoB25202	273	183971	-23.1895	0.0993432939542227	5.75	25.35	1.98	29.51	20.35	1.45012285012285
GeoB25202	279	189635	-22.101	0.0918993190385297						
GeoB25202	283	191267	-23.23	0.0908771818722434	5.89	26.45	3.88	25.14	20.45	1.22933985330073
GeoB25202	297	197674			3.23	19.28	3.23	13.22	33.72	0.392052194543298
GeoB25202	311	201225	-21.201	0.0761706778121091	3.24	13.94	3.24	12.93	34.72	0.372407834101383
GeoB25202	327	205482	-23.534	0.120319509571714	1.92	15.74	1.92	18.33	35.48	0.51662908680947
GeoB25202	365	215803	-24.1885	0.0755891659732957	1.07	24.56	1.07	20.86	19.22	1.08532778355879
GeoB25202	373	217722	-22.803	0.0748652556665551	1.08	13.41	1.08	21.6	24.7	0.874493927125506
GeoB25202	384	226082	-22.3695	0.0657152634019473	2.03	13.99	2.03	11.39	31.7	0.359305993690852
GeoB25202	386	228273	-24.67	0.0507423284826136						
GeoB25202	389	231392			3.34	15.29	3.34	16.04	26.58	0.603461249059443
GeoB25202	393	234517	-24.346	0.0425346441365136	0	5.26	0	28.83	14.27	2.02032235459005
GeoB25202	396	236669	-23.1155	0.0607673963003065	0	22.18	0	24.05	24.93	0.96470116325712
GeoB25202	410	245917	-22.7105	0.0893051610250377	12.63	19.01	0.9	24.09	21.39	1.12622720897616
GeoB25202	430	254026			15.61	15.92	3.7	25.25	34.66	0.728505481823428
GeoB25202	439	257793	-23.156	0.101564843245506						
GeoB25202	459	266054	-24.367	0.0701448927984273	0	6.69	0	31.12	26.42	1.1778955336866
GeoB25202	470	270542			4.95	20.48	2.09	19.44	26.92	0.722139673105498
GeoB25202	476	272873	-24.028	0.0930087328381863						
GeoB25202	483	276142	-22.0355	0.0755033097897609	5.07	18.89	0	18.14	20.33	0.892277422528283
GeoB25202	488	279168	-22.57	0.0573449858911693	0	16.55	0	12.69	12.41	1.02256244963739
