label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst
LV7001897505	ST5	NA	1.5	508.5	76.44	NA	NA	3.23	57117976	74.1	50924488	74.8	NA
LV3003046968	ST8	NA	5	623	112.26	NA	NA	3.23	138861726	87.5	131384421	87.8	NA
LV7008886714	GeoB25202_R1	NA	4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375
LV7008886726	GeoB25202_R2	NA	4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375
LV7001897493	ST5	NA	6.5	972	70.54	NA	NA	3.23	111285010	71.7	81961541	72	8.452395200312278
LV3003046953	ST8	NA	10	1521.5	82.74	NA	NA	3.203925	268907517	82.4	244179416	82.6	7.825275054253641
LV7001897481	ST5	NA	11.5	2157	123.62	NA	NA	3.19727	92002899	69.9	81221335	70.5	7.10000689625498
LV7008886690	GeoB25202_R1	NA	20.5	2324	49.49	6.9094171521388885	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.9094171521388885
LV7008886702	GeoB25202_R2	NA	20.5	2324	70.74	6.9094171521388885	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.9094171521388885
LV3003046939	ST8	NA	15	2420	137.77	NA	NA	3.2262	174832149	79.3	145219212	79.8	6.894007877368142
LV3003047045	ST8	NA	20	3586.5	111.57	NA	NA	3.295865	151675055	80.4	128523596	81.5	6.706769137575687
LV7001897469	ST5	NA	16.5	3687	97.69	NA	NA	3.2968699999999997	137766038	63.2	79879723	65.2	6.690637553050062
LV3003047028	ST8	NA	25	4753	124.79	NA	NA	3.2698799999999997	3059207	78.3	2878411	79.3	6.519530397783233
LV7001897566	ST5	NA	21.5	5160	45.79	NA	NA	3.2712	82638713	68.4	58575207	69.2	6.454201493286422
LV7001898100	ST13	NA	5	5659	187.66	NA	NA	3.30613	172884713	66.3	153315655	67.1	6.374105367134313
LV3003047013	ST8	NA	30	5885	131.96	6.214970354492519	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.337829366111515
LV7001898088	ST13	NA	10	6031	202.91	NA	NA	3.33124	117014401	60.1	89334062	61.3	6.314394427397671
