source	method_family	setting_id	comparison_id	module	module_type	n_taxa	pct_taxa
original	original_best	exp3	exp3	blue	biological	202	11.2409571508069
original	original_best	exp3	exp3	turquoise	biological	483	26.8781302170284
original	original_best	exp3	exp3	yellow	biological	119	6.62214802448525
original	original_best	exp3	exp3	grey	technical	515	28.6588759042849
original	original_best	exp3	exp3	red	biological	105	5.84307178631052
original	original_best	exp3	exp3	green	biological	107	5.95436839176405
original	original_best	exp3	exp3	brown	biological	148	8.23594880356149
original	original_best	exp3	exp3	black	biological	74	4.11797440178075
original	original_best	exp3	exp3	pink	biological	44	2.44852531997774
original	original_candidates	exp4	exp4	brown	biological	202	11.2409571508069
original	original_candidates	exp4	exp4	blue	biological	230	12.7991096271564
original	original_candidates	exp4	exp4	green	biological	119	6.62214802448525
original	original_candidates	exp4	exp4	grey	technical	515	28.6588759042849
original	original_candidates	exp4	exp4	black	biological	105	5.84307178631052
original	original_candidates	exp4	exp4	turquoise	biological	253	14.079020589872
original	original_candidates	exp4	exp4	red	biological	107	5.95436839176405
original	original_candidates	exp4	exp4	yellow	biological	148	8.23594880356149
original	original_candidates	exp4	exp4	pink	biological	74	4.11797440178075
original	original_candidates	exp4	exp4	magenta	biological	44	2.44852531997774
original	original_candidates	opt5	opt5	turquoise	biological	338	18.8091263216472
original	original_candidates	opt5	opt5	blue	biological	320	17.8074568725654
original	original_candidates	opt5	opt5	yellow	biological	161	8.95937673900946
original	original_candidates	opt5	opt5	grey	technical	612	34.0567612687813
original	original_candidates	opt5	opt5	brown	biological	259	14.4129104062326
original	original_candidates	opt5	opt5	green	biological	107	5.95436839176405
original	original_candidates	exp1	exp1	blue	biological	334	18.5865331107401
original	original_candidates	exp1	exp1	turquoise	biological	484	26.9337785197552
original	original_candidates	exp1	exp1	brown	biological	119	6.62214802448525
original	original_candidates	exp1	exp1	grey	technical	597	33.2220367278798
original	original_candidates	exp1	exp1	yellow	biological	112	6.23260990539789
original	original_candidates	exp1	exp1	green	biological	107	5.95436839176405
original	original_candidates	exp1	exp1	red	biological	44	2.44852531997774
original	original_candidates	opt3	opt3	turquoise	biological	338	18.8091263216472
original	original_candidates	opt3	opt3	blue	biological	320	17.8074568725654
original	original_candidates	opt3	opt3	yellow	biological	161	8.95937673900946
original	original_candidates	opt3	opt3	grey	technical	612	34.0567612687813
original	original_candidates	opt3	opt3	brown	biological	259	14.4129104062326
original	original_candidates	opt3	opt3	green	biological	107	5.95436839176405
original	original_candidates	opt4	opt4	turquoise	biological	338	18.8091263216472
original	original_candidates	opt4	opt4	blue	biological	320	17.8074568725654
original	original_candidates	opt4	opt4	yellow	biological	161	8.95937673900946
original	original_candidates	opt4	opt4	grey	technical	612	34.0567612687813
original	original_candidates	opt4	opt4	brown	biological	259	14.4129104062326
