module	n	jaccard_median	jaccard_p05	jaccard_p95	source	method_family	setting_id	comparison_id
black	120	0.455128205128205	0.00423597678916828	0.693332853855006	original	original_best	exp3	exp3
blue	120	0.289292795769993	0.166628264208909	0.437482482482482	original	original_best	exp3	exp3
brown	120	0.385671358815218	0.0471101713294296	0.602339870022987	original	original_best	exp3	exp3
green	120	0.559390278976129	0.261102693602694	0.770154667942279	original	original_best	exp3	exp3
pink	120	0.32	0.0203568596352102	0.541789215686275	original	original_best	exp3	exp3
red	120	0.219991971095945	0.110984126984127	0.397639751552795	original	original_best	exp3	exp3
turquoise	120	0.547650261606964	0.301426805310933	0.733527354086929	original	original_best	exp3	exp3
yellow	120	0.425587551652893	0.247865957205932	0.566931332556333	original	original_best	exp3	exp3
black	120	0.231406218248324	0.136752136752137	0.394328331142041	original	original_candidates	exp4	exp4
blue	120	0.28893815915628	0.179878504672897	0.426446245733788	original	original_candidates	exp4	exp4
brown	120	0.265620328849028	0.154821987480438	0.413815045248869	original	original_candidates	exp4	exp4
green	120	0.395927752599307	0.24463653229887	0.550459082901831	original	original_candidates	exp4	exp4
magenta	120	0.32	0.0208225945017182	0.544362745098039	original	original_candidates	exp4	exp4
pink	120	0.455128205128205	0.00654609929078014	0.693332853855006	original	original_candidates	exp4	exp4
red	120	0.548249326664102	0.261102693602694	0.770154667942279	original	original_candidates	exp4	exp4
turquoise	120	0.488759625041848	0.256207470880223	0.674717837260734	original	original_candidates	exp4	exp4
yellow	120	0.403512037726483	0.0471101713294296	0.610824627341063	original	original_candidates	exp4	exp4
blue	120	0.333761782347901	0.208062295443102	0.450614261514883	original	original_candidates	opt5	opt5
brown	120	0.43128390596745	0.257569366982711	0.659781420765027	original	original_candidates	opt5	opt5
green	120	0.548249326664102	0.254453457882661	0.770605118392729	original	original_candidates	opt5	opt5
turquoise	120	0.344884887052709	0.0379764172851442	0.69131889915815	original	original_candidates	opt5	opt5
yellow	120	0.314761934322428	0.0232261677317346	0.667796610169491	original	original_candidates	opt5	opt5
blue	120	0.36825584374911	0.0642121320890165	0.695156453715776	original	original_candidates	exp1	exp1
brown	120	0.432239690134427	0.0288446430990112	0.591902712713803	original	original_candidates	exp1	exp1
green	120	0.662769230769231	0.300528440366973	0.795498809023399	original	original_candidates	exp1	exp1
red	120	0.14974860714771	0	0.52042957042957	original	original_candidates	exp1	exp1
turquoise	120	0.549212598425197	0.317254018336723	0.70912388744377	original	original_candidates	exp1	exp1
yellow	120	0.175308844654217	0.0765855148342059	0.362618243243243	original	original_candidates	exp1	exp1
blue	120	0.336198311322797	0.195175577627501	0.451429760715475	original	original_candidates	opt3	opt3
brown	120	0.420452367260878	0.253189886529498	0.656336522801303	original	original_candidates	opt3	opt3
green	120	0.543478260869565	0.254453457882661	0.76926480599047	original	original_candidates	opt3	opt3
turquoise	120	0.344884887052709	0.0379764172851442	0.67794845536781	original	original_candidates	opt3	opt3
yellow	120	0.314761934322428	0.0241634475062237	0.667796610169491	original	original_candidates	opt3	opt3
blue	120	0.339082044776211	0.202252959361835	0.469099813432836	original	original_candidates	opt4	opt4
brown	120	0.420452367260878	0.257569366982711	0.672309318097362	original	original_candidates	opt4	opt4
green	120	0.662769230769231	0.291281700515627	0.795498809023399	original	original_candidates	opt4	opt4
turquoise	120	0.368087799493695	0.0360027229802149	0.689006656426011	original	original_candidates	opt4	opt4
yellow	120	0.101282051282051	0.0185771102121146	0.701337209302325	original	original_candidates	opt4	opt4
blue	120	0.341184649042099	0.202252959361835	0.469099813432836	original	original_candidates	opt2	opt2
brown	120	0.416149275769934	0.257569366982711	0.672309318097362	original	original_candidates	opt2	opt2
green	120	0.662769230769231	0.291281700515627	0.795498809023399	original	original_candidates	opt2	opt2
turquoise	120	0.368087799493695	0.0360027229802149	0.689006656426011	original	original_candidates	opt2	opt2
yellow	120	0.101282051282051	0.0185771102121146	0.701337209302325	original	original_candidates	opt2	opt2
blue	120	0.332960500296619	0.193050595238095	0.451429760715475	original	original_candidates	opt1	opt1
brown	120	0.402196762665545	0.253189886529498	0.652525761648746	original	original_candidates	opt1	opt1
green	120	0.539130434782609	0.254453457882661	0.76926480599047	original	original_candidates	opt1	opt1
turquoise	120	0.341980870569973	0.0364846915570991	0.67794845536781	original	original_candidates	opt1	opt1
yellow	120	0.314761934322428	0.0272071460877431	0.667796610169491	original	original_candidates	opt1	opt1
black	120	0.29520697167756	0	0.538621794871795	original	original_candidates	exp2	exp2
blue	120	0.344853214418432	0.120770672224976	0.676895488477767	original	original_candidates	exp2	exp2
brown	120	0.416073435743724	0.0409831305711216	0.58743384993385	original	original_candidates	exp2	exp2
green	120	0.555999448959912	0.254453457882661	0.770154667942279	original	original_candidates	exp2	exp2
red	120	0.0408253205128205	0	0.65021645021645	original	original_candidates	exp2	exp2
turquoise	120	0.525264150943396	0.300114301472856	0.712258487512037	original	original_candidates	exp2	exp2
yellow	120	0.190128606187	0.0772057897482953	0.374304541175707	original	original_candidates	exp2	exp2
blue	120	0.373448275862069	0	0.617409824394874	original	original_baseline	baseline	baseline
brown	120	0.553769657724329	0.269179894179894	0.819202725316758	original	original_baseline	baseline	baseline
green	120	0.039190251572327	0	0.565731946328961	original	original_baseline	baseline	baseline
turquoise	120	0.475382895093521	0.280566280566281	0.728847443888532	original	original_baseline	baseline	baseline
yellow	120	0.313859275053305	0.148607520564042	0.51484778121775	original	original_baseline	baseline	baseline
blue	120	0.302996540820441	0.00620092141831272	0.603221672985555	original	original_candidates	exp5	exp5
brown	120	0.428443221251645	0.30573754789272	0.756461452095808	original	original_candidates	exp5	exp5
green	120	0.051701862247171	0.00688819106212082	0.504444884750017	original	original_candidates	exp5	exp5
turquoise	120	0.33189597670933	0.179028867831777	0.536870980465198	original	original_candidates	exp5	exp5
yellow	120	0.536700336700337	0.288735294117647	0.808173076923077	original	original_candidates	exp5	exp5
blue	500	0.674490675496326	0.385133187596146	0.793413173652695	balanced	balanced_best	top3	balanced_top3
brown	500	0.528860569715143	0.284228473998295	0.804418204566781	balanced	balanced_best	top3	balanced_top3
green	500	0.627906976744186	0.0357142857142857	0.804374337221633	balanced	balanced_best	top3	balanced_top3
turquoise	500	0.376633986928105	0.226190746544337	0.525642592940882	balanced	balanced_best	top3	balanced_top3
yellow	500	0.81	0.744809024527242	0.882978723404255	balanced	balanced_best	top3	balanced_top3
blue	500	0.597899441735566	0.359623323013416	0.78856733979965	balanced	balanced_candidates	top2	balanced_top2
brown	500	0.544330089820359	0.285056360708535	0.820333873746074	balanced	balanced_candidates	top2	balanced_top2
green	500	0.615384615384615	0.0329526682467859	0.790935517970401	balanced	balanced_candidates	top2	balanced_top2
turquoise	500	0.374670417743466	0.241689655004646	0.514898094292335	balanced	balanced_candidates	top2	balanced_top2
yellow	500	0.808080808080808	0.736818181818182	0.879120879120879	balanced	balanced_candidates	top2	balanced_top2
blue	500	0.500720461095101	0.322653551912568	0.774950396825397	balanced	balanced_candidates	top1	balanced_top1
brown	500	0.512538540596094	0.264473611980282	0.803033199195171	balanced	balanced_candidates	top1	balanced_top1
green	500	0.627284812229977	0.0373290302750884	0.795454545454545	balanced	balanced_candidates	top1	balanced_top1
