source	method_family	setting_id	comparison_id	power	deepSplit	mergeCutHeight	minModuleSize	method_setting	non_grey_modules	grey_pct	bio_pres_strong	bio_pres_moderate	mean_concordance_pearson	mean_concordance_spearman	mean_concordance_rmse	mean_bootstrap_jaccard	mean_balanced_jaccard	n_boot_requested	n_boot_successful	n_boot_failed	rank	train_samples	min_core_n	max_core_n	st8_n	st8_fraction	core_n_cv	age_bin_count_cv_mean	age_bin_count_cv_median	n_age_bins	bio_median_assigned_kME	bio_p05_assigned_kME	bio_frac_assigned_kME_lt_0_2	bio_frac_negative_assigned_kME	bio_frac_assigned_is_max_kME	bio_median_kME_margin	bio_n_strong_hubs	grey_max_bio_kME_median	grey_rescuable_fraction	within_tom_median	between_tom_median	tom_separation_ratio	tom_silhouette_like	within_edge_fraction_top_0_5pct	bio_within_edge_fraction_top_0_5pct	modularity_top_0_5pct	largest_component_fraction_top_0_5pct	isolate_fraction_top_0_5pct	n_st8	n_core_cv	n_age_cv	n_grey	n_boot	n_conc	n_kme_med	n_kme_p05	n_tom_sep	n_bio_edges	score_sampling_fairness	score_network_qc	score_kme_topology	tiered_summary_score	tiered_rank
balanced	balanced_candidates	top6	balanced_top6	16	1	0.25	30	top6	4	49.9721758486366	4	0	0.872275616993563	0.795902790279028	0.0893572744481446	0.541722652315826		500	500	0	4	57	19	19	19	0.333333333333333	0	0	0	11	0.706679696309725	0.408947038177843	0.00333704115684093	0	0.89210233592881	0.195123862354057	462	0.353687839784332	0.290645879732739	0.014624053789355	0.00371489009434832	3.93660469568222	0.745973985882599	0.886355186516297	0.937876299945265	0.178355483383096	0.130217028380634	0.774624373956594	1	1	1	0.437591776798825	0.773613453593941	1	0.186633027961491	0.168909113239493	0.0318504093152615	0.854476119652629	1	0.737068410130922	0.310467167542219	0.701114093808488	1
balanced	balanced_best	top3	balanced_top3	12	1	0.25	30	top3	5	48.5253199777407	4	1	0.834952110570278	0.769428533142851	0.0982423130467183	0.603578441776752		500	500	0	1	57	19	19	19	0.333333333333333	0	0	0	11	0.70588222122853	0.369765637196462	0.00648648648648649	0	0.875675675675676	0.182709409942707	482	0.407719726082663	0.340596330275229	0.0385505263552567	0.0147804034686654	2.60821881060177	0.616596584636517	0.898996158136076	0.963535312457639	0.152748014525404	0.13132999443517	0.805787423483584	1	1	1	0.475770925110131	1	0.764795372355001	0.178139371404574	0	0.0026706207039702	0.915688270254165	1	0.746855432488377	0.274124565590677	0.693636771048135	2
balanced	balanced_candidates	top4	balanced_top4	16	1	0.15	30	top4	4	49.9721758486366	4	0	0.872275616993563	0.795902790279028	0.0893572744481446	0.516779989418402		500	500	0	5	57	19	19	19	0.333333333333333	0	0	0	11	0.706679696309725	0.408947038177843	0.00333704115684093	0	0.89210233592881	0.195123862354057	462	0.353687839784332	0.290645879732739	0.014624053789355	0.00371489009434832	3.93660469568222	0.745973985882599	0.886355186516297	0.937876299945265	0.178355483383096	0.130217028380634	0.774624373956594	1	1	1	0.437591776798825	0.68232558287514	1	0.186633027961491	0.168909113239493	0.0318504093152615	0.854476119652629	1	0.706639119891322	0.310467167542219	0.690463842224628	3
balanced	balanced_candidates	top5	balanced_top5	16	1	0.2	30	top5	4	49.9721758486366	4	0	0.872275616993563	0.795902790279028	0.0893572744481446	0.514971073286825		500	500	0	6	57	19	19	19	0.333333333333333	0	0	0	11	0.706679696309725	0.408947038177843	0.00333704115684093	0	0.89210233592881	0.195123862354057	462	0.353687839784332	0.290645879732739	0.014624053789355	0.00371489009434832	3.93660469568222	0.745973985882599	0.886355186516297	0.937876299945265	0.178355483383096	0.130217028380634	0.774624373956594	1	1	1	0.437591776798825	0.675705114858567	1	0.186633027961491	0.168909113239493	0.0318504093152615	0.854476119652629	1	0.704432297219131	0.310467167542219	0.689691454289361	4
balanced	balanced_candidates	top2	balanced_top2	12	1	0.2	30	top2	5	48.5253199777407	4	1	0.834952110570278	0.769428533142851	0.0982423130467183	0.588073074552963		500	500	0	2	57	19	19	19	0.333333333333333	0	0	0	11	0.70588222122853	0.369765637196462	0.00648648648648649	0	0.875675675675676	0.182709409942707	482	0.407719726082663	0.340596330275229	0.0385505263552567	0.0147804034686654	2.60821881060177	0.616596584636517	0.898996158136076	0.963535312457639	0.152748014525404	0.13132999443517	0.805787423483584	1	1	1	0.475770925110131	0.943251770494843	0.764795372355001	0.178139371404574	0	0.0026706207039702	0.915688270254165	1	0.727939355986658	0.274124565590677	0.687016144272534	5
balanced	balanced_candidates	top1	balanced_top1	12	1	0.15	30	top1	5	48.5253199777407	4	1	0.834952110570278	0.769428533142851	0.0982423130467183	0.566499719379615		500	500	0	3	57	19	19	19	0.333333333333333	0	0	0	11	0.70588222122853	0.369765637196462	0.00648648648648649	0	0.875675675675676	0.182709409942707	482	0.407719726082663	0.340596330275229	0.0385505263552567	0.0147804034686654	2.60821881060177	0.616596584636517	0.898996158136076	0.963535312457639	0.152748014525404	0.13132999443517	0.805787423483584	1	1	1	0.475770925110131	0.864295258668724	0.764795372355001	0.178139371404574	0	0.0026706207039702	0.915688270254165	1	0.701620518711285	0.274124565590677	0.677804551226153	6
original	original_baseline	baseline	baseline	20	2	0.15	20	baseline	5	66.5553700612131	4	1	0.847279795668254	0.695865991173363	0.0970979957954898	0.35113007106111	0.349356040242303				10	189	26	115	115	0.608465608465609	0.735830284857096	0.919624710082335	0.866025403784439	15	0.783047264002319	0.601732996623819	0	0	0.896838602329451	0.122440065866913	456	0.427600639647018	0.37876254180602	0.0330813259384511	0.000689038986670298	48.0108188047717	0.979171361270335	0.761432643450242	0.76899501979313	0.239563505996257	0.129104062326099	0.746800222593211	0	0	0	0	0.0760619937079184	0.842481765222562	1	1	1	0.451592869587271	0	0.306181252976827	0.862898217396818	0.366032903760935	7
original	original_best	exp3	exp3	12	3	0.25	20	exp3	8	28.6588759042849	6	2	0.856836697652229	0.740248564152451	0.0886377786351237	0.400339052880668	0.517143211701409				1	189	26	115	115	0.608465608465609	0.735830284857096	0.919624710082335	0.866025403784439	15	0.702840613526244	0.383450586703463	0	0	0.829953198127925	0.118164732525828	651	0.265898423932263	0.180582524271845	0.0433089160786511	0.0122631924411013	3.53161840089021	0.716843699832368	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584	0	0	0	1	0.256162377897915	0.902707284955034	0.145744163311842	0.0589951514764182	0.0229543388245807	1	0	0.719623220950983	0.30692341340321	0.343945151353807	8
original	original_candidates	exp4	exp4	12	3	0.2	20	exp4	9	28.6588759042849	7	2	0.859068064820485	0.750533338700302	0.0934813003891682	0.377504628157064	0.459198457199746				2	189	26	115	115	0.608465608465609	0.735830284857096	0.919624710082335	0.866025403784439	15	0.709698109590417	0.391065528126466	0	0	0.791731669266771	0.0716032139667393	670	0.27098391860615	0.180582524271845	0.0408032351367377	0.013435958102339	3.03686829223101	0.670713411392182	0.736274631304994	0.738273453093813	0.180236334018446	0.13132999443517	0.805787423483584	0	0	0	1	0.172590466563546	0.91676887600698	0.218781199556526	0.0918227934420834	0.0120864850268008	0.378303487674895	0	0.696453114190176	0.175248491425076	0.296333137394084	9
original	original_candidates	exp1	exp1	12	2	0.25	30	exp1	6	33.2220367278798	4	2	0.741026310324313	0.524847603951378	0.0949691966964127	0.389589135813315	0.426473069839934				4	189	26	115	115	0.608465608465609	0.735830284857096	0.919624710082335	0.866025403784439	15	0.696809981542851	0.375414445831735	0	0	0.846666666666667	0.128675428603252	589	0.25014522452928	0.154103852596315	0.0399929025404361	0.0127234055785048	3.14325455505411	0.681858410610723	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584	0	0	0	0.879588839941262	0.216818662131957	0.172895387863503	0.081513796625871	0.0243517391809696	0.0144234028570707	1	0	0.423100963312241	0.280072234665978	0.232107007559078	10
