taxon	module	has_comp	has_ko	oap_v3	n_classes	dominant_class	oxy_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	has_mcr	has_pmo	has_nar	has_nos	has_cyd	has_cox	has_sred
S__3300000115_9	grey	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300000116_5	grey	TRUE	TRUE	666.666666666667	2	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300000124_6	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300000144_1	green	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300000146_15	grey	TRUE	TRUE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300000179_4	turquoise	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300000212_12	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300000214_4	grey	TRUE	TRUE	347.428571428571	3	NO3	methanogen	0	0	0.333333333333333	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300000322_5	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300000792_9	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300001678_9	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300001683_13	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
