taxon	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role
S__GCA_001940725.1	d__Archaea	p__Asgardarchaeota	c__Heimdallarchaeia	164	5	112963	100	TRUE	GCA_001940725.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.62		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_019058135.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	25	5	33218	100	TRUE	GCA_019058135.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_005223125.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	46	5	153364	100	TRUE	GCA_005223125.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_019057575.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	23	5	34466	100	TRUE	GCA_019057575.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_019057975.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	52	4	102756	100	TRUE	GCA_019057975.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.12		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_004375715.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	56	5	1274037	100	TRUE	GCA_004375715.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.12		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_019057955.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	25	5	115896	100	TRUE	GCA_019057955.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_019057795.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	32	4	166092	100	TRUE	GCA_019057795.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__3300027844_92	d__Archaea	p__Halobacteriota	c__Halobacteria	25	5	4462	100	TRUE	3300027844_92	Unknown	Other	Unknown	uncertain	Unknown	Tier3_unknown	0.1										
S__3300024353_30	d__Archaea	p__Halobacteriota	c__Methanosarcinia	39	5	21905	100	TRUE	3300024353_30	Methanogenesis_diagenetic	Diagenetic	Diagenetic_methanogen	diagenetic_in_situ	CO2	Tier1_kegg_present	0.982083333333333	KEGG_METH	present	0.958333333333333	M00567;M00357;M00356;M00563;M00617;W00012;W00013;W00018	M00567:0.96;M00357:0.8;M00356:0.56;M00563:0.42;M00617:0.96;W00012:0.8;W00013:0.96;W00018:0.8	K00399;K00402	mcrA (K00399-402)	Thauer et al. 2008 Nat Rev Microbiol	10.1038/nrmicro1931	
